#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"May SM, Li JT. Burden of chronic obstructive pulmonary disease: healthcare costs and beyond. Allergy Asthma Proc. 2015;36.",Burden of chronic obstructive pulmonary disease: healthcare costs and beyond,Allergy Asthma Proc,2015,36,,,,,May SM; Li JT
2, Emphysema. Emphysema. 2017;None.,Emphysema,Emphysema,2017,,,,,,
3,"Janson C, Marks G, Buist S, Gnatiuc L, Gislason T, Mcburnie MA. The impact of COPD on health status: findings from the BOLD study. Eur Respir J. 2013;42.",The impact of COPD on health status: findings from the BOLD study,Eur Respir J,2013,42,,,,,Janson C; Marks G; Buist S; Gnatiuc L; Gislason T; Mcburnie MA
4,"Meyers BF, Patterson GA. Chronic obstructive pulmonary disease. 10: Bullectomy, lung volume reduction surgery, and transplantation for patients with chronic obstructive pulmonary disease. Thorax. 2003;58.","Chronic obstructive pulmonary disease. 10: Bullectomy, lung volume reduction surgery, and transplantation for patients with chronic obstructive pulmonary disease",Thorax,2003,58,,,,,Meyers BF; Patterson GA
5,"Fishman A, Martinez F, Naunheim K, Piantadosi S, Wise R, Ries A. National Emphysema Treatment Trial Research Group. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",National Emphysema Treatment Trial Research Group. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A
6,"Geddes D, Davies M, Koyama H, Hansell D, Pastorino U, Pepper J. Effect of lung-volume-reduction surgery in patients with severe emphysema. N Engl J Med. 2000;343.",Effect of lung-volume-reduction surgery in patients with severe emphysema,N Engl J Med,2000,343,,,,,Geddes D; Davies M; Koyama H; Hansell D; Pastorino U; Pepper J
7,"Miller JD, Berger RL, Malthaner RA, Celli BR, Goldsmith CH, Ingenito EP. Lung volume reduction surgery vs medical treatment: for patients with advanced emphysema. Chest. 2005;127.",Lung volume reduction surgery vs medical treatment: for patients with advanced emphysema,Chest,2005,127,,,,,Miller JD; Berger RL; Malthaner RA; Celli BR; Goldsmith CH; Ingenito EP
8,"Criner GJ, Cordova F, Sternberg AL, Martinez FJ. The National Emphysema Treatment Trial (NETT) Part II: lessons learned about lung volume reduction surgery. Am J Respir Crit Care Med. 2011;184.",The National Emphysema Treatment Trial (NETT) Part II: lessons learned about lung volume reduction surgery,Am J Respir Crit Care Med,2011,184,,,,,Criner GJ; Cordova F; Sternberg AL; Martinez FJ
9,"Naunheim KS, Wood DE, Krasna MJ et al.. National Emphysema Treatment Trial Research Group. Predictors of operative mortality and cardiopulmonary morbidity in the National Emphysema Treatment Trial. J Thorac Cardiovasc Surg. 2006;131.",National Emphysema Treatment Trial Research Group. Predictors of operative mortality and cardiopulmonary morbidity in the National Emphysema Treatment Trial,J Thorac Cardiovasc Surg,2006,131,,,,,Naunheim KS; Wood DE; Krasna MJ; Decamp MM; Jr; Ginsburg ME; Mckenna RJ; Jr
10,"Decamp MM, Mckenna RJ, Jr, Deschamps CC, Krasna MJ. Lung volume reduction surgery: technique, operative mortality, and morbidity. Proc Am Thorac Soc. 2008;5.","Lung volume reduction surgery: technique, operative mortality, and morbidity",Proc Am Thorac Soc,2008,5,,,,,Decamp MM; Mckenna RJ; Jr; Deschamps CC; Krasna MJ
11,"Sciurba FC, Ernst A, Herth F, Strange C, Criner GJ, Marquette CH. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth F; Strange C; Criner GJ; Marquette CH
