#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Casal RF, Ost DE, Eapen GA. Flexible bronchoscopy. Clin Chest Med. 2013;34(3).",Flexible bronchoscopy,Clin Chest Med,2013,34,3,,,,Casal RF; Ost DE; Eapen GA
2,"Hadzri H, Azarisman S, Fauzi A. Can a bronchoscopist reliably assess a patient's experience of bronchoscopy?. JRSM Short Rep. 2010;1(4):35.",Can a bronchoscopist reliably assess a patient's experience of bronchoscopy?,JRSM Short Rep,2010,1,4,35,,,Hadzri H; Azarisman S; Fauzi A
3,"Stolz D, Chhajed PN, Leuppi JD, Brutsche M, Pfl Imlin E, Tamm M. Cough suppression during fl exible bronchoscopy using combined sedation with midazolam and hydrocodone: a randomised, double blind, placebo controlled trial. Th orax. 2004;59(9).","Cough suppression during fl exible bronchoscopy using combined sedation with midazolam and hydrocodone: a randomised, double blind, placebo controlled trial",Th orax,2004,59,9,,,,Stolz D; Chhajed PN; Leuppi JD; Brutsche M; Pfl Imlin E; Tamm M
4,"Cox B, Durieux ME, Marcus MA. Toxicity of local anaesthetics. Best Pract Res Clin Anaesthesiol. 2003;17(1).",Toxicity of local anaesthetics,Best Pract Res Clin Anaesthesiol,2003,17,1,,,,Cox B; Durieux ME; Marcus MA
5,"Graham DR, Hay JG, Clague J, Nisar M, Earis JE. Comparison of three diff erent methods used to achieve local anesthesia for fi beroptic bronchoscopy. Chest. 1992;102(3).",Comparison of three diff erent methods used to achieve local anesthesia for fi beroptic bronchoscopy,Chest,1992,102,3,,,,Graham DR; Hay JG; Clague J; Nisar M; Earis JE
6,"Mendes De Leon C, Bezel R, Karrer W, Brändli O. Premedication in fi ber optic bronchoscopy from the patient's and the physician's viewpoint-a randomized study for the comparison of midazolam and hydrocodone. Schweiz Med Wochenschr. 1986;116(37).",Premedication in fi ber optic bronchoscopy from the patient's and the physician's viewpoint-a randomized study for the comparison of midazolam and hydrocodone,Schweiz Med Wochenschr,1986,116,37,,,,Mendes De Leon C; Bezel R; Karrer W; Brändli O
7,"Gjonaj ST, Lowenthal DB, Dozor AJ. Nebulized lidocaine administered to infants and children undergoing fl exible bronchoscopy. Chest. 1997;112(6).",Nebulized lidocaine administered to infants and children undergoing fl exible bronchoscopy,Chest,1997,112,6,,,,Gjonaj ST; Lowenthal DB; Dozor AJ
8,"Foster WM, Hurewitz AN. Aerosolized lidocaine reduces dose of topical anesthetic for bronchoscopy. Am Rev Respir Dis. 1992;146(2).",Aerosolized lidocaine reduces dose of topical anesthetic for bronchoscopy,Am Rev Respir Dis,1992,146,2,,,,Foster WM; Hurewitz AN
9,"Rand D, Barber IA, Goldring PV, J. Summary of the British Th oracic Society guidelines for advanced diagnostic and therapeutic fl exible bronchoscopy in adults. Th orax. 2011;66(11).",Summary of the British Th oracic Society guidelines for advanced diagnostic and therapeutic fl exible bronchoscopy in adults,Th orax,2011,66,11,,,,Rand D; Barber IA; Goldring PV; J
10,"Wahidi MM, Jain P, Jantz M. American College of Chest Physicians consensus statement on the use of topical anesthesia, analgesia, and sedation during fl exible bronchoscopy in adult patients. Chest. 2011;140(5).","American College of Chest Physicians consensus statement on the use of topical anesthesia, analgesia, and sedation during fl exible bronchoscopy in adult patients",Chest,2011,140,5,,,,Wahidi MM; Jain P; Jantz M
11,"Hasmoni MH, Rani M, Harun R, Manap RA, Tajudin N, Anshar F. Randomized-controlled trial to study the equivalence of 1% versus 2% lignocaine in cough suppression and satisfaction during bronchoscopy. J Bronchology Interv Pulmonol. 2008;15(2).",Randomized-controlled trial to study the equivalence of 1% versus 2% lignocaine in cough suppression and satisfaction during bronchoscopy,J Bronchology Interv Pulmonol,2008,15,2,,,,Hasmoni MH; Rani M; Harun R; Manap RA; Tajudin N; Anshar F
