#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Macduff A, Arnold A, Harvey J. Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Macduff A; Arnold A; Harvey J
2,"Baumann MH, Strange C, Heffner JE. Management of spontaneous pneumothorax: an American College of Chest Physicians Delphi consensus statement. Chest. 2001;119(2).",Management of spontaneous pneumothorax: an American College of Chest Physicians Delphi consensus statement,Chest,2001,119,2,,,,Baumann MH; Strange C; Heffner JE
3,"Riber SS, Riber LP, Olesen WH, Licht PB. The influence of chest tube size and position in primary spontaneous pneumothorax. J Thorac Dis. 2017;9(2).",The influence of chest tube size and position in primary spontaneous pneumothorax,J Thorac Dis,2017,9,2,,,,Riber SS; Riber LP; Olesen WH; Licht PB
4,"Moher D, Liberati A, Tetzlaff J, Altman DG. Preferred reporting items for systematic reviews and meta-analyses:the PRISMA statement. BMJ. 2009;339:2535.",Preferred reporting items for systematic reviews and meta-analyses:the PRISMA statement,BMJ,2009,339,,2535,,,Moher D; Liberati A; Tetzlaff J; Altman DG
5,"Dull KE, Fleisher GR. Pigtail catheters versus large-bore chest tubes for pneumothoraces in children treated in the emergency department. Pediatr Emerg Care. 2002;18(4).",Pigtail catheters versus large-bore chest tubes for pneumothoraces in children treated in the emergency department,Pediatr Emerg Care,2002,18,4,,,,Dull KE; Fleisher GR
6,"Higgins JP, Altman DG, Gotzsche PC. The Cochrane Collaboration's tool for assessing risk of bias in randomised trials. BMJ. 2011;343:5928.",The Cochrane Collaboration's tool for assessing risk of bias in randomised trials,BMJ,2011,343,,5928,,,Higgins JP; Altman DG; Gotzsche PC
7,Stang A. Critical evaluation of the Newcastle-Ottawa scale for the assessment of the quality of nonrandomized studies in meta-analyses. Eur J Epidemiol. 2010;25(9).,Critical evaluation of the Newcastle-Ottawa scale for the assessment of the quality of nonrandomized studies in meta-analyses,Eur J Epidemiol,2010,25,9,,,,Stang A
8,"Higgins JP, Thompson SG, Deeks JJ, Altman DG. Measuring inconsistency in meta-analyses. BMJ. 2003;327(7414).",Measuring inconsistency in meta-analyses,BMJ,2003,327,7414,,,,Higgins JP; Thompson SG; Deeks JJ; Altman DG
9,"Hussein RM, Elshahat HM, Shaker A, Hashem AZ. Study of pigtail catheter and chest tube in management of secondary spontaneous pneumothorax. Egyptian J Chest Dis Tuberculosis. 2017;66(1).",Study of pigtail catheter and chest tube in management of secondary spontaneous pneumothorax,Egyptian J Chest Dis Tuberculosis,2017,66,1,,,,Hussein RM; Elshahat HM; Shaker A; Hashem AZ
10,"Kulvatunyou N, Erickson L, Vijayasekaran A. Randomized clinical trial of pigtail catheter versus chest tube in injured patients with uncomplicated traumatic pneumothorax. Br J Surg. 2014;101(2).",Randomized clinical trial of pigtail catheter versus chest tube in injured patients with uncomplicated traumatic pneumothorax,Br J Surg,2014,101,2,,,,Kulvatunyou N; Erickson L; Vijayasekaran A
11,"Kulvatunyou N, Vijayasekaran A, Hansen A. Two-year experience of using pigtail catheters to treat traumatic pneumothorax: a changing trend. J Trauma. 2011;71(5).",Two-year experience of using pigtail catheters to treat traumatic pneumothorax: a changing trend,J Trauma,2011,71,5,,,,Kulvatunyou N; Vijayasekaran A; Hansen A
