#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Arbour KC, Riely GJ. Systemic therapy for locally advanced and metastatic non-small cell lung cancer: a review. JAMA. 2019;322. doi:10.1001/jama.2019.11058.",Systemic therapy for locally advanced and metastatic non-small cell lung cancer: a review,JAMA,2019,322,,,10.1001/jama.2019.11058,,Arbour KC; Riely GJ
2,"Pennell NA, Arcila ME, Gandara DR. Biomarker testing for patients with advanced non-small cell lung cancer: real-world issues and tough choices. Am Soc Clin Oncol Educ Book. 2019;39. doi:10.1200/EDBK_237863.",Biomarker testing for patients with advanced non-small cell lung cancer: real-world issues and tough choices,Am Soc Clin Oncol Educ Book,2019,39,,,10.1200/EDBK_237863,,Pennell NA; Arcila ME; Gandara DR
3,"Lindeman NI, Cagle PT, Aisner DL. Updated molecular testing guideline for the selection of lung cancer patients for treatment with targeted tyrosine kinase inhibitors: guideline from the College of American pathologists, the International association for the study of lung cancer, and the association for molecular pathology. Arch Pathol Lab Med. 2018;None.","Updated molecular testing guideline for the selection of lung cancer patients for treatment with targeted tyrosine kinase inhibitors: guideline from the College of American pathologists, the International association for the study of lung cancer, and the association for molecular pathology",Arch Pathol Lab Med,2018,,,,,,Lindeman NI; Cagle PT; Aisner DL
4," Non-Small cell lung cancer, version 2. National Comprehensive Cancer Network Clinical Practice Guidelines in Oncology (NCCN Guidelines). 2021;None.","Non-Small cell lung cancer, version 2",National Comprehensive Cancer Network Clinical Practice Guidelines in Oncology (NCCN Guidelines),2021,,,,,,
5,"Lantuejoul S, Sound-Tsao M, CW. Pd-L1 testing for lung cancer in 2019: perspective from the IASLC pathology Committee. J Thorac Oncol. 2020;15. doi:10.1016/j.jtho.2019.12.107.",Pd-L1 testing for lung cancer in 2019: perspective from the IASLC pathology Committee,J Thorac Oncol,2020,15,,,10.1016/j.jtho.2019.12.107,,Lantuejoul S; Sound-Tsao M; CW
6,"Roy-Chowdhuri S, Dacic S, Ghofrani M. Collection and handling of thoracic small biopsy and cytology specimens for ancillary studies: guideline from the College of American pathologists in collaboration with the American College of chest physicians, association for molecular pathology, American Society of cytopathology, American thoracic Society, pulmonary pathology Society, Papanicolaou Society of cytopathology, society of interventional radiology, and society of thoracic radiology. Arch Pathol Lab Med. 2020;None. doi:10.5858/arpa.2020-0119-CP.","Collection and handling of thoracic small biopsy and cytology specimens for ancillary studies: guideline from the College of American pathologists in collaboration with the American College of chest physicians, association for molecular pathology, American Society of cytopathology, American thoracic Society, pulmonary pathology Society, Papanicolaou Society of cytopathology, society of interventional radiology, and society of thoracic radiology",Arch Pathol Lab Med,2020,,,,10.5858/arpa.2020-0119-CP,,Roy-Chowdhuri S; Dacic S; Ghofrani M
7,"Rekhtman N, Brandt SM, Sigel CS. Suitability of thoracic cytology for new therapeutic paradigms in non-small cell lung carcinoma: high accuracy of tumor subtyping and feasibility of EGFR and KRAS molecular testing. J Thorac Oncol. 2011;6. doi:10.1097/JTO.0b013e31820517a3.",Suitability of thoracic cytology for new therapeutic paradigms in non-small cell lung carcinoma: high accuracy of tumor subtyping and feasibility of EGFR and KRAS molecular testing,J Thorac Oncol,2011,6,,,10.1097/JTO.0b013e31820517a3,,Rekhtman N; Brandt SM; Sigel CS
8,"Smouse JH, Cibas ES, Jänne PA. Egfr mutations are detected comparably in cytologic and surgical pathology specimens of nonsmall cell lung cancer. Cancer. 2009;117. doi:10.1002/cncy.20011.",Egfr mutations are detected comparably in cytologic and surgical pathology specimens of nonsmall cell lung cancer,Cancer,2009,117,,,10.1002/cncy.20011,,Smouse JH; Cibas ES; Jänne PA
9,"Tam AL, Kim ES, Lee JJ. Feasibility of image-guided transthoracic core-needle biopsy in the battle lung trial. J Thorac Oncol. 2013;8. doi:10.1097/JTO.0b013e318287c91e.",Feasibility of image-guided transthoracic core-needle biopsy in the battle lung trial,J Thorac Oncol,2013,8,,,10.1097/JTO.0b013e318287c91e,,Tam AL; Kim ES; Lee JJ
10,"Tokaca N, Barth S, Brien O, M. Molecular adequacy of image-guided Rebiopsies for molecular retesting in advanced non-small cell lung cancer: a single-center experience. J Thorac Oncol. 2018;13. doi:10.1016/j.jtho.2017.09.1958.",Molecular adequacy of image-guided Rebiopsies for molecular retesting in advanced non-small cell lung cancer: a single-center experience,J Thorac Oncol,2018,13,,,10.1016/j.jtho.2017.09.1958,,Tokaca N; Barth S; Brien O; M
11,"Arcila ME, Oxnard GR, Nafa K. Rebiopsy of lung cancer patients with acquired resistance to EGFR inhibitors and enhanced detection of the T790M mutation using a locked nucleic acid-based assay. Clin Cancer Res. 2011;17. doi:10.1158/1078-0432.CCR-10-2277.",Rebiopsy of lung cancer patients with acquired resistance to EGFR inhibitors and enhanced detection of the T790M mutation using a locked nucleic acid-based assay,Clin Cancer Res,2011,17,,,10.1158/1078-0432.CCR-10-2277,,Arcila ME; Oxnard GR; Nafa K
