#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Bolliger CT, Mathur PN, Beamis JF. European Respiratory Society/American Thoracic Society. ERS/ATS statement on interventional pulmonology. European Respiratory Society/American Thoracic Society. Eur Respir J. 2002;19(2).",European Respiratory Society/American Thoracic Society. ERS/ATS statement on interventional pulmonology. European Respiratory Society/American Thoracic Society,Eur Respir J,2002,19,2,,,,Bolliger CT; Mathur PN; Beamis JF
2,"Van Der Heijden EH, Hoefsloot W, Van Hees HW. High definition bronchoscopy: a randomized exploratory study of diagnostic value compared to standard white light bronchoscopy and autofluorescence bronchoscopy. Respir Res. 2015;16:33.",High definition bronchoscopy: a randomized exploratory study of diagnostic value compared to standard white light bronchoscopy and autofluorescence bronchoscopy,Respir Res,2015,16,,33,,,Van Der Heijden EH; Hoefsloot W; Van Hees HW
3,"Herth FJ, Ernst A, Becker HD. Autofluorescence bronchoscopy-a comparison of two systems (LIFE and D-Light). Respiration. 2003;70(4).",Autofluorescence bronchoscopy-a comparison of two systems (LIFE and D-Light),Respiration,2003,70,4,,,,Herth FJ; Ernst A; Becker HD
4,Herly L. Studies in selective differentiation of tissues by means of filtered ultraviolet light. Cancer Res. 1943;1:227.,Studies in selective differentiation of tissues by means of filtered ultraviolet light,Cancer Res,1943,1,,227,,,Herly L
5,"Zaric B, Stojsic V, Sarcev T. Advanced bronchoscopic techniques in diagnosis and staging of lung cancer. J Thorac Dis. 2013;5(Suppl 4).",Advanced bronchoscopic techniques in diagnosis and staging of lung cancer,J Thorac Dis,2013,5,Suppl 4,,,,Zaric B; Stojsic V; Sarcev T
6,"Ha ¨ussinger K, Becker H, Stanzel F. Autofluorescence bronchoscopy with white light bronchoscopy compared with white light bronchoscopy alone for the detection of precancerous lesions: a European randomised controlled multicentre trial. Thorax. 2005;60(6).",Autofluorescence bronchoscopy with white light bronchoscopy compared with white light bronchoscopy alone for the detection of precancerous lesions: a European randomised controlled multicentre trial,Thorax,2005,60,6,,,,Ha ¨ussinger K; Becker H; Stanzel F
7,"Edell E, Lam S, Pass H. Detection and localization of intraepithelial neoplasia and invasive carcinoma using fluorescence-reflectance bronchoscopy: an international, multicenter clinical trial. J Thorac Oncol. 2009;4(1).","Detection and localization of intraepithelial neoplasia and invasive carcinoma using fluorescence-reflectance bronchoscopy: an international, multicenter clinical trial",J Thorac Oncol,2009,4,1,,,,Edell E; Lam S; Pass H
8,"Sun J, Garfield DH, Lam B. The value of autofluorescence bronchoscopy combined with white light bronchoscopy compared with white light alone in the diagnosis of intraepithelial neoplasia and invasive lung cancer: a meta-analysis. J Thorac Oncol. 2011;6(8).",The value of autofluorescence bronchoscopy combined with white light bronchoscopy compared with white light alone in the diagnosis of intraepithelial neoplasia and invasive lung cancer: a meta-analysis,J Thorac Oncol,2011,6,8,,,,Sun J; Garfield DH; Lam B
9,"Tremblay A, Taghizadeh N, Mcwilliams AM. Low prevalence of high-grade lesions detected with autofluorescence bronchoscopy in the setting of lung cancer screening in the pan-canadian lung cancer screening study. Chest. 2016;150(5).",Low prevalence of high-grade lesions detected with autofluorescence bronchoscopy in the setting of lung cancer screening in the pan-canadian lung cancer screening study,Chest,2016,150,5,,,,Tremblay A; Taghizadeh N; Mcwilliams AM
10,"Andolfi M, Potenza R, Capozzi R. The role of bronchoscopy in the diagnosis of early lung cancer: a review. J Thorac Dis. 2016;8(11).",The role of bronchoscopy in the diagnosis of early lung cancer: a review,J Thorac Dis,2016,8,11,,,,Andolfi M; Potenza R; Capozzi R
