#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Froudarakis ME, Noppen M. Medical thoracoscopy: new tricks for an old trade. Respiration. 2009;78(4).",Medical thoracoscopy: new tricks for an old trade,Respiration,2009,78,4,,,,Froudarakis ME; Noppen M
2,Froudarakis ME. New challenges in medical thoracoscopy. Respiration. 2011;82(2).,New challenges in medical thoracoscopy,Respiration,2011,82,2,,,,Froudarakis ME
3,Froudarakis ME. Diagnostic work-up of pleural effusions. Respiration. 2008;75(1).,Diagnostic work-up of pleural effusions,Respiration,2008,75,1,,,,Froudarakis ME
4,"Metintas M, Ak G, Dundar E. Medical thoracoscopy vs CT scan-guided Abrams pleural needle biopsy for diagnosis of patients with pleural effusions: a randomized, controlled trial. Chest. 2010;137(6).","Medical thoracoscopy vs CT scan-guided Abrams pleural needle biopsy for diagnosis of patients with pleural effusions: a randomized, controlled trial",Chest,2010,137,6,,,,Metintas M; Ak G; Dundar E
5,Rodriguez-Panadero F. Medical thoracoscopy. Respiration. 2008;76(4).,Medical thoracoscopy,Respiration,2008,76,4,,,,Rodriguez-Panadero F
6,"Noppen M, Keukeleire D, T. Pneumothorax. Respiration. Pneumothorax. Respiration. 2008;76(2).",Pneumothorax. Respiration,Pneumothorax. Respiration,2008,76,2,,,,Noppen M; Keukeleire D; T
7,"Mathur PN, Astoul P, Boutin C. Medical thoracoscopy. Technical details. Clin Chest Med. 1995;16(3).",Medical thoracoscopy. Technical details,Clin Chest Med,1995,16,3,,,,Mathur PN; Astoul P; Boutin C
8,"Boutin C, Loddenkemper R, Astoul P. Diagnostic and therapeutic thoracoscopy: techniques and indications in pulmonary medicine. Tuber Lung Dis. 1993;74(4).",Diagnostic and therapeutic thoracoscopy: techniques and indications in pulmonary medicine,Tuber Lung Dis,1993,74,4,,,,Boutin C; Loddenkemper R; Astoul P
9,"Boutin C, Viallat JR, Cargnino P. Thoracoscopy in malignant pleural effusions. Am Rev Respir Dis. 1981;124(5).",Thoracoscopy in malignant pleural effusions,Am Rev Respir Dis,1981,124,5,,,,Boutin C; Viallat JR; Cargnino P
10,"Antony VB, Loddenkemper R, Astoul P. Management of malignant pleural effusions. Eur Respir J. 2001;18(2).",Management of malignant pleural effusions,Eur Respir J,2001,18,2,,,,Antony VB; Loddenkemper R; Astoul P
11,"Rodriguez-Panadero F, Janssen JP, Astoul P. Thoracoscopy: general overview and place in the diagnosis and management of pleural effusion. Eur Respir J. 2006;28(2).",Thoracoscopy: general overview and place in the diagnosis and management of pleural effusion,Eur Respir J,2006,28,2,,,,Rodriguez-Panadero F; Janssen JP; Astoul P
12,Martensson G. Prediction of the diagnostic utility of thoracoscopy in pleural effusion. Pneumologie. 1989;43(2).,Prediction of the diagnostic utility of thoracoscopy in pleural effusion,Pneumologie,1989,43,2,,,,Martensson G
13,"Anevlavis S, Kouliatsis G, Sotiriou I. Prognostic factors in patients presenting with pleural effusion revealing malignancy. Respiration. 2014;87(4).",Prognostic factors in patients presenting with pleural effusion revealing malignancy,Respiration,2014,87,4,,,,Anevlavis S; Kouliatsis G; Sotiriou I
14,"Janssen JP, Ramlal S, Mravunac M. The long term follow-up of exudative pleural effusion after nondiagnostic thoracoscopy. J Bronchol. 2004;11.",The long term follow-up of exudative pleural effusion after nondiagnostic thoracoscopy,J Bronchol,2004,11,,,,,Janssen JP; Ramlal S; Mravunac M
15,"Archontogeorgis K, Anevlavis S, Zarogoulidis P. Pleuroscopy in ""idiopathic"" eosinophilic pleural effusions. Clin Respir J. 2015;9.","Pleuroscopy in ""idiopathic"" eosinophilic pleural effusions",Clin Respir J,2015,9,,,,,Archontogeorgis K; Anevlavis S; Zarogoulidis P
16,"Havelock T, Teoh R, Laws D. Pleural procedures and thoracic ultrasound: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Pleural procedures and thoracic ultrasound: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Havelock T; Teoh R; Laws D
17,"Rahman NM, Ali NJ, Brown G. Local anaesthetic thoracoscopy: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl2).",Local anaesthetic thoracoscopy: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl2,,,,Rahman NM; Ali NJ; Brown G
18,"Marchetti G, Valsecchi A, Indellicati D. Ultrasound-guided medical thoracoscopy in the absence of pleural effusion. Chest. 2015;147(4).",Ultrasound-guided medical thoracoscopy in the absence of pleural effusion,Chest,2015,147,4,,,,Marchetti G; Valsecchi A; Indellicati D
19,Froudarakis ME. Medical thoracoscopy: the green shapes of grey. Chest. 2015;147(4).,Medical thoracoscopy: the green shapes of grey,Chest,2015,147,4,,,,Froudarakis ME
20,"Robinson BW, Lake RA. Advances in malignant mesothelioma. N Engl J Med. 2005;353(15).",Advances in malignant mesothelioma,N Engl J Med,2005,353,15,,,,Robinson BW; Lake RA
21,Scherpereel A. Guidelines of the French Speaking Society for Chest Medicine for management of malignant pleural mesothelioma. Respir Med. 2007;101(6).,Guidelines of the French Speaking Society for Chest Medicine for management of malignant pleural mesothelioma,Respir Med,2007,101,6,,,,Scherpereel A
22,"Karpathiou G, Stefanou D, Froudarakis ME. Pleural neoplastic pathology. Respir Med. 2015;109(8).",Pleural neoplastic pathology,Respir Med,2015,109,8,,,,Karpathiou G; Stefanou D; Froudarakis ME
23,"Boutin C, Rey F. Thoracoscopy in pleural malignant mesothelioma: a prospective study of 188 consecutive patients. I. Diagnosis. Cancer. 1993;72(2).",Thoracoscopy in pleural malignant mesothelioma: a prospective study of 188 consecutive patients,I. Diagnosis. Cancer,1993,72,2,,,,Boutin C; Rey F
24,"Loddenkemper R, Boutin C. Thoracoscopy: present diagnostic and therapeutic indications. Eur Respir J. 1993;6(10).",Thoracoscopy: present diagnostic and therapeutic indications,Eur Respir J,1993,6,10,,,,Loddenkemper R; Boutin C
25,"Scherpereel A, Astoul P, Baas P. Guidelines of the European Respiratory Society and the European Society of Thoracic Surgeons for the management of malignant pleural mesothelioma. Eur Respir J. 2010;35(3).",Guidelines of the European Respiratory Society and the European Society of Thoracic Surgeons for the management of malignant pleural mesothelioma,Eur Respir J,2010,35,3,,,,Scherpereel A; Astoul P; Baas P
26,"Pinelli V, Laroumagne S, Sakr L. Pleural fluid cytological yield and visceral pleural invasion in patients with epithelioid malignant pleural mesothelioma. J Thorac Oncol. 2012;7(3).",Pleural fluid cytological yield and visceral pleural invasion in patients with epithelioid malignant pleural mesothelioma,J Thorac Oncol,2012,7,3,,,,Pinelli V; Laroumagne S; Sakr L
