#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169.",Central airway obstruction,Am J Respir Crit Care Med,2004,169,,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
2,"Dumot JA, Vargo JJ, Falk GW, Frey L, Lopez R, Rice TW. An open-label, prospective trial of cryospray ablation for Barrett's esophagus high-grade dysplasia and early esophageal cancer in high-risk patients. Gastrointest Endosc. 2009;70.","An open-label, prospective trial of cryospray ablation for Barrett's esophagus high-grade dysplasia and early esophageal cancer in high-risk patients",Gastrointest Endosc,2009,70,,,,,Dumot JA; Vargo JJ; Falk GW; Frey L; Lopez R; Rice TW
3,"Greenwald BD, Dumot JA, Abrams JA. Endoscopic spray cryotherapy for esophageal cancer: safety and efficacy. Gastrointest Endosc. 2010;71.",Endoscopic spray cryotherapy for esophageal cancer: safety and efficacy,Gastrointest Endosc,2010,71,,,,,Greenwald BD; Dumot JA; Abrams JA
4,"Greenwald BD, Dumot JA, Horwhat JD, Lightdale CJ, Abrams JA. Safety, tolerability, and efficacy of endoscopic low-pressure liquid nitrogen spray cryotherapy in the esophagus. Dis Esophagus. 2010;23.","Safety, tolerability, and efficacy of endoscopic low-pressure liquid nitrogen spray cryotherapy in the esophagus",Dis Esophagus,2010,23,,,,,Greenwald BD; Dumot JA; Horwhat JD; Lightdale CJ; Abrams JA
5,"Halsey KD, Greenwald BD. Cryotherapy in the management of esophageal dysplasia and malignancy. Gastrointest Endosc Clin N Am. 2010;20.",Cryotherapy in the management of esophageal dysplasia and malignancy,Gastrointest Endosc Clin N Am,2010,20,,,,,Halsey KD; Greenwald BD
6,"Johnston MH, Eastone JA, Horwhat JD, Cartledge J, Matthews JS, Foggy JR. Cryoablation of Barrett's esophagus: a pilot study. Gastrointest Endosc. 2005;62.",Cryoablation of Barrett's esophagus: a pilot study,Gastrointest Endosc,2005,62,,,,,Johnston MH; Eastone JA; Horwhat JD; Cartledge J; Matthews JS; Foggy JR
7,"Johnston CM, Schoenfeld LP, Mysore JV, Dubois A. Endoscopic spray cryotherapy: a new technique for mucosal ablation in the esophagus. Gastrointest Endosc. 1999;50.",Endoscopic spray cryotherapy: a new technique for mucosal ablation in the esophagus,Gastrointest Endosc,1999,50,,,,,Johnston CM; Schoenfeld LP; Mysore JV; Dubois A
8,"Shaheen NJ, Greenwald BD, Peery AF. Safety and efficacy of endoscopic spray cryotherapy for Barrett's agus with high-grade dysplasia. Gastrointest Endosc. 2010;71.",Safety and efficacy of endoscopic spray cryotherapy for Barrett's agus with high-grade dysplasia,Gastrointest Endosc,2010,71,,,,,Shaheen NJ; Greenwald BD; Peery AF
9,"Jeon K, Kim H, Yu C. Rigid bronchoscopic intervention in patients with respiratory failure caused by malignant central airway obstruction. J Thorac Oncol. 2006;1.",Rigid bronchoscopic intervention in patients with respiratory failure caused by malignant central airway obstruction,J Thorac Oncol,2006,1,,,,,Jeon K; Kim H; Yu C
10,"Oviatt PL, Stather DR, Michaud G, Maceachern P, Tremblay A. Exercise capacity, lung function, and quality of life after interventional bronchoscopy. J Thorac Oncol. 2011;6.","Exercise capacity, lung function, and quality of life after interventional bronchoscopy",J Thorac Oncol,2011,6,,,,,Oviatt PL; Stather DR; Michaud G; Maceachern P; Tremblay A
11,"Stephens KE, Wood DE. Bronchoscopic management of central airway obstruction. J Thorac Cardiovasc Surg. 2000;119.",Bronchoscopic management of central airway obstruction,J Thorac Cardiovasc Surg,2000,119,,,,,Stephens KE; Wood DE
12,"Schumann C, Hetzel M, Babiak AJ. Endobronchial tumor debulking with a flexible cryoprobe for immediate treatment of malignant stenosis. J Thorac Cardiovasc Surg. 2010;139.",Endobronchial tumor debulking with a flexible cryoprobe for immediate treatment of malignant stenosis,J Thorac Cardiovasc Surg,2010,139,,,,,Schumann C; Hetzel M; Babiak AJ
13,"Pasricha PJ, Hill S, Wadwa KS. Endoscopic cryotherapy: experimental results and first clinical use. Gastrointest Endosc. 1999;49.",Endoscopic cryotherapy: experimental results and first clinical use,Gastrointest Endosc,1999,49,,,,,Pasricha PJ; Hill S; Wadwa KS
14,"Patel A, Randhawa N, Semenov RA. Transtracheal high frequency jet ventilation and iatrogenic injury. Br J Anaesth. 2002;89:184.",Transtracheal high frequency jet ventilation and iatrogenic injury,Br J Anaesth,2002,89,,184,,,Patel A; Randhawa N; Semenov RA
15,"Bolliger CT, Sutedja TG, Strausz J, Freitag L. Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents. Eur Respir J. 2006;27.","Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents",Eur Respir J,2006,27,,,,,Bolliger CT; Sutedja TG; Strausz J; Freitag L
16,"Chhajed PN, Somandin S, Baty F. Therapeutic bronchoscopy for malignant airway stenoses: choice of modality and survival. J Cancer Res Ther. 2010;6.",Therapeutic bronchoscopy for malignant airway stenoses: choice of modality and survival,J Cancer Res Ther,2010,6,,,,,Chhajed PN; Somandin S; Baty F
17,"Razi SS, Lebovics RS, Schwartz G. Timely airway stenting improves survival in patients with malignant central airway obstruction. Ann Thorac Surg. 2010;90.",Timely airway stenting improves survival in patients with malignant central airway obstruction,Ann Thorac Surg,2010,90,,,,,Razi SS; Lebovics RS; Schwartz G
