#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Feist JH, Johnson TH, Wilson RJ. Acquired tracheomalacia: etiology and differential diagnosis. Chest. 1975;68.",Acquired tracheomalacia: etiology and differential diagnosis,Chest,1975,68,,,,,Feist JH; Johnson TH; Wilson RJ
2,"Jokinen K, Palva T, Sutinen S. Acquired tracheobronchomalacia. Ann Clin Res. 1977;9.",Acquired tracheobronchomalacia,Ann Clin Res,1977,9,,,,,Jokinen K; Palva T; Sutinen S
3,"Jokinen K, Palva T, Nuutinen J. Chronic bronchitis: a bronchologic evaluation. J Otorhinolaryngol Relat Spec. 1976;38.",Chronic bronchitis: a bronchologic evaluation,J Otorhinolaryngol Relat Spec,1976,38,,,,,Jokinen K; Palva T; Nuutinen J
4,Herzog H. Expiratory stenosis of the trachea and great bronchi by loosening of the membranous portion; plastic ship repair. Thoraxchirurgie. 1958;5.,Expiratory stenosis of the trachea and great bronchi by loosening of the membranous portion; plastic ship repair,Thoraxchirurgie,1958,5,,,,,Herzog H
5,"Palombini BC, Villanova CA, Araujo E. A pathogenic triad in chronic cough: asthma, postnasal drip syndrome and gastroesophageal reflux disease. Chest. 1999;116.","A pathogenic triad in chronic cough: asthma, postnasal drip syndrome and gastroesophageal reflux disease",Chest,1999,116,,,,,Palombini BC; Villanova CA; Araujo E
6,"Jokinen K, Palva T, Sutinen S. Acquired tracheobronchomalacia. Ann Clin Res. 1977;9.",Acquired tracheobronchomalacia,Ann Clin Res,1977,9,,,,,Jokinen K; Palva T; Sutinen S
7,Nuutinen J. Acquired tracheobronchiomalacia: a bronchological follow up study. Ann Clin Res. 1977;9.,Acquired tracheobronchiomalacia: a bronchological follow up study,Ann Clin Res,1977,9,,,,,Nuutinen J
8,"Collard P, Freitag L, Reynaert MS. Respiratory failure due to tracheobronchomalacia. Thorax. 1996;51.",Respiratory failure due to tracheobronchomalacia,Thorax,1996,51,,,,,Collard P; Freitag L; Reynaert MS
9,"Zhang J, Hasegawa I, Feller-Kopman D. AUR Memorial Award: dynamic expiratory volumetric CT imaging of the central airways: comparison of standard dose and low dose techniques. Acad Radiol. 2003;10.",AUR Memorial Award: dynamic expiratory volumetric CT imaging of the central airways: comparison of standard dose and low dose techniques,Acad Radiol,2003,10,,,,,Zhang J; Hasegawa I; Feller-Kopman D
10,"Fergusson GT, Benoist J. Nasal continuous positive airway pressure in the treatment of tracheobronchomalacia. Am Rev Respir Dis. 1993;147.",Nasal continuous positive airway pressure in the treatment of tracheobronchomalacia,Am Rev Respir Dis,1993,147,,,,,Fergusson GT; Benoist J
11,"Sommer D, Forte V. Advances in the management of major airway collapse: the use of airway stents. Otolaryngol Clin North Am. 2000;33.",Advances in the management of major airway collapse: the use of airway stents,Otolaryngol Clin North Am,2000,33,,,,,Sommer D; Forte V
12,"Wright CD, Tracheomalacia. Chest Surg Clin N Am. Chest Surg Clin N Am. 2003;13.",Chest Surg Clin N Am,Chest Surg Clin N Am,2003,13,,,,,Wright CD; Tracheomalacia
13,"Carden K, Boiselle P, Waltz D. Tracheomalacia and tracheobronchomalacia in children and adults: an in depth review. Chest. 2005;127.",Tracheomalacia and tracheobronchomalacia in children and adults: an in depth review,Chest,2005,127,,,,,Carden K; Boiselle P; Waltz D
14,"Mair EA, Parsons DS, Lally KP. Treatment of severe bronchomalacia with expanding endobronchial stents. Arch Otolaryngol Head Neck Surg. 1990;116.",Treatment of severe bronchomalacia with expanding endobronchial stents,Arch Otolaryngol Head Neck Surg,1990,116,,,,,Mair EA; Parsons DS; Lally KP
15,"Jones PW, Quirk FH, Baveystock CM. The St George's Respiratory Questionnaire. Respir Med. 1991;85.",The St George's Respiratory Questionnaire,Respir Med,1991,85,,,,,Jones PW; Quirk FH; Baveystock CM
16,"Witek TJ, Mahler DA. Minimal Important difference of transitional dyspnea index in multinational clinical trial. Eur Respir J. 2003;21.",Minimal Important difference of transitional dyspnea index in multinational clinical trial,Eur Respir J,2003,21,,,,,Witek TJ; Mahler DA
17,"Crooks V, Waller S, Smith T. The use of the Karnofsky Performance Scale in determining outcomes and risk in geriatric outpatients. J Gerontol. 1991;46.",The use of the Karnofsky Performance Scale in determining outcomes and risk in geriatric outpatients,J Gerontol,1991,46,,,,,Crooks V; Waller S; Smith T
18,"Loring SH, Cr O, Feller-Kopman DJ. Central airway mechanics and flow limitation in acquired tracheobronchomalacia. Chest. 2007;131.",Central airway mechanics and flow limitation in acquired tracheobronchomalacia,Chest,2007,131,,,,,Loring SH; Cr O; Feller-Kopman DJ
19," Standardization of spirometry, 1994 update. Am J Respir Crit Care Med. 1995;152.","Standardization of spirometry, 1994 update",Am J Respir Crit Care Med,1995,152,,,,,
20,Ats Committee On. Proficiency Standards for Clinical Pulmonary Function Laboratories. ATS Statement: guideline for the six minute walk test. Am J Respir Crit Care Med. 2002;166.,Proficiency Standards for Clinical Pulmonary Function Laboratories. ATS Statement: guideline for the six minute walk test,Am J Respir Crit Care Med,2002,166,,,,,Ats Committee On
21,"Redelmeier DA, Bayoumi AM, Goldstein RS. Interpreting small differences in functional status: the six minute test in chronic lung disease. Am J Respir Crit Care Med. 1997;155.",Interpreting small differences in functional status: the six minute test in chronic lung disease,Am J Respir Crit Care Med,1997,155,,,,,Redelmeier DA; Bayoumi AM; Goldstein RS
22,"Jones PW. The Nedocromil Sodium Quality of Life Study Group: quality of life, symptoms and pulmonary function in asthma; long-term treatment with nedocromil sodium examined in a controlled multicenter trial. Eur Respir J. 1994;7.","The Nedocromil Sodium Quality of Life Study Group: quality of life, symptoms and pulmonary function in asthma; long-term treatment with nedocromil sodium examined in a controlled multicenter trial",Eur Respir J,1994,7,,,,,Jones PW
23,"De Haan R, Aaronson A, Limburg M. Measuring quality of life in stroke. Stroke. 1993;24.",Measuring quality of life in stroke,Stroke,1993,24,,,,,De Haan R; Aaronson A; Limburg M
24,"Hollen PJ, Gralla RJ, Kris MG. Measurement of quality of life in patients with lung cancer in multicenter trials of new therapies. Cancer. 1994;73.",Measurement of quality of life in patients with lung cancer in multicenter trials of new therapies,Cancer,1994,73,,,,,Hollen PJ; Gralla RJ; Kris MG
25,"Schag CC, Heinrich RL, Ganz PA. Karnofsky performance status revisited: reliability, validity and guideline. J Clin Oncol. 1984;2.","Karnofsky performance status revisited: reliability, validity and guideline",J Clin Oncol,1984,2,,,,,Schag CC; Heinrich RL; Ganz PA
26,"Park JG, Edell ES. 27 American Thoracic Society. Standards for the diagnosis and care of patients with chronic obstructive pulmonary disease. Am J Respir Crit Care Med. 1995;12.",27 American Thoracic Society. Standards for the diagnosis and care of patients with chronic obstructive pulmonary disease,Am J Respir Crit Care Med,1995,12,,,,,Park JG; Edell ES
27,"Pauwels RA, Buist AS, Calverley P. On behalf of the GOLD Scientific Committee: global strategy for the diagnosis, management, and prevention of chronic obstructive pulmonary disease; NHLBI/WHO Global Initiative for Chronic Obstructive Lung Disease (GOLD) Executive Summary. Respir Care. 2001;46.","On behalf of the GOLD Scientific Committee: global strategy for the diagnosis, management, and prevention of chronic obstructive pulmonary disease; NHLBI/WHO Global Initiative for Chronic Obstructive Lung Disease (GOLD) Executive Summary",Respir Care,2001,46,,,,,Pauwels RA; Buist AS; Calverley P
