#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Silvestri GA, Johnstone D. Interventional pulmonary procedures: Guidelines from the American College of Chest Physicians. Chest. 2003;123.",Interventional pulmonary procedures: Guidelines from the American College of Chest Physicians,Chest,2003,123,,,,,Ernst A; Silvestri GA; Johnstone D
2,"Mathisen DJ, Morse CR. Thoracic surgery. Lung resections, bronchoplasty. Master techniques in surgery. Thoracic surgery. Lung resections, bronchoplasty. Master techniques in surgery. 2015;None.","Thoracic surgery. Lung resections, bronchoplasty. Master techniques in surgery","Thoracic surgery. Lung resections, bronchoplasty. Master techniques in surgery",2015,,,,,,Mathisen DJ; Morse CR
3,"Bolliger CT, Sutedja TG, Strausz J. Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents. Eur Respir J. 2006;27.","Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents",Eur Respir J,2006,27,,,,,Bolliger CT; Sutedja TG; Strausz J
4,"Casas B, Fernandez-Bussy D, Folch S, E. Nonmalignant central airway obstruction. Arch Bronconeumol. 2014;50.",Nonmalignant central airway obstruction,Arch Bronconeumol,2014,50,,,,,Casas B; Fernandez-Bussy D; Folch S; E
5, Complications from metallic tracheal stents in patients with benign airway disorders. FDA public health notification. 2005;None.,Complications from metallic tracheal stents in patients with benign airway disorders,FDA public health notification,2005,,,,,,
6,"Shea M, Huberman MS, Costa DB. Lazarus-Type Response to Crizotinib in a Patient with Poor Performance Status and Advanced MET Exon 14 Skipping Mutation-Positive Lung Adenocarcinoma. J Thorac Oncol. 2016;11.",Lazarus-Type Response to Crizotinib in a Patient with Poor Performance Status and Advanced MET Exon 14 Skipping Mutation-Positive Lung Adenocarcinoma,J Thorac Oncol,2016,11,,,,,Shea M; Huberman MS; Costa DB
7,"Wang KP, Mehta AC, Turner JF. Flexible bronchoscopy. 3rd ed. Flexible bronchoscopy. 3rd ed. 2012;None.",Flexible bronchoscopy. 3rd ed,Flexible bronchoscopy. 3rd ed,2012,,,,,,Wang KP; Mehta AC; Turner JF
8,"Cheng GZ, Jose Estepar S, Folch R, E. Threedimensional Printing and 3D Slicer: Powerful Tools in Understanding and Treating Structural Lung Disease. Chest. 2016;149.",Threedimensional Printing and 3D Slicer: Powerful Tools in Understanding and Treating Structural Lung Disease,Chest,2016,149,,,,,Cheng GZ; Jose Estepar S; Folch R; E
9,"Wood DE, Liu YH, Vallieres E. Airway stenting for malignant and benign tracheobronchial stenosis. Ann Thorac Surg. 2003;76.",Airway stenting for malignant and benign tracheobronchial stenosis,Ann Thorac Surg,2003,76,,,,,Wood DE; Liu YH; Vallieres E
10,"Chen Q, Liang S, Thouas GA. Elastomeric biomaterials for tissue engineering. Progress in Polymer Science. 2013;38.",Elastomeric biomaterials for tissue engineering,Progress in Polymer Science,2013,38,,,,,Chen Q; Liang S; Thouas GA
11,"Vearick SB, Demetrio KB, Xavier RG. Fiberreinforced silicone for tracheobronchial stents: An experimental study. J Mech Behav Biomed Mater. 2018;77.",Fiberreinforced silicone for tracheobronchial stents: An experimental study,J Mech Behav Biomed Mater,2018,77,,,,,Vearick SB; Demetrio KB; Xavier RG
12,"Strausz J, Kis S, Pápai Z. Tracheobronchial Silicone Stent Implantation with the Flexible Bronchoscope. J Bronchology Interv Pulmonol. 1994;1.",Tracheobronchial Silicone Stent Implantation with the Flexible Bronchoscope,J Bronchology Interv Pulmonol,1994,1,,,,,Strausz J; Kis S; Pápai Z
13,"Makris D, Marquette CH. Tracheobronchial stenting © Annals of Cardiothoracic Surgery. All rights reserved. Ann Cardiothorac Surg. 2007;7(2).",Tracheobronchial stenting © Annals of Cardiothoracic Surgery. All rights reserved,Ann Cardiothorac Surg,2007,7,2,,,,Makris D; Marquette CH
14,"Lemaire A, Burfeind WR, Toloza E. Outcomes of tracheobronchial stents in patients with malignant airway disease. Ann Thorac Surg. 2005;80.",Outcomes of tracheobronchial stents in patients with malignant airway disease,Ann Thorac Surg,2005,80,,,,,Lemaire A; Burfeind WR; Toloza E
15,"Diaz-Jimenez JP, Muñoz EF, Ballarin M, JI. Silicone Stents in the Management of Obstructive Tracheobronchial Lesions: 2-Year Experience. J Bronchology Interv Pulmonol. 1994;1.",Silicone Stents in the Management of Obstructive Tracheobronchial Lesions: 2-Year Experience,J Bronchology Interv Pulmonol,1994,1,,,,,Diaz-Jimenez JP; Muñoz EF; Ballarin M; JI
