#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Brunelli A, Monteverde M, Borri A. Predictors of prolonged air leak after pulmonary lobectomy. Ann of Thorac Surg. 2004;77(4).",Predictors of prolonged air leak after pulmonary lobectomy,Ann of Thorac Surg,2004,77,4,,,,Brunelli A; Monteverde M; Borri A
2,"Rice TW, Okereke IC, Blackstone EH. Persistent air-leak following pulmonary resection. Chest Surg Clin N Am. 2002;12(3).",Persistent air-leak following pulmonary resection,Chest Surg Clin N Am,2002,12,3,,,,Rice TW; Okereke IC; Blackstone EH
3,"Cardillo G, Carleo F, Carbone L. Adverse effects of fibrin sealants in thoracic surgery: the safety of a new fibrin sealant: multicentre, randomized, controlled, clinical trial. Eur J Cardiothorac Surg. 2012;41(3).","Adverse effects of fibrin sealants in thoracic surgery: the safety of a new fibrin sealant: multicentre, randomized, controlled, clinical trial",Eur J Cardiothorac Surg,2012,41,3,,,,Cardillo G; Carleo F; Carbone L
4,"Miller JI, Landreneau RJ, Wright CE. A comparative study of buttressed versus nonbuttressed staple line in pulmonary resections. Ann Thorac Surg. 2001;71(1).",A comparative study of buttressed versus nonbuttressed staple line in pulmonary resections,Ann Thorac Surg,2001,71,1,,,,Miller JI; Landreneau RJ; Wright CE
5,"Stamenovic D, Bostanci K, Messerschmidt A. Fissureless fissure-last video-assisted thoracoscopic lobectomy for all lung lobes: a better alternative to decrease the incidence of prolonged air leak?. Eur J Cardiothorac Surg. 2016;50(1).",Fissureless fissure-last video-assisted thoracoscopic lobectomy for all lung lobes: a better alternative to decrease the incidence of prolonged air leak?,Eur J Cardiothorac Surg,2016,50,1,,,,Stamenovic D; Bostanci K; Messerschmidt A
6,"Fabian T, Federico JA, Ponn RB. Fibrin glue in pulmonary resection: a prospective, randomized, blinded study. Ann Thorac Surg. 2003;75(5).","Fibrin glue in pulmonary resection: a prospective, randomized, blinded study",Ann Thorac Surg,2003,75,5,,,,Fabian T; Federico JA; Ponn RB
7,"Cerfolio RJ, Bass CS, Pask AH. Predictors and treatment of persistent air leaks. Ann Thorac Surg. 2002;73(6).",Predictors and treatment of persistent air leaks,Ann Thorac Surg,2002,73,6,,,,Cerfolio RJ; Bass CS; Pask AH
8,"Cerfolio RJ, Bryant AS. The benefits of continuous and digital air leak assessment after elective pulmonary resection: a prospective study. Ann Thorac Surg. 2008;86(2).",The benefits of continuous and digital air leak assessment after elective pulmonary resection: a prospective study,Ann Thorac Surg,2008,86,2,,,,Cerfolio RJ; Bryant AS
9,"Lang P, Manickavasagar M, Burdett C. Suction on chest drains following lung resection: evidence and practice are not aligned. Eur J Cardiothorac Surg. 2016;49(2).",Suction on chest drains following lung resection: evidence and practice are not aligned,Eur J Cardiothorac Surg,2016,49,2,,,,Lang P; Manickavasagar M; Burdett C
10,"Brunelli A, Sabbatini A, Xiumé F. Alternate suction reduces prolonged air leak after pulmonary lobectomy: a randomized comparison versus water seal. Ann Thorac Surg. 2005;80(3).",Alternate suction reduces prolonged air leak after pulmonary lobectomy: a randomized comparison versus water seal,Ann Thorac Surg,2005,80,3,,,,Brunelli A; Sabbatini A; Xiumé F
