#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Silvestri GA, Johnstone D, College A, Physicians C. Interventional pulmonary procedures: Guidelines from the American College of Chest Physicians. Chest. 2003;123.",Interventional pulmonary procedures: Guidelines from the American College of Chest Physicians,Chest,2003,123,,,,,Ernst A; Silvestri GA; Johnstone D; College A; Physicians C
2,"Frutos-Vivar F, Apezteguía EA, C. Outcome of mechanically ventilated patients who require a tracheostomy. Crit Care Med. 2005;33.",Outcome of mechanically ventilated patients who require a tracheostomy,Crit Care Med,2005,33,,,,,Frutos-Vivar F; Apezteguía EA; C
3, Quality of Life After Mechanized Ventilation in the Elderly Study Investigators. 2-month mortality and functional status of critically ill adult patients receiving prolonged mechanical ventilation. Chest. 2002;121.,Quality of Life After Mechanized Ventilation in the Elderly Study Investigators. 2-month mortality and functional status of critically ill adult patients receiving prolonged mechanical ventilation,Chest,2002,121,,,,,
4,"Yarmus L, Gilbert C, Lechtzin N. Safety and feasibility of interventional pulmonologists performing bedside percutaneous endoscopic gastrostomy tube placement. Chest. 2013;144.",Safety and feasibility of interventional pulmonologists performing bedside percutaneous endoscopic gastrostomy tube placement,Chest,2013,144,,,,,Yarmus L; Gilbert C; Lechtzin N
5,"Belanger A, Akulian J. Interventional pulmonology in the intensive care unit: percutaneous tracheostomy and gastrostomy. Semin Respir Crit Care Med. 2014;35.",Interventional pulmonology in the intensive care unit: percutaneous tracheostomy and gastrostomy,Semin Respir Crit Care Med,2014,35,,,,,Belanger A; Akulian J
6,"Szmuk P, Ezri T, Evron S. A brief history of tracheostomy and tracheal intubation, from the Bronze Age to the Space Age. Intensive Care Med. 2008;34.","A brief history of tracheostomy and tracheal intubation, from the Bronze Age to the Space Age",Intensive Care Med,2008,34,,,,,Szmuk P; Ezri T; Evron S
7,"Ciaglia P, Firsching R, Syniec C. Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report. Chest. 1985;87.",Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report,Chest,1985,87,,,,,Ciaglia P; Firsching R; Syniec C
8,"Johnson-Obaseki S, Veljkovic A, Javidnia H. Complication rates of open surgical versus percutaneous tracheostomy in critically ill patients. Laryngoscope. 2016;126.",Complication rates of open surgical versus percutaneous tracheostomy in critically ill patients,Laryngoscope,2016,126,,,,,Johnson-Obaseki S; Veljkovic A; Javidnia H
9,"Brass P, Hellmich M, Ladra A. Percutaneous techniques versus surgical techniques for tracheostomy. Cochrane Database Syst Rev. 2016;7:8045.",Percutaneous techniques versus surgical techniques for tracheostomy,Cochrane Database Syst Rev,2016,7,,8045,,,Brass P; Hellmich M; Ladra A
10,"Madsen KR, Guldager H, Rewers M. Guidelines for Percutaneous Dilatational Tracheostomy (PDT) from the Danish Society of Intensive Care Medicine (DSIT) and the Danish Society of Anesthesiology and Intensive Care Medicine (DASAIM). Dan Med Bull. 2011;58:4358.",Guidelines for Percutaneous Dilatational Tracheostomy (PDT) from the Danish Society of Intensive Care Medicine (DSIT) and the Danish Society of Anesthesiology and Intensive Care Medicine (DASAIM),Dan Med Bull,2011,58,,4358,,,Madsen KR; Guldager H; Rewers M
