#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Cancer Facts and Figures. Cancer Facts and Figures. 2013;None.,Cancer Facts and Figures,Cancer Facts and Figures,2013,,,,,,
2,"Tscheikuna J, Disayabutr S, Kakanaporn C. High dose rate endobronchial brachytherapy (HDR-EB) in recurrent benign complex tracheobronchial stenosis: experience in two cases. J Med Assoc Thai. 2013;96(2).",High dose rate endobronchial brachytherapy (HDR-EB) in recurrent benign complex tracheobronchial stenosis: experience in two cases,J Med Assoc Thai,2013,96,2,,,,Tscheikuna J; Disayabutr S; Kakanaporn C
3,"Meyer A, Warszawski-Baumann A, Baumann R. HDR brachytherapy: an option for preventing nonmalignant obstruction in patients after lung transplantation. Strahlenther Onkol. 2012;188.",HDR brachytherapy: an option for preventing nonmalignant obstruction in patients after lung transplantation,Strahlenther Onkol,2012,188,,,,,Meyer A; Warszawski-Baumann A; Baumann R
4,"Allen AM, Abdelrahman N, Silvern D. Endobronchial brachytherapy provides excellent long-term control of recurrent granulation tissue after tracheal stenosis. Brachytherapy. 2012;11.",Endobronchial brachytherapy provides excellent long-term control of recurrent granulation tissue after tracheal stenosis,Brachytherapy,2012,11,,,,,Allen AM; Abdelrahman N; Silvern D
5,"Dagnault A, Ebacher A, Vigneault E. Retrospective study of 81 patients treated with brachytherapy for endobronchial primary tumor or metastasis. Brachytherapy. 2010;9.",Retrospective study of 81 patients treated with brachytherapy for endobronchial primary tumor or metastasis,Brachytherapy,2010,9,,,,,Dagnault A; Ebacher A; Vigneault E
6,"Mantz CA, Dosoretz DE, Rubenstein JH. Endobronchial brachytherapy and optimization of local disease control in medically inoperable non-small cell lung carcinoma: a matched-pair analysis. Brachytherapy. 2004;3.",Endobronchial brachytherapy and optimization of local disease control in medically inoperable non-small cell lung carcinoma: a matched-pair analysis,Brachytherapy,2004,3,,,,,Mantz CA; Dosoretz DE; Rubenstein JH
7,"Rochet N, Hauswald H, Stoiber EM. Primary radiotherapy with endobronchial high-dose-rate brachytherapy boost for inoperable lung cancer: long-term results. Tumori. 2013;99.",Primary radiotherapy with endobronchial high-dose-rate brachytherapy boost for inoperable lung cancer: long-term results,Tumori,2013,99,,,,,Rochet N; Hauswald H; Stoiber EM
8,"Lee W, Daly BD, Dipetrillo TA. Limited resection for nonsmall cell lung cancer: observed local control with implantation of I-125 brachytherapy seeds. Ann Thorac Surg. 2003;75.",Limited resection for nonsmall cell lung cancer: observed local control with implantation of I-125 brachytherapy seeds,Ann Thorac Surg,2003,75,,,,,Lee W; Daly BD; Dipetrillo TA
9,"Hilaris BS, Martini N. Interstitial brachytherapy in cancer of the lung: a 20 year experience. Int J Radiat Oncol Biol Phys. 1979;5.",Interstitial brachytherapy in cancer of the lung: a 20 year experience,Int J Radiat Oncol Biol Phys,1979,5,,,,,Hilaris BS; Martini N
10,"Hilaris BS, Dattatreyudu N, Beattie EJ, Jr. Value of perioperative brachytherapy in the management of non-oat cell carcinoma of the lung. Int J Radiat Oncol Biol Phys. 1983;9.",Value of perioperative brachytherapy in the management of non-oat cell carcinoma of the lung,Int J Radiat Oncol Biol Phys,1983,9,,,,,Hilaris BS; Dattatreyudu N; Beattie EJ; Jr
11,"Hilaris BS, Gomez J, Nori D. Combined surgery, intraoperative brachytherapy and postoperative external radiation in stage III non-small cell lung cancer. Cancer. 1985;55.","Combined surgery, intraoperative brachytherapy and postoperative external radiation in stage III non-small cell lung cancer",Cancer,1985,55,,,,,Hilaris BS; Gomez J; Nori D
12,"Aye RW, Mate TP, Anderson HN. Extending the limits of lung cancer resection. Am J Surg. 1993;165.",Extending the limits of lung cancer resection,Am J Surg,1993,165,,,,,Aye RW; Mate TP; Anderson HN
13,"Chen A, Galloway M, Landreneau R. Intraoperative 125I brachytherapy for high-risk stage I non-small cell lung carcinoma. Int J Radiat Oncol Biol Phys. 1999;44.",Intraoperative 125I brachytherapy for high-risk stage I non-small cell lung carcinoma,Int J Radiat Oncol Biol Phys,1999,44,,,,,Chen A; Galloway M; Landreneau R
14,"Amato D, Galloway TA, Szydlowski M, G. Intraoperative brachytherapy following thoracoscopic wedge resection of stage I lung cancer. Chest. 1998;114.",Intraoperative brachytherapy following thoracoscopic wedge resection of stage I lung cancer,Chest,1998,114,,,,,Amato D; Galloway TA; Szydlowski M; G
15,"Fernando HC, Santos RS, Benfield JR. Lobar and sublobar resection with and without brachytherapy for small stage IA non-small cell lung cancer. J Thorac Cardiovasc Surg. 2005;129.",Lobar and sublobar resection with and without brachytherapy for small stage IA non-small cell lung cancer,J Thorac Cardiovasc Surg,2005,129,,,,,Fernando HC; Santos RS; Benfield JR
16,"Fleischman EH, Kagan AR, Streeter OE. Iodine 125 interstitial brachytherapy in the treatment of carcinoma of the lung. J Surg Oncol. 1992;49.",Iodine 125 interstitial brachytherapy in the treatment of carcinoma of the lung,J Surg Oncol,1992,49,,,,,Fleischman EH; Kagan AR; Streeter OE
17,"Santos R, Colonias A, Parda D. Comparison between sublobar resection and 125Iodine brachytherapy after sublobar resection in high-risk patients with stage I non small cell lung cancer. Surgery. 2003;134.",Comparison between sublobar resection and 125Iodine brachytherapy after sublobar resection in high-risk patients with stage I non small cell lung cancer,Surgery,2003,134,,,,,Santos R; Colonias A; Parda D
18,"Voynov G, Heron DE, Lin CJ. Intraoperative 125I vicryl mesh brachytherapy after sublobar resection for high-risk stage I nonsmall cell lung cancer. Brachytherapy. 2005;4.",Intraoperative 125I vicryl mesh brachytherapy after sublobar resection for high-risk stage I nonsmall cell lung cancer,Brachytherapy,2005,4,,,,,Voynov G; Heron DE; Lin CJ
19,"Rogers CL, Theodore N, Dickman CA. Surgery and permanent 125I seed paraspinal brachytherapy for malignant tumors with spinal cord compression. Int J Radiat Oncol Biol Phys. 2002;54.",Surgery and permanent 125I seed paraspinal brachytherapy for malignant tumors with spinal cord compression,Int J Radiat Oncol Biol Phys,2002,54,,,,,Rogers CL; Theodore N; Dickman CA
20,"Armstrong JG, Fass DF, Bains M. Paraspinal tumors: techniques and results of brachytherapy. Int J Radiat Oncol Biol Phys. 1991;20.",Paraspinal tumors: techniques and results of brachytherapy,Int J Radiat Oncol Biol Phys,1991,20,,,,,Armstrong JG; Fass DF; Bains M
21,"Stewart AJ, Farrell O, Mutyala D, S. Case reports to describe toxicity resulting from permanent radioactive seed implantation for mediastinal carcinoid tumor. Brachytherapy. 2007;6.",Case reports to describe toxicity resulting from permanent radioactive seed implantation for mediastinal carcinoid tumor,Brachytherapy,2007,6,,,,,Stewart AJ; Farrell O; Mutyala D; S
22,"Birdas TJ, Koehler R, Colonias A. Sublobar resection with brachytherapy versus lobectomy for stage IB nonsmall cell lung cancer. Ann Thorac Surg. 2006;81.",Sublobar resection with brachytherapy versus lobectomy for stage IB nonsmall cell lung cancer,Ann Thorac Surg,2006,81,,,,,Birdas TJ; Koehler R; Colonias A
23,"Heelan RT, Hilaris BS, Anderson LL. Lung tumors: percutaneous implantation of I-125 sources with CT treatment planning. Radiology. 1987;164.",Lung tumors: percutaneous implantation of I-125 sources with CT treatment planning,Radiology,1987,164,,,,,Heelan RT; Hilaris BS; Anderson LL
24,"Parashar B, Wernicke AG, Pavese A. Cesium-131 permanent seed brachytherapy: dosimetric evaluation and radiation exposure to surgeons, radiation oncologists, and staff. Brachytherapy. 2011;10.","Cesium-131 permanent seed brachytherapy: dosimetric evaluation and radiation exposure to surgeons, radiation oncologists, and staff",Brachytherapy,2011,10,,,,,Parashar B; Wernicke AG; Pavese A
25,"Parashar B, Arora S, CP. Comparison of wedge resection versus wedge resection plus Cesium-131 brachytherapy versus stereotactic body radiation therapy in management of early stage lung cancer patients that are not candidates for a standard lobectomy. Int J Radiat Oncol Biol Phys. 2013;87(2).",Comparison of wedge resection versus wedge resection plus Cesium-131 brachytherapy versus stereotactic body radiation therapy in management of early stage lung cancer patients that are not candidates for a standard lobectomy,Int J Radiat Oncol Biol Phys,2013,87,2,,,,Parashar B; Arora S; CP
26,"Nag S, Abitbol AA, Anderson LL. Consensus guidelines for high dose rate remote brachytherapy in cervical, endometrial, and endobronchial tumors. Clinical Research Committee, American Endocurietherapy Society. Int J Radiat Oncol Biol Phys. 1993;27.","Consensus guidelines for high dose rate remote brachytherapy in cervical, endometrial, and endobronchial tumors. Clinical Research Committee, American Endocurietherapy Society",Int J Radiat Oncol Biol Phys,1993,27,,,,,Nag S; Abitbol AA; Anderson LL
