#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Pratt LW, Ferlito A, RA. Tracheotomy: historical review. Laryngoscope. 2008;118.",Tracheotomy: historical review,Laryngoscope,2008,118,,,,,Pratt LW; Ferlito A; RA
2,"Ferlito A, Shaha RA, AR. Percutaneous tracheotomy. Acta Otolaryngol. 2003;123.",Percutaneous tracheotomy,Acta Otolaryngol,2003,123,,,,,Ferlito A; Shaha RA; AR
3,Blomstedt P. Tracheostomy in ancient Egypt. J Laryngol Otol. 2014;128.,Tracheostomy in ancient Egypt,J Laryngol Otol,2014,128,,,,,Blomstedt P
4,"Szmuk P, Ezri T, Evron S. A brief history of tracheostomy and tracheal intubation, from the Bronze Age to the Space Age. Intensive Care Med. 2008;34.","A brief history of tracheostomy and tracheal intubation, from the Bronze Age to the Space Age",Intensive Care Med,2008,34,,,,,Szmuk P; Ezri T; Evron S
5,"Borman J, Jt D. A history of tracheostomy: si spiritum ducit vivit (Cicero). Br J Anaesth. 1963;35.",A history of tracheostomy: si spiritum ducit vivit (Cicero),Br J Anaesth,1963,35,,,,,Borman J; Jt D
6,"Akulian JA, Yarmus L, Feller-Kopman D. The role of cricothyrotomy, tracheostomy, and percutaneous tracheostomy in airway management. Anesthesiol Clin. 2015;33.","The role of cricothyrotomy, tracheostomy, and percutaneous tracheostomy in airway management",Anesthesiol Clin,2015,33,,,,,Akulian JA; Yarmus L; Feller-Kopman D
7,"Shelden CH, Pudenz RH, Freshwater DB. A new method for tracheotomy. J Neurosurg. 1955;12.",A new method for tracheotomy,J Neurosurg,1955,12,,,,,Shelden CH; Pudenz RH; Freshwater DB
8,"Ciaglia P, Firsching R, Syniec C. Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report. Chest. 1985;87.",Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report,Chest,1985,87,,,,,Ciaglia P; Firsching R; Syniec C
9,"Griggs WM, Worthley LI, Gilligan JE. A simple percutaneous tracheostomy technique. Surg Gynecol Obstet. 1990;170.",A simple percutaneous tracheostomy technique,Surg Gynecol Obstet,1990,170,,,,,Griggs WM; Worthley LI; Gilligan JE
10,"Fantoni A, Ripamonti D. A non-derivative, non-surgical tracheostomy: the translaryngeal method. Intensive Care Med. 1997;23.","A non-derivative, non-surgical tracheostomy: the translaryngeal method",Intensive Care Med,1997,23,,,,,Fantoni A; Ripamonti D
11,"Frova G, Quintel M. A new simple method for percutaneous tracheostomy: controlled rotating dilation. A preliminary report. Intensive Care Med. 2002;28.",A new simple method for percutaneous tracheostomy: controlled rotating dilation. A preliminary report,Intensive Care Med,2002,28,,,,,Frova G; Quintel M
12,"Plummer AL, Gracey DR. Consensus conference on artificial airways in patients receiving mechanical ventilation. Chest. 1989;96.",Consensus conference on artificial airways in patients receiving mechanical ventilation,Chest,1989,96,,,,,Plummer AL; Gracey DR
13,"Durbin CG. Tracheostomy: why, when, and how?. Respir Care. 2010;55.","Tracheostomy: why, when, and how?",Respir Care,2010,55,,,,,Durbin CG
14,"Apfelbaum JL, Hagberg CA, Connis RT. American Society of Anesthesiologists Practice Guidelines for Management of the Difficult Airway. Anesthesiology. 2022;136.",American Society of Anesthesiologists Practice Guidelines for Management of the Difficult Airway,Anesthesiology,2022,136,,,,,Apfelbaum JL; Hagberg CA; Connis RT
