#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, meta-analysis. Statistics in Medicine. 2002;21.,meta-analysis,Statistics in Medicine,2002,21,,,,,
2,Higgins. None. None. 2003;None.,,,2003,,,,,,Higgins
3,"Higgins JP, Thompson SG, Deeks JJ, Altman DG. Measuring inconsistency in meta-analysis. BMJ. 2003;327.",Measuring inconsistency in meta-analysis,BMJ,2003,327,,,,,Higgins JP; Thompson SG; Deeks JJ; Altman DG
4,Higgins. None. None. 2007;None.,,,2007,,,,,,Higgins
5,"Higgins KM, Punthakee X. Meta-analysis comparison of open versus percutaneous tracheostomy. Laryngoscope. 2007;117(3).",Meta-analysis comparison of open versus percutaneous tracheostomy,Laryngoscope,2007,117,3,,,,Higgins KM; Punthakee X
6,Higgins. Cochrane Handbook for Systematic Reviews of Interventions Version 5. The Cochrane Collaboration. 2011;None.,Cochrane Handbook for Systematic Reviews of Interventions Version 5,The Cochrane Collaboration,2011,,,,,,Higgins
7,"Higgins ;, Higgins J, Green S, Editors. Highly sensitive search strategies for identifying reports of randomized controlled trials in MEDLINE. Cochrane Handbook for Systematic Reviews of Interventions Version. 2011;5(1).",Highly sensitive search strategies for identifying reports of randomized controlled trials in MEDLINE,Cochrane Handbook for Systematic Reviews of Interventions Version,2011,5,1,,,,Higgins ;; Higgins J; Green S; Editors
8, None. None. 2011;None.,,,2011,,,,,,
9,"Higgins ;, Higgins J, Green S. Assessment of study quality. Cochrane Handbook for Systematic Reviews of Interventions Version. 2011;5(1).",Assessment of study quality,Cochrane Handbook for Systematic Reviews of Interventions Version,2011,5,1,,,,Higgins ;; Higgins J; Green S
10, None. None. 2011;None.,,,2011,,,,,,
11,"Hill ;, Hill AB. The environment and disease: association or causation?. Proceedings of the Royal Society of Medicine. 1965;58.",The environment and disease: association or causation?,Proceedings of the Royal Society of Medicine,1965,58,,,,,Hill ;; Hill AB
12,Holzapfel. None. None. 1993;None.,,,1993,,,,,,Holzapfel
13,"Holzapfel L, Chevret S, Madinier G, Ohen F, Demingeon G, Coupry A. Influence of long-term oro-or nasotracheal intubation on nosocomial maxillary sinusitis and pneumonia: results of a prospective, randomized, clinical trial. CritIcal Care Medicine. 1993;21(8).","Influence of long-term oro-or nasotracheal intubation on nosocomial maxillary sinusitis and pneumonia: results of a prospective, randomized, clinical trial",CritIcal Care Medicine,1993,21,8,,,,Holzapfel L; Chevret S; Madinier G; Ohen F; Demingeon G; Coupry A
14,Ioannidis. None. None. 1998;None.,,,1998,,,,,,Ioannidis
15,"Ioannidis JP, Cappelleri JC, Lau J. Issues in comparisons between meta-analyses and large trials. JAMA. 1998;279(14).",Issues in comparisons between meta-analyses and large trials,JAMA,1998,279,14,,,,Ioannidis JP; Cappelleri JC; Lau J
16,Latour. None. None. 1997;None.,,,1997,,,,,,Latour
17,"Latour J, Abraira V, Cabello JB, Sánchez L, J. Investigation methods in clinical cardiology. IV. Clinical measurements in cardiology: validity and errors of measurements [Las mediciones clínicas en cardiología:validez y errores de medición. Revista Española de Cardiología. 1997;50(2).",Investigation methods in clinical cardiology. IV. Clinical measurements in cardiology: validity and errors of measurements [Las mediciones clínicas en cardiología:validez y errores de medición,Revista Española de Cardiología,1997,50,2,,,,Latour J; Abraira V; Cabello JB; Sánchez L; J
18,Lesnik. None. None. 1992;None.,,,1992,,,,,,Lesnik
19,"Lesnik I, Rappaport W, Fulginiti J, Witzke D. The role of early tracheostomy in blunt, multiple organ trauma. The American Surgeon. 1992;58(6).","The role of early tracheostomy in blunt, multiple organ trauma",The American Surgeon,1992,58,6,,,,Lesnik I; Rappaport W; Fulginiti J; Witzke D
20,Légaré. None. None. 2001;None.,,,2001,,,,,,Légaré
21,"Légaré JF, Hirsch GM, Buth KJ, Macdougall C, Sullivan JA. Preoperative prediction of prolonged mechanical ventilation following coronary artery bypass gra ing. European Association for Cardio-thoracic Surgery. 2001;20(5).",Preoperative prediction of prolonged mechanical ventilation following coronary artery bypass gra ing,European Association for Cardio-thoracic Surgery,2001,20,5,,,,Légaré JF; Hirsch GM; Buth KJ; Macdougall C; Sullivan JA
22,Mccormack. None. None. 2013;None.,,,2013,,,,,,Mccormack
23,"Mccormack J, Vandermeer B, Allan GM. How confidence intervals become confusion intervals. BMC Medical Research Methodology. 2013;13:134.",How confidence intervals become confusion intervals,BMC Medical Research Methodology,2013,13,,134,,,Mccormack J; Vandermeer B; Allan GM
24, Mortality (time to mortality or frequency at any time point: in hospital. Mortality (time to mortality or frequency at any time point: in hospital. None;None.,Mortality (time to mortality or frequency at any time point: in hospital,Mortality (time to mortality or frequency at any time point: in hospital,,,,,,,
25," Laryngotracheal lesions at any time point (in epiglottis, vocal cord, larynx, subglottic ulceration and inflammation) 4. Eating/vocal/speech problems V. METHODOLOGICAL QUALITY. Laryngotracheal lesions at any time point (in epiglottis, vocal cord, larynx, subglottic ulceration and inflammation) 4. Eating/vocal/speech problems V. METHODOLOGICAL QUALITY. None;None.","Laryngotracheal lesions at any time point (in epiglottis, vocal cord, larynx, subglottic ulceration and inflammation) 4. Eating/vocal/speech problems V. METHODOLOGICAL QUALITY","Laryngotracheal lesions at any time point (in epiglottis, vocal cord, larynx, subglottic ulceration and inflammation) 4. Eating/vocal/speech problems V. METHODOLOGICAL QUALITY",,,,,,,
26, Unclear risk: Were incomplete outcome data adequately addressed? Low risk: Early versus late tracheostomy for critically ill patients (Review) Copyright © 2018 The Cochrane Collaboration. Was the random allocation sequence adequately generated? Low risk: High risk: Unclear risk: Was allocation adequately concealed? Low risk: High risk: Unclear risk: Blinding: Was knowledge of the allocated interventions adequately prevented during the study? Low risk: High risk. None;None.,Unclear risk: Were incomplete outcome data adequately addressed? Low risk: Early versus late tracheostomy for critically ill patients (Review) Copyright © 2018 The Cochrane Collaboration,Was the random allocation sequence adequately generated? Low risk: High risk: Unclear risk: Was allocation adequately concealed? Low risk: High risk: Unclear risk: Blinding: Was knowledge of the allocated interventions adequately prevented during the study? Low risk: High risk,,,,,,,
