#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Almeida FA. Bronchoscopy and endobronchial ultrasound for diagnosis and staging of lung cancer. Cleve Clin J Med. 2012;79(Suppl 1).,Bronchoscopy and endobronchial ultrasound for diagnosis and staging of lung cancer,Cleve Clin J Med,2012,79,Suppl 1,,,,Almeida FA
2,"Kinsey CM, Arenberg DA. Endobronchial ultrasound-guided transbronchial needle aspiration for non-small cell lung cancer staging. Am J Respir Crit Care Med. 2014;189.",Endobronchial ultrasound-guided transbronchial needle aspiration for non-small cell lung cancer staging,Am J Respir Crit Care Med,2014,189,,,,,Kinsey CM; Arenberg DA
3,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Rivera MP; Mehta AC; Wahidi MM
4,"Yarmus LB, Akulian JA, Gilbert C. Comparison of moderate versus deep sedation for endobronchial ultrasound transbronchial needle aspiration. Ann Am Thorac Soc. 2013;10.",Comparison of moderate versus deep sedation for endobronchial ultrasound transbronchial needle aspiration,Ann Am Thorac Soc,2013,10,,,,,Yarmus LB; Akulian JA; Gilbert C
5,"Abdelmalak BB, Gildea TR, Doyle DJ. Anesthesia for bronchoscopy. Curr Pharm Des. 2012;18.",Anesthesia for bronchoscopy,Curr Pharm Des,2012,18,,,,,Abdelmalak BB; Gildea TR; Doyle DJ
6,"Sun J, Garfield DH, Lam B. The value of autofluorescence bronchoscopy combined with white light bronchoscopy compared with white light alone in the diagnosis of intraepithelial neoplasia and invasive lung cancer: a meta-analysis. J Thorac Oncol. 2011;6.",The value of autofluorescence bronchoscopy combined with white light bronchoscopy compared with white light alone in the diagnosis of intraepithelial neoplasia and invasive lung cancer: a meta-analysis,J Thorac Oncol,2011,6,,,,,Sun J; Garfield DH; Lam B
7,Gildea TR. Autofluorescence bronchoscopy: a far rising. J Bronchol Intervent Pulmonol. 2006;13.,Autofluorescence bronchoscopy: a far rising,J Bronchol Intervent Pulmonol,2006,13,,,,,Gildea TR
8,"Zaric B, Stojsic V, Sarcev T. Advanced bronchoscopic techniques in diagnosis and staging of lung cancer. J Thorac Dis. 2013;5.",Advanced bronchoscopic techniques in diagnosis and staging of lung cancer,J Thorac Dis,2013,5,,,,,Zaric B; Stojsic V; Sarcev T
9,"Zaric B, Perin B, Stojsic V. Relation between vascular patterns visualized by Narrow Band Imaging (NBI) videobronchoscopy and histological type of lung cancer. Med Oncol. 2013;30:374.",Relation between vascular patterns visualized by Narrow Band Imaging (NBI) videobronchoscopy and histological type of lung cancer,Med Oncol,2013,30,,374,,,Zaric B; Perin B; Stojsic V
10,"Shibuya K, Nakajima T, Fujiwara T. Narrow band imaging with high-resolution bronchovideoscopy: a new approach for visualizing angiogenesis in squamous cell carcinoma of the lung. Lung Cancer. 2010;69.",Narrow band imaging with high-resolution bronchovideoscopy: a new approach for visualizing angiogenesis in squamous cell carcinoma of the lung,Lung Cancer,2010,69,,,,,Shibuya K; Nakajima T; Fujiwara T
