#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Dhooria S, Chaudhary S, Ram B et al.. A Randomized Trial of Nebulized Lignocaine, Lignocaine Spray, or Their Combination for Topical Anesthesia During Diagnostic Flexible Bronchoscopy. Chest. 2020;157. doi:10.1016/j.chest.2019.06.018.","A Randomized Trial of Nebulized Lignocaine, Lignocaine Spray, or Their Combination for Topical Anesthesia During Diagnostic Flexible Bronchoscopy",Chest,2020,157,,,10.1016/j.chest.2019.06.018,,Dhooria S; Chaudhary S; Ram B; Sehgal IS; Muthu V; Prasad KT; Aggarwal AN; Agarwal R
2,"Islamitabar S, Gholizadeh M, Rakhshani MH, Kazemzadeh A, Tadayonfar M. Comparison of Nebulized Lidocaine and Intratracheally Injected (Spray-as-you-go) Lidocaine in Pain and Cough Reduction during Bronchoscopy. Tanaffos. 2022;21.",Comparison of Nebulized Lidocaine and Intratracheally Injected (Spray-as-you-go) Lidocaine in Pain and Cough Reduction during Bronchoscopy,Tanaffos,2022,21,,,,,Islamitabar S; Gholizadeh M; Rakhshani MH; Kazemzadeh A; Tadayonfar M
3,"Dreher M, Cornelissen CG, Reddemann MA, Müller A, Hübel C, Müller T. Nebulized versus Standard Local Application of Lidocaine during Flexible Bronchoscopy: A Randomized Controlled Trial. Respir. Int. Rev. Thorac. Dis. 2016;92. doi:10.1159/000449135.",Nebulized versus Standard Local Application of Lidocaine during Flexible Bronchoscopy: A Randomized Controlled Trial,Respir. Int. Rev. Thorac. Dis,2016,92,,,10.1159/000449135,,Dreher M; Cornelissen CG; Reddemann MA; Müller A; Hübel C; Müller T
4,"Lev R, Rosen P. Prophylactic lidocaine use preintubation: A review. J. Emerg. Med. 1994;12. doi:10.1016/0736-4679(94)90347-6.",Prophylactic lidocaine use preintubation: A review,J. Emerg. Med,1994,12,,,10.1016/0736-4679(94)90347-6,,Lev R; Rosen P
5,"Yukioka H, Yoshimoto N, Nishimura K, Fujimori M. Intravenous lidocaine as a suppressant of coughing during tracheal intubation. Anesthesia Analg. 1985;64. doi:10.1213/00000539-198512000-00010.",Intravenous lidocaine as a suppressant of coughing during tracheal intubation,Anesthesia Analg,1985,64,,,10.1213/00000539-198512000-00010,,Yukioka H; Yoshimoto N; Nishimura K; Fujimori M
6,"Yang L, He T, Liu M et al.. The effect of intravenous lidocaine on propofol dosage in painless bronchoscopy of patients with COPD. Front. Surg. 2022;9:872916. doi:10.3389/fsurg.2022.872916.",The effect of intravenous lidocaine on propofol dosage in painless bronchoscopy of patients with COPD,Front. Surg,2022,9,,872916,10.3389/fsurg.2022.872916,,Yang L; He T; Liu M; Han S; Wu Z; Hao W; Lu Z
7,"Fashp BD, Pharm D, Dabat; Faact; Aliem. Safe Dosing of Nebulized Lidocaine. Safe Dosing of Nebulized Lidocaine. 2013;None.",Safe Dosing of Nebulized Lidocaine,Safe Dosing of Nebulized Lidocaine,2013,,,,,,Fashp BD; Pharm D; Dabat; Faact; Aliem
8,"Pfeifer HJ, Greenblatt DJ, Koch-Weser J. Clinical use and toxicity of intravenous lidocaine: A report from the Boston Collaborative Drug Surveillance Program. Am. Heart J. 1976;92. doi:10.1016/S0002-8703(76)80252-9.",Clinical use and toxicity of intravenous lidocaine: A report from the Boston Collaborative Drug Surveillance Program,Am. Heart J,1976,92,,,10.1016/S0002-8703(76)80252-9,,Pfeifer HJ; Greenblatt DJ; Koch-Weser J
9,"Brown DL, Skiendzielewski JJ. Lidocaine toxicity. Ann. Emerg. Med. 1980;9. doi:10.1016/S0196-0644(80)80475-6.",Lidocaine toxicity,Ann. Emerg. Med,1980,9,,,10.1016/S0196-0644(80)80475-6,,Brown DL; Skiendzielewski JJ
10,"Welter KJ, Gordon S, Snyder P, Martin B. A case report of an 18-year-old receiving nebulized lidocaine for treatment of COVID-19 cough. Heart Lung. 2023;57. doi:10.1016/j.hrtlng.2022.09.009.",A case report of an 18-year-old receiving nebulized lidocaine for treatment of COVID-19 cough,Heart Lung,2023,57,,,10.1016/j.hrtlng.2022.09.009,,Welter KJ; Gordon S; Snyder P; Martin B
11,"Chinn WM, Zavala DC, Ambre J. Plasma Levels of Lidocaine Following Nebulized Aerosol Administration. Chest. 1977;71. doi:10.1378/chest.71.3.346.",Plasma Levels of Lidocaine Following Nebulized Aerosol Administration,Chest,1977,71,,,10.1378/chest.71.3.346,,Chinn WM; Zavala DC; Ambre J
12,"Qanash S, Hakami O, Al-Husayni F, Gari AG. Flexible Fiberoptic Bronchoscopy: Indications, Diagnostic Yield and Complications. Cureus. 2020;12:11122. doi:10.7759/cureus.11122.","Flexible Fiberoptic Bronchoscopy: Indications, Diagnostic Yield and Complications",Cureus,2020,12,,11122,10.7759/cureus.11122,,Qanash S; Hakami O; Al-Husayni F; Gari AG
13, Lung Cancer Statistics|How Common Is Lung Cancer. Lung Cancer Statistics|How Common Is Lung Cancer. 2024;None.,Lung Cancer Statistics|How Common Is Lung Cancer,Lung Cancer Statistics|How Common Is Lung Cancer,2024,,,,,,
14, Screening for Lung Cancer. Lung Cancer. 2024;None.,Screening for Lung Cancer,Lung Cancer,2024,,,,,,
15,"Mwesigwa NW, Tentzeris V, Gooseman M, Qadri S, Maxine R, Cowen M. Electromagnetic Navigational Bronchoscopy Learning Curve Regarding Pneumothorax Rate and Diagnostic Yield. Cureus. 2024;16:58289. doi:10.7759/cureus.58289.",Electromagnetic Navigational Bronchoscopy Learning Curve Regarding Pneumothorax Rate and Diagnostic Yield,Cureus,2024,16,,58289,10.7759/cureus.58289,,Mwesigwa NW; Tentzeris V; Gooseman M; Qadri S; Maxine R; Cowen M
16,"Cicenia J, Avasarala SK, Gildea TR. Navigational bronchoscopy: A guide through history, current use, and developing technology. J. Thorac. Dis. 2020;12. doi:10.21037/jtd-2019-ndt-11.","Navigational bronchoscopy: A guide through history, current use, and developing technology",J. Thorac. Dis,2020,12,,,10.21037/jtd-2019-ndt-11,,Cicenia J; Avasarala SK; Gildea TR
17,"Khan A, Bashour SI, Casal RF. Preventing atelectasis during bronchoscopy under general anesthesia. J. Thorac. Dis. 2023;15. doi:10.21037/jtd-23-97.",Preventing atelectasis during bronchoscopy under general anesthesia,J. Thorac. Dis,2023,15,,,10.21037/jtd-23-97,,Khan A; Bashour SI; Casal RF
18,"Hedenstierna G, Rothen HU. Atelectasis formation during anesthesia: Causes and measures to prevent it. J. Clin. Monit. Comput. 2000;16. doi:10.1023/A:1011491231934.",Atelectasis formation during anesthesia: Causes and measures to prevent it,J. Clin. Monit. Comput,2000,16,,,10.1023/A:1011491231934,,Hedenstierna G; Rothen HU
19,"Sagar AE, Sabath BF, Eapen GA et al.. Incidence and Location of Atelectasis Developed During Bronchoscopy Under General Anesthesia: The I-LOCATE Trial. Chest. 2020;158. doi:10.1016/j.chest.2020.05.565.",Incidence and Location of Atelectasis Developed During Bronchoscopy Under General Anesthesia: The I-LOCATE Trial,Chest,2020,158,,,10.1016/j.chest.2020.05.565,,Sagar AE; Sabath BF; Eapen GA; Song J; Marcoux M; Sarkiss M; Arain MH; Grosu HB; Ost DE; Jimenez CA
20,"Park M, Jung K, Sim WS et al.. Perioperative high inspired oxygen fraction induces atelectasis in patients undergoing abdominal surgery: A randomized controlled trial. J. Clin. Anesthesia. 2021;72:110285. doi:10.1016/j.jclinane.2021.110285.",Perioperative high inspired oxygen fraction induces atelectasis in patients undergoing abdominal surgery: A randomized controlled trial,J. Clin. Anesthesia,2021,72,,110285,10.1016/j.jclinane.2021.110285,,Park M; Jung K; Sim WS; Kim DK; Chung IS; Choi JW; Lee EJ; Lee NY; Kim JA
21,"Eskandr AM, Atallah H, Sadik S, Mohamemd MS. The effect of inspired oxygen concentration on postoperative pulmonary atelectasis in obese patients undergoing laparoscopic cholecystectomy: A randomized-controlled double-blind study. Res. Opin. Anesthesia Intensive Care. 2019;6:287. doi:10.4103/roaic.roaic_40_18.",The effect of inspired oxygen concentration on postoperative pulmonary atelectasis in obese patients undergoing laparoscopic cholecystectomy: A randomized-controlled double-blind study,Res. Opin. Anesthesia Intensive Care,2019,6,,287,10.4103/roaic.roaic_40_18,,Eskandr AM; Atallah H; Sadik S; Mohamemd MS
22,"Jiang Z, Liu S, Wang L et al.. Effects of 30% vs. 60% inspired oxygen fraction during mechanical ventilation on postoperative atelectasis: A randomised controlled trial. BMC Anesthesiol. 2023;23:265. doi:10.1186/s12871-023-02226-6.",Effects of 30% vs. 60% inspired oxygen fraction during mechanical ventilation on postoperative atelectasis: A randomised controlled trial,BMC Anesthesiol,2023,23,,265,10.1186/s12871-023-02226-6,,Jiang Z; Liu S; Wang L; Li W; Li C; Lang F; Li R; Zhou Y; Wu J; Cai Y
23,"Duggan M, Kavanagh BP, Warltier DC. Pulmonary Atelectasis: A Pathogenic Perioperative Entity. Anesthesiology. 2005;102. doi:10.1097/00000542-200504000-00021.",Pulmonary Atelectasis: A Pathogenic Perioperative Entity,Anesthesiology,2005,102,,,10.1097/00000542-200504000-00021,,Duggan M; Kavanagh BP; Warltier DC
24,"Edmark L, Kostova-Aherdan K, Enlund M, Hedenstierna G. Optimal oxygen concentration during induction of general anesthesia. Anesthesiology. 2003;98. doi:10.1097/00000542-200301000-00008.",Optimal oxygen concentration during induction of general anesthesia,Anesthesiology,2003,98,,,10.1097/00000542-200301000-00008,,Edmark L; Kostova-Aherdan K; Enlund M; Hedenstierna G
