#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Coronavirus COVID-19 global cases by the Center for Systems Science and Engineering. Coronavirus COVID-19 global cases by the Center for Systems Science and Engineering. 2020;None.,Coronavirus COVID-19 global cases by the Center for Systems Science and Engineering,Coronavirus COVID-19 global cases by the Center for Systems Science and Engineering,2020,,,,,,
2,"Petrilli CM, Jones SA, Yang J. Factors associated with hospitalization and critical illness among 4,103 patients with COVID-19 in New York City. Factors associated with hospitalization and critical illness among 4,103 patients with COVID-19 in New York City. 2020;None. doi:10.1101/2020.04.08.20057794.","Factors associated with hospitalization and critical illness among 4,103 patients with COVID-19 in New York City","Factors associated with hospitalization and critical illness among 4,103 patients with COVID-19 in New York City",2020,,,,10.1101/2020.04.08.20057794,,Petrilli CM; Jones SA; Yang J
3,"Wu Z, Mcgoogan JM. Characteristics of and important lessons from the coronavirus disease 2019 (COVID-2019) outbreak in China: summary of a report of 72314 cases from the Chinese Center for Disease Control and Prevention. JAMA. 2020;323.",Characteristics of and important lessons from the coronavirus disease 2019 (COVID-2019) outbreak in China: summary of a report of 72314 cases from the Chinese Center for Disease Control and Prevention,JAMA,2020,323,,,,,Wu Z; Mcgoogan JM
4,"Grasselli G, Zangrillo A, Zanella A. Baseline characteristics and outcomes of 1591 patients infected with SARS-CoV-2 admitted to ICUs of the Lombardy region, Italy. JAMA. 2020;323.","Baseline characteristics and outcomes of 1591 patients infected with SARS-CoV-2 admitted to ICUs of the Lombardy region, Italy",JAMA,2020,323,,,,,Grasselli G; Zangrillo A; Zanella A
5,"Yang X, Yu Y, Xu J. Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study. Lancet Respir Med. 2020;8.","Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study",Lancet Respir Med,2020,8,,,,,Yang X; Yu Y; Xu J
6,"Tran K, Cimon K, Severn M, Pessoa-Silva CL, Conly J. Aerosol general procedures and risk of transmission of acute respiratory infections to health care workers: a systematic review. PloS One. 2012;7:e35797.",Aerosol general procedures and risk of transmission of acute respiratory infections to health care workers: a systematic review,PloS One,2012,7,,e35797,,,Tran K; Cimon K; Severn M; Pessoa-Silva CL; Conly J
7,"Parker NP, Schiff BA, Fritz MA. Tracheotomy recommendations during the COVID-19 pandemic. Airway and Swallowing Committee of the American Academy of Otolaryngology-Head and Neck Surgery. Tracheotomy recommendations during the COVID-19 pandemic. Airway and Swallowing Committee of the American Academy of Otolaryngology-Head and Neck Surgery. 2020;None.",Tracheotomy recommendations during the COVID-19 pandemic. Airway and Swallowing Committee of the American Academy of Otolaryngology-Head and Neck Surgery,Tracheotomy recommendations during the COVID-19 pandemic. Airway and Swallowing Committee of the American Academy of Otolaryngology-Head and Neck Surgery,2020,,,,,,Parker NP; Schiff BA; Fritz MA
8, Guidance for surgical tracheostomy and tracheostomy tube change during the COVID-19 pandemic. Guidance for surgical tracheostomy and tracheostomy tube change during the COVID-19 pandemic. 2020;None.,Guidance for surgical tracheostomy and tracheostomy tube change during the COVID-19 pandemic,Guidance for surgical tracheostomy and tracheostomy tube change during the COVID-19 pandemic,2020,,,,,,
9,"Tong CC, Kleinberger AJ, Paolino J, Altman KW. Tracheotomy timing and outcomes in the critically ill. Otolaryngol Head Neck Surg. 2012;147.",Tracheotomy timing and outcomes in the critically ill,Otolaryngol Head Neck Surg,2012,147,,,,,Tong CC; Kleinberger AJ; Paolino J; Altman KW
10,"Andriolo BN, Andriolo RB, Saconato H, Atallah AN, Valente O. Early versus late tracheostomy for critically ill patients. Cochrane Database Syst Rev. 2015;1:7271.",Early versus late tracheostomy for critically ill patients,Cochrane Database Syst Rev,2015,1,,7271,,,Andriolo BN; Andriolo RB; Saconato H; Atallah AN; Valente O
11,"Patel ZM, Fernandez-Miranda J, Hwang PH. Letter: Precautions for endoscopic transnasal skull base surgery during the COVID-19 pandemic. Neurosurg. 2020;87.",Letter: Precautions for endoscopic transnasal skull base surgery during the COVID-19 pandemic,Neurosurg,2020,87,,,,,Patel ZM; Fernandez-Miranda J; Hwang PH
