#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Rosen SH, Castleman B, Liebow AA. Pulmonary Alveolar Proteinosis. New England Journal of Medicine. 1958;258.",Pulmonary Alveolar Proteinosis,New England Journal of Medicine,1958,258,,,,,Rosen SH; Castleman B; Liebow AA
2,"Davidson JM, Macleod WM. Pulmonary alveolar proteinosis. Br J Dis Chest. 1969;63.",Pulmonary alveolar proteinosis,Br J Dis Chest,1969,63,,,,,Davidson JM; Macleod WM
3,"Sanctis D, PN. Pulmonary alveolar proteinosis. A review of the findings and theories to date, with a digression on Pneumocystis carinii pneumonia. BMQ. 1962;13.","Pulmonary alveolar proteinosis. A review of the findings and theories to date, with a digression on Pneumocystis carinii pneumonia",BMQ,1962,13,,,,,Sanctis D; PN
4,"Ramirez J, Schultz RB, Dutton RE. Pulmonary Alveolar Proteinosis: A New Technique and Rationale for Treatment. Arch Intern Med. 1963;112.",Pulmonary Alveolar Proteinosis: A New Technique and Rationale for Treatment,Arch Intern Med,1963,112,,,,,Ramirez J; Schultz RB; Dutton RE
5,"Seymour JF, Presneill JJ. Pulmonary alveolar proteinosis: progress in the first 44 years. Am J Respir Crit Care Med. 2002;166.",Pulmonary alveolar proteinosis: progress in the first 44 years,Am J Respir Crit Care Med,2002,166,,,,,Seymour JF; Presneill JJ
6,Ramírez-Rivera J. The strange beginnings of diagnostic and therapeutic bronchoalveolar lavage. P R Health Sci J. 1992;11.,The strange beginnings of diagnostic and therapeutic bronchoalveolar lavage,P R Health Sci J,1992,11,,,,,Ramírez-Rivera J
7,"Ramirez J, Kieffer RF, Ball J, WC. Bronchopulmonary lavage in man. Ann Intern Med. 1965;63.",Bronchopulmonary lavage in man,Ann Intern Med,1965,63,,,,,Ramirez J; Kieffer RF; Ball J; WC
8,Ramirez J. Pulmonary alveolar proteinosis. Treatment by massive bronchopulmonary lavage. Arch Intern Med. 1967;119.,Pulmonary alveolar proteinosis. Treatment by massive bronchopulmonary lavage,Arch Intern Med,1967,119,,,,,Ramirez J
9,"Wasserman K, Blank N, Fletcher G. Lung lavage (alveolar washing) in alveolar proteinosis. Am J Med. 1968;44.",Lung lavage (alveolar washing) in alveolar proteinosis,Am J Med,1968,44,,,,,Wasserman K; Blank N; Fletcher G
10,Wasserman K. Evaluation of solutions used for lung lavage in alveolar proteinosis. Rounds of the Teaching Staff of Wadsworth Hospital Centre. 1968;11.,Evaluation of solutions used for lung lavage in alveolar proteinosis,Rounds of the Teaching Staff of Wadsworth Hospital Centre,1968,11,,,,,Wasserman K
11,"Kao D, Wasserman K, Costley D. Advances in the treatment of pulmonary alveolar proteinosis. Am Rev Respir Dis. 1975;111.",Advances in the treatment of pulmonary alveolar proteinosis,Am Rev Respir Dis,1975,111,,,,,Kao D; Wasserman K; Costley D
12,"Sunderland WA, Klein RL. Heparin absorption during heparin-saline lung lavage in a patient with pulmonary © Journal of Thoracic Disease. All rights reserved. J Thorac Dis. 1973;9(6).",Heparin absorption during heparin-saline lung lavage in a patient with pulmonary © Journal of Thoracic Disease. All rights reserved,J Thorac Dis,1973,9,6,,,,Sunderland WA; Klein RL
13,"Shah PL, Hansell D, Lawson PR. Pulmonary alveolar proteinosis: clinical aspects and current concepts on pathogenesis. Thorax. 2000;55.",Pulmonary alveolar proteinosis: clinical aspects and current concepts on pathogenesis,Thorax,2000,55,,,,,Shah PL; Hansell D; Lawson PR
14,"Beccaria M, Luisetti M, Rodi G. Long-term durable benefit after whole lung lavage in pulmonary alveolar proteinosis. Eur Respir J. 2004;23.",Long-term durable benefit after whole lung lavage in pulmonary alveolar proteinosis,Eur Respir J,2004,23,,,,,Beccaria M; Luisetti M; Rodi G
15,"Gay P, Wallaert B, Nowak S. Efficacy of Whole-Lung Lavage in Pulmonary Alveolar Proteinosis: A Multicenter International Study of GELF. Respiration. 2017;93.",Efficacy of Whole-Lung Lavage in Pulmonary Alveolar Proteinosis: A Multicenter International Study of GELF,Respiration,2017,93,,,,,Gay P; Wallaert B; Nowak S
16,"Cooper JD, Duffin J, Glynn MF. Combination of membrane oxygenator support and pulmonary lavage for acute respiratory failure. J Thorac Cardiovasc Surg. 1976;71.",Combination of membrane oxygenator support and pulmonary lavage for acute respiratory failure,J Thorac Cardiovasc Surg,1976,71,,,,,Cooper JD; Duffin J; Glynn MF
17,"Campo I, Luisetti M, Griese M. Whole lung lavage therapy for pulmonary alveolar proteinosis: a global survey of current practices and procedures. Orphanet J Rare Dis. 2016;11:115.",Whole lung lavage therapy for pulmonary alveolar proteinosis: a global survey of current practices and procedures,Orphanet J Rare Dis,2016,11,,115,,,Campo I; Luisetti M; Griese M
18,"Silva A, Moreto A, Pinho C. Bilateral whole lung lavage in pulmonary alveolar proteinosis--a retrospective study. Rev Port Pneumol. 2014;20.",Bilateral whole lung lavage in pulmonary alveolar proteinosis--a retrospective study,Rev Port Pneumol,2014,20,,,,,Silva A; Moreto A; Pinho C
19,"Rand D, Blaikley IA, Booton J, R. British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE. Thorax. 2013;68.",British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE,Thorax,2013,68,,,,,Rand D; Blaikley IA; Booton J; R
20,"Douketis JD, Spyropoulos AC, Spencer FA. Perioperative management of antithrombotic therapy: Antithrombotic therapy and prevention of thrombosis, 9th ed: american college of chest physicians evidence-based clinical practice guidelines. Chest. 2012;141.","Perioperative management of antithrombotic therapy: Antithrombotic therapy and prevention of thrombosis, 9th ed: american college of chest physicians evidence-based clinical practice guidelines",Chest,2012,141,,,,,Douketis JD; Spyropoulos AC; Spencer FA
21,"Zapol WM, Wilson R, Hales C. Venovenous bypass with a membrane lung to support bilateral lung lavage. Jama. 1984;251.",Venovenous bypass with a membrane lung to support bilateral lung lavage,Jama,1984,251,,,,,Zapol WM; Wilson R; Hales C
22,"Sivitanidis E, Tosson R, Wiebalck A. Combination of extracorporeal membrane oxygenation (ECMO) and pulmonary lavage in a patient with pulmonary alveolar proteinosis. Eur J Cardiothorac Surg. 1999;15.",Combination of extracorporeal membrane oxygenation (ECMO) and pulmonary lavage in a patient with pulmonary alveolar proteinosis,Eur J Cardiothorac Surg,1999,15,,,,,Sivitanidis E; Tosson R; Wiebalck A
23,"Freedman AP, Pelias A, Johnston RF. Alveolar proteinosis lung lavage using partial cardiopulmonary bypass. Thorax. 1981;36.",Alveolar proteinosis lung lavage using partial cardiopulmonary bypass,Thorax,1981,36,,,,,Freedman AP; Pelias A; Johnston RF
24,"Cohen ES, Elpern E, Silver MR. Pulmonary alveolar proteinosis causing severe hypoxemic respiratory failure treated with sequential whole-lung lavage utilizing venovenous extracorporeal membrane oxygenation: a case report and review. Chest. 2001;120.",Pulmonary alveolar proteinosis causing severe hypoxemic respiratory failure treated with sequential whole-lung lavage utilizing venovenous extracorporeal membrane oxygenation: a case report and review,Chest,2001,120,,,,,Cohen ES; Elpern E; Silver MR
25,"Claypool WD, Rogers RM, Matuschak GM. Update on the clinical diagnosis, management, and pathogenesis of pulmonary alveolar proteinosis (phospholipidosis). Chest. 1984;85.","Update on the clinical diagnosis, management, and pathogenesis of pulmonary alveolar proteinosis (phospholipidosis)",Chest,1984,85,,,,,Claypool WD; Rogers RM; Matuschak GM
26,"Abdelmalak BB, Khanna AK, Culver DA. Therapeutic Whole-Lung Lavage for Pulmonary Alveolar Proteinosis: A Procedural Update. Journal of Bronchology & Interventional Pulmonology. 2015;22.",Therapeutic Whole-Lung Lavage for Pulmonary Alveolar Proteinosis: A Procedural Update,Journal of Bronchology & Interventional Pulmonology,2015,22,,,,,Abdelmalak BB; Khanna AK; Culver DA
27,"Michaud G, Reddy C, Ernst A. Whole-lung lavage for pulmonary alveolar proteinosis. Chest. 2009;136.",Whole-lung lavage for pulmonary alveolar proteinosis,Chest,2009,136,,,,,Michaud G; Reddy C; Ernst A
28,"Kwan M, Woo J, Kwok T. The standard oxygen consumption value equivalent to one metabolic equivalent (3.5 ml/min/kg) is not appropriate for elderly people. Int J Food Sci Nutr. 2004;55.",The standard oxygen consumption value equivalent to one metabolic equivalent (3.5 ml/min/kg) is not appropriate for elderly people,Int J Food Sci Nutr,2004,55,,,,,Kwan M; Woo J; Kwok T
29,"Hammon WE, Mccaffree DR, Cucchiara AJ. A comparison of manual to mechanical chest percussion for clearance of alveolar material in patients with pulmonary alveolar proteinosis (phospholipidosis). Chest. 1993;103.",A comparison of manual to mechanical chest percussion for clearance of alveolar material in patients with pulmonary alveolar proteinosis (phospholipidosis),Chest,1993,103,,,,,Hammon WE; Mccaffree DR; Cucchiara AJ
30,"Paschen C, Reiter K, Stanzel F. Therapeutic lung lavages in children and adults. Respiratory Research. 2005;6:138.",Therapeutic lung lavages in children and adults,Respiratory Research,2005,6,,138,,,Paschen C; Reiter K; Stanzel F
31,"Bingisser R, Kaplan V, Zollinger A. Wholelung lavage in alveolar proteinosis by a modified lavage technique. Chest. 1998;113.",Wholelung lavage in alveolar proteinosis by a modified lavage technique,Chest,1998,113,,,,,Bingisser R; Kaplan V; Zollinger A
32,"Bhagwat AG, Wentworth P, Conen PE. Observations on the relationship of desquamative interstitial pneumonia and pulmonary alveolar proteinosis in childhood: a pathologic and experimental study. Chest. 1970;58.",Observations on the relationship of desquamative interstitial pneumonia and pulmonary alveolar proteinosis in childhood: a pathologic and experimental study,Chest,1970,58,,,,,Bhagwat AG; Wentworth P; Conen PE
33,"Prakash UB, Barham SS, Carpenter HA. Pulmonary alveolar phospholipoproteinosis: experience with 34 cases and a review. Mayo Clin Proc. 1987;62.",Pulmonary alveolar phospholipoproteinosis: experience with 34 cases and a review,Mayo Clin Proc,1987,62,,,,,Prakash UB; Barham SS; Carpenter HA
34,"Rogers RM, Levin DC, Gray BA. Physiologic effects of bronchopulmonary lavage in alveolar proteinosis. Am Rev Respir Dis. 1978;118.",Physiologic effects of bronchopulmonary lavage in alveolar proteinosis,Am Rev Respir Dis,1978,118,,,,,Rogers RM; Levin DC; Gray BA
35,"Julien T, Caudine M, Barlet H. Effect of positive end expiratory pressure on arterial oxygenation during bronchoalveolar lavage for proteinosis. Ann Fr Anesth Reanim. 1986;5.",Effect of positive end expiratory pressure on arterial oxygenation during bronchoalveolar lavage for proteinosis,Ann Fr Anesth Reanim,1986,5,,,,,Julien T; Caudine M; Barlet H
36,"Kariman K, Kylstra JA, Spock A. Pulmonary alveolar proteinosis: prospective clinical experience in 23 patients for 15 years. Lung. 1984;162.",Pulmonary alveolar proteinosis: prospective clinical experience in 23 patients for 15 years,Lung,1984,162,,,,,Kariman K; Kylstra JA; Spock A
37,"Borie R, Danel C, Debray MP. Pulmonary alveolar proteinosis. Eur Respir Rev. 2011;20.",Pulmonary alveolar proteinosis,Eur Respir Rev,2011,20,,,,,Borie R; Danel C; Debray MP
