#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Fishman A, Martinez F, Naunheim K et al.. A randomized trial comparing lung-volumereduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",A randomized trial comparing lung-volumereduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A; Weinmann G; Wood D; Emphysema T; Trial R; Group
2,"Berger RL, Decamp MM, Criner GJ, Celli BR. Lung volume reduction therapies for advanced emphysema: an update. Chest. 2010;138.",Lung volume reduction therapies for advanced emphysema: an update,Chest,2010,138,,,,,Berger RL; Decamp MM; Criner GJ; Celli BR
3,"Mcnulty W, Jordan S, Hopkinson NS. Attitudes and access to lung volume reduction surgery for COPD: a survey by the British Thoracic Society. BMJ Open Respir Res. 2014;1:e000023.",Attitudes and access to lung volume reduction surgery for COPD: a survey by the British Thoracic Society,BMJ Open Respir Res,2014,1,,e000023,,,Mcnulty W; Jordan S; Hopkinson NS
4,"Akuthota P, Litmanovich D, Zutler M et al.. An evidence-based estimate on the size of the potential patient pool for lung volume reduction surgery. Ann Thorac Surg. 2012;94.",An evidence-based estimate on the size of the potential patient pool for lung volume reduction surgery,Ann Thorac Surg,2012,94,,,,,Akuthota P; Litmanovich D; Zutler M; Boiselle PM; Bankier AA; Roberts DH; Celli BR; Decamp MM; Berger RL
5,"Desl Ée G, Mal H, Dutau H et al.. Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial. JAMA. 2016;315.",Lung volume reduction coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial,JAMA,2016,315,,,,,Desl Ée G; Mal H; Dutau H; Bourdin A; Vergnon JM; Pison C; Kessler R; Jounieaux V; Thiberville L; Leroy S
6,"Sciurba FC, Criner GJ, Strange C et al.. Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial. JAMA. 2016;315.",Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial,JAMA,2016,315,,,,,Sciurba FC; Criner GJ; Strange C; Shah PL; Michaud G; Connolly TA; Desl Ée G; Tillis WP; Delage A; Marquette CH
7,"Klooster K, Hacken T, Franz NH et al.. Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial. Respiration. 2014;88.",Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial,Respiration,2014,88,,,,,Klooster K; Hacken T; Franz NH; Kerstjens I; Van Rikxoort HA; Slebos EM; DJ
8,"Herth F, Slebos DJ, Rabe KF, Shah PL. Endoscopic lung volume reduction: an expert panel recommendation. Respiration. 2016;91.",Endoscopic lung volume reduction: an expert panel recommendation,Respiration,2016,91,,,,,Herth F; Slebos DJ; Rabe KF; Shah PL
9,"Valipour A, Burghuber OC. An update on the efficacy of endobronchial valve therapy in the management of hyperinflation in patients with chronic obstructive pulmonary disease. Ther Adv Respir Dis. 2015;9.",An update on the efficacy of endobronchial valve therapy in the management of hyperinflation in patients with chronic obstructive pulmonary disease,Ther Adv Respir Dis,2015,9,,,,,Valipour A; Burghuber OC
10,"Herth F, Noppen M, Valipour A et al.. International VENT Study Group. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",International VENT Study Group. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth F; Noppen M; Valipour A; Leroy S; Vergnon JM; Ficker JH; Egan JJ; Gasparini S; Agusti C; Holmes-Higgin D
