#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17.",Flexible bronchofiberscope,Keio J Med,1968,17,,,,,Ikeda S; Yanai N; Ishikawa S
2, British Thoracic Society guidelines on diagnostic flexible bronchoscopy. Thorax. 2001;56(Suppl 1).,British Thoracic Society guidelines on diagnostic flexible bronchoscopy,Thorax,2001,56,Suppl 1,,,,
3,"Rand D, Barber IA, Goldring PV, J. British Thoracic Society guideline for advanced diagnostic and therapeutic flexible bronchoscopy in adults. Thorax. 2011;66(Suppl 3).",British Thoracic Society guideline for advanced diagnostic and therapeutic flexible bronchoscopy in adults,Thorax,2011,66,Suppl 3,,,,Rand D; Barber IA; Goldring PV; J
4,"Facciolongo N, Patelli M, Gasparini S. Incidence of complications in bronchoscopy. Multicentre prospective study of 20,986 bronchoscopies. Monaldi Arch Chest Dis. 2009;71.","Incidence of complications in bronchoscopy. Multicentre prospective study of 20,986 bronchoscopies",Monaldi Arch Chest Dis,2009,71,,,,,Facciolongo N; Patelli M; Gasparini S
5,"Hehn BT, Haponik E, Rubin HR. The relationship between age and process of care and patient tolerance of bronchoscopy. J Am Geriatr Soc. 2003;51.",The relationship between age and process of care and patient tolerance of bronchoscopy,J Am Geriatr Soc,2003,51,,,,,Hehn BT; Haponik E; Rubin HR
6,"Bechara R, Beamis J, Simoff M. Practice and complications of flexible bronchoscopy with biopsy procedures. J Bronchol. 2005;12.",Practice and complications of flexible bronchoscopy with biopsy procedures,J Bronchol,2005,12,,,,,Bechara R; Beamis J; Simoff M
7,"Hehn B, Haponik EF. Flexible bronchoscopy in the elderly. Clin Chest Med. 2001;22.",Flexible bronchoscopy in the elderly,Clin Chest Med,2001,22,,,,,Hehn B; Haponik EF
8,"Van Zwam JP, Kapteijns E, Lahey S. Flexible bronchoscopy in supine or sitting position: a randomized prospective analysis of safety and patient comfort. J Bronchol. 2010;17.",Flexible bronchoscopy in supine or sitting position: a randomized prospective analysis of safety and patient comfort,J Bronchol,2010,17,,,,,Van Zwam JP; Kapteijns E; Lahey S
9,"Yildiz P, Ozgul A, Yimaz V. Changes in oxygen saturation in patients undergoing fiberoptic bronchoscopy. Chest. 2002;121.",Changes in oxygen saturation in patients undergoing fiberoptic bronchoscopy,Chest,2002,121,,,,,Yildiz P; Ozgul A; Yimaz V
10,"Maranetra N, Pushpakom R, Bovornkitti S. Oxygen desaturation during fibreoptic bronchoscopy. J Med Assoc Thai. 1990;73.",Oxygen desaturation during fibreoptic bronchoscopy,J Med Assoc Thai,1990,73,,,,,Maranetra N; Pushpakom R; Bovornkitti S
11,"Milman N, Faurschou P, Grode G. Pulse oximetry during fibreoptic bronchoscopy in local anaesthesia: frequency of hypoxaemia and effect of oxygen supplementation. Respiration. 1994;61.",Pulse oximetry during fibreoptic bronchoscopy in local anaesthesia: frequency of hypoxaemia and effect of oxygen supplementation,Respiration,1994,61,,,,,Milman N; Faurschou P; Grode G
12,"Attaran D, Towhidi M, Amini M. The relationship between peak expiratory flow rate before bronchoscopy and arterial oxygen desaturation during bronchoscopy. Acta Medica Iranica. 2008;46.",The relationship between peak expiratory flow rate before bronchoscopy and arterial oxygen desaturation during bronchoscopy,Acta Medica Iranica,2008,46,,,,,Attaran D; Towhidi M; Amini M
13,"Lin CC, Wu JL, Huang WC. Pulmonary function in normal subjects after bronchoalveolar lavage. Chest. 1988;93.",Pulmonary function in normal subjects after bronchoalveolar lavage,Chest,1988,93,,,,,Lin CC; Wu JL; Huang WC
