#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Pleural disease guideline. Pleural disease guideline. 2023;None.,Pleural disease guideline,Pleural disease guideline,2023,,,,,,
2, Quality improvement: pleural disease. Quality improvement: pleural disease. 2023;None.,Quality improvement: pleural disease,Quality improvement: pleural disease,2023,,,,,,
3,"Rand D, Maskell I, N. Introduction and methods: British thoracic society pleural disease guideline 2010. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.137042.",Introduction and methods: British thoracic society pleural disease guideline 2010,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.137042,,Rand D; Maskell I; N
4,"Hooper C, Lee Y, Maskell N. Investigation of a unilateral pleural effusion in adults: British thoracic society pleural disease guideline. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.136978.",Investigation of a unilateral pleural effusion in adults: British thoracic society pleural disease guideline,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.136978,,Hooper C; Lee Y; Maskell N
5,"Macduff A, Arnold A, Harvey J. Management of spontaneous Pneumothorax: British thoracic society pleural disease guideline. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.136986.",Management of spontaneous Pneumothorax: British thoracic society pleural disease guideline,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.136986,,Macduff A; Arnold A; Harvey J
6,"Roberts ME, Neville E, Berrisford RG. Management of a malignant pleural effusion: British thoracic society pleural disease guideline. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.136994.",Management of a malignant pleural effusion: British thoracic society pleural disease guideline,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.136994,,Roberts ME; Neville E; Berrisford RG
7,"Davies HE, Davies R, Davies C. Management of pleural infection in adults: British thoracic society pleural disease guideline. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.137000.",Management of pleural infection in adults: British thoracic society pleural disease guideline,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.137000,,Davies HE; Davies R; Davies C
8,"Rahman NM, Ali NJ, Brown G. Local anaesthetic thoracoscopy: British thoracic society pleural disease guideline. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.137018.",Local anaesthetic thoracoscopy: British thoracic society pleural disease guideline,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.137018,,Rahman NM; Ali NJ; Brown G
9,"Havelock T, Teoh R, Laws D. Pleural procedures and thoracic ultrasound: British thoracic society pleural disease guideline 2010. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.137026.",Pleural procedures and thoracic ultrasound: British thoracic society pleural disease guideline 2010,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.137026,,Havelock T; Teoh R; Laws D
10,"Woolhouse I, Bishop L, Darlison L. British thoracic society guideline for the investigation and management of malignant pleural Mesothelioma. Thorax. 2018;73. doi:10.1136/thoraxjnl-2017-211321.",British thoracic society guideline for the investigation and management of malignant pleural Mesothelioma,Thorax,2018,73,,,10.1136/thoraxjnl-2017-211321,,Woolhouse I; Bishop L; Darlison L
11, Clinical statement on pleural procedures. Thorax. 2023;None.,Clinical statement on pleural procedures,Thorax,2023,,,,,,
12, What is GRADE?. What is GRADE?. 2022;None.,What is GRADE?,What is GRADE?,2022,,,,,,
13,"Shafiq M, Simkovich S, Hossen S. Indwelling pleural catheter drainage strategy for malignant effusion: a cost-effectiveness analysis. Ann Am Thorac Soc. 2020;17. doi:10.1513/AnnalsATS.201908-615OC.",Indwelling pleural catheter drainage strategy for malignant effusion: a cost-effectiveness analysis,Ann Am Thorac Soc,2020,17,,,10.1513/AnnalsATS.201908-615OC,,Shafiq M; Simkovich S; Hossen S
