#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Thoracic A, S. Management of malignant pleural effusions. Am J Respir Crit Care Med. 2000;162(5).",Management of malignant pleural effusions,Am J Respir Crit Care Med,2000,162,5,,,,Thoracic A; S
2,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
3,"Burrows CM, Mathews WC, Colt HG. Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease. Chest. 2000;117(1).","Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease",Chest,2000,117,1,,,,Burrows CM; Mathews WC; Colt HG
4,"Bielsa S, Salud A, Martinez M. Prognostic significance of pleural fluid data in patients with malignant effusion. Eur J Intern Med. 2008;19(5).",Prognostic significance of pleural fluid data in patients with malignant effusion,Eur J Intern Med,2008,19,5,,,,Bielsa S; Salud A; Martinez M
5,"Pilling JE, Dusmet ME, Ladas G, Goldstraw P. Prognostic factors for survival after surgical palliation of malignant pleural effusion. J Thorac Oncol. 2010;5(10).",Prognostic factors for survival after surgical palliation of malignant pleural effusion,J Thorac Oncol,2010,5,10,,,,Pilling JE; Dusmet ME; Ladas G; Goldstraw P
6,"Clive AO, Kahan BC, Hooper CE. Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score. Thorax. 2014;69(12).",Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score,Thorax,2014,69,12,,,,Clive AO; Kahan BC; Hooper CE
7,"Ama A, Cptò. Current Procedural Terminology). Current Procedural Terminology). 2020;None.",Current Procedural Terminology),Current Procedural Terminology),2020,,,,,,Ama A; Cptò
8, RVS Update Committee (RUC): RBRVS overview. RVS Update Committee (RUC): RBRVS overview. 2020;None.,RVS Update Committee (RUC): RBRVS overview,RVS Update Committee (RUC): RBRVS overview,2020,,,,,,
9,"Yousefifard M, Baikpour M, Ghelichkhani P. Screening performance characteristic of ultrasonography and radiography in detection of pleural effusion; a meta-analysis. Emergency. 2016;4(1).",Screening performance characteristic of ultrasonography and radiography in detection of pleural effusion; a meta-analysis,Emergency,2016,4,1,,,,Yousefifard M; Baikpour M; Ghelichkhani P
10,"Eibenberger KL, Dock WI, Ammann ME, Dorffner R, Hormann MF, Grabenwoger F. Quantification of pleural effusions: sonography versus radiography. Radiology. 1994;191(3).",Quantification of pleural effusions: sonography versus radiography,Radiology,1994,191,3,,,,Eibenberger KL; Dock WI; Ammann ME; Dorffner R; Hormann MF; Grabenwoger F
11,"Diacon AH, Brutsche MH, Soler M. Accuracy of pleural puncture sites: a prospective comparison of clinical examination with ultrasound. Chest. 2003;123(2).",Accuracy of pleural puncture sites: a prospective comparison of clinical examination with ultrasound,Chest,2003,123,2,,,,Diacon AH; Brutsche MH; Soler M
12,"Raptopoulos V, Davis LM, Lee G, Umali C, Lew R, Irwin RS. Factors affecting the development of pneumothorax associated with thoracentesis. AJR Am J Roentgenol. 1991;156(5).",Factors affecting the development of pneumothorax associated with thoracentesis,AJR Am J Roentgenol,1991,156,5,,,,Raptopoulos V; Davis LM; Lee G; Umali C; Lew R; Irwin RS
13,"Gordon CE, Feller-Kopman D, Balk EM, Smetana GW. Pneumothorax following thoracentesis: a systematic review and meta-analysis. Arch Intern Med. 2010;170(4).",Pneumothorax following thoracentesis: a systematic review and meta-analysis,Arch Intern Med,2010,170,4,,,,Gordon CE; Feller-Kopman D; Balk EM; Smetana GW
14,"Barnes TW, Morgenthaler TI, Olson EJ, Hesley GK, Decker PA, Ryu JH. Sonographically guided thoracentesis and rate of pneumothorax. J Clin Ultrasound. 2005;33(9).",Sonographically guided thoracentesis and rate of pneumothorax,J Clin Ultrasound,2005,33,9,,,,Barnes TW; Morgenthaler TI; Olson EJ; Hesley GK; Decker PA; Ryu JH
15,"Sachdeva A, Shepherd RW, Lee HJ. Thoracentesis and thoracic ultrasound: state of the art in 2013. Clin Chest Med. 2013;34(1).",Thoracentesis and thoracic ultrasound: state of the art in 2013,Clin Chest Med,2013,34,1,,,,Sachdeva A; Shepherd RW; Lee HJ
16,"Cantey EP, Walter JM, Corbridge T, Barsuk JH. Complications of thoracentesis: incidence, risk factors, and strategies for prevention. Curr Opin Pulm Med. 2016;22(4).","Complications of thoracentesis: incidence, risk factors, and strategies for prevention",Curr Opin Pulm Med,2016,22,4,,,,Cantey EP; Walter JM; Corbridge T; Barsuk JH
17,"Puchalski JT, Argento AC, Murphy TE, Araujo KL, Pisani MA. The safety of thoracentesis in patients with uncorrected bleeding risk. Ann Am Thorac Soc. 2013;10(4).",The safety of thoracentesis in patients with uncorrected bleeding risk,Ann Am Thorac Soc,2013,10,4,,,,Puchalski JT; Argento AC; Murphy TE; Araujo KL; Pisani MA
18,"Zalt MB, Bechara RI, Parks C, Berkowitz DM. Effect of routine clopidogrel use on bleeding complications after ultrasound-guided thoracentesis. J Bronchology Interv Pulmonol. 2012;19(4).",Effect of routine clopidogrel use on bleeding complications after ultrasound-guided thoracentesis,J Bronchology Interv Pulmonol,2012,19,4,,,,Zalt MB; Bechara RI; Parks C; Berkowitz DM
19,Baumann MH. Closed pleural biopsy: not dead yet!. Chest. 2006;129(6).,Closed pleural biopsy: not dead yet!,Chest,2006,129,6,,,,Baumann MH
20,"Shojaee S, Lee HJ. Thoracoscopy: medical versus surgical-in the management of pleural diseases. J Thorac Dis. 2015;7(suppl4).",Thoracoscopy: medical versus surgical-in the management of pleural diseases,J Thorac Dis,2015,7,suppl4,,,,Shojaee S; Lee HJ
21,"Desai NR, Lee HJ. Diagnosis and management of malignant pleural effusions: state of the art in 2017. J Thorac Dis. 2017;9(suppl10).",Diagnosis and management of malignant pleural effusions: state of the art in 2017,J Thorac Dis,2017,9,suppl10,,,,Desai NR; Lee HJ
22,"Rahman NM, Ali NJ, Brown G. Local anaesthetic thoracoscopy: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl2).",Local anaesthetic thoracoscopy: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl2,,,,Rahman NM; Ali NJ; Brown G
23,"Dresler CM, Olak J, Herndon JE. Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127(3).",Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,3,,,,Dresler CM; Olak J; Herndon JE
24,"Hooper C, Lee YC, Maskell N, Group B, Pleural Disease G, Group. Investigation of a unilateral pleural effusion in adults: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl2).",Investigation of a unilateral pleural effusion in adults: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl2,,,,Hooper C; Lee YC; Maskell N; Group B; Pleural Disease G; Group
25,"Renshaw AA, Dean BR, Antman KH, Sugarbaker DJ, Cibas ES. The role of cytologic evaluation of pleural fluid in the diagnosis of malignant mesothelioma. Chest. 1997;111(1).",The role of cytologic evaluation of pleural fluid in the diagnosis of malignant mesothelioma,Chest,1997,111,1,,,,Renshaw AA; Dean BR; Antman KH; Sugarbaker DJ; Cibas ES
26,"Shojaee S, Voelkel N, Farkas L, De Wit M, Lee HJ. Transforming growth factor-beta1 rise in pleural fluid after tunneled pleural catheter placement: pilot study. J Bronchology Interv Pulmonol. 2013;20(4).",Transforming growth factor-beta1 rise in pleural fluid after tunneled pleural catheter placement: pilot study,J Bronchology Interv Pulmonol,2013,20,4,,,,Shojaee S; Voelkel N; Farkas L; De Wit M; Lee HJ
27, Global Surgery Booklet. Global Surgery Booklet. 2018;None.,Global Surgery Booklet,Global Surgery Booklet,2018,,,,,,
