#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wahidi MM, Reddy C, Yarmus L. Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions: the ASAP trial. Am J Respir Crit Care Med. 2017;195(8). doi:10.1164/rccm.201607-1404OC.",Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions: the ASAP trial,Am J Respir Crit Care Med,2017,195,8,,10.1164/rccm.201607-1404OC,,Wahidi MM; Reddy C; Yarmus L
2,"Thomas R, Fysh E, Smith NA. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial. JAMA. 2017;318(19). doi:10.1001/jama.2017.17426?utm_campaign=articlePDF%26utm_medium=articlePDFlink%26utm_source=articlePDF%26utm_content=jama.2019.19997.",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial,JAMA,2017,318,19,,10.1001/jama.2017.17426?utm_campaign=articlePDF%26utm_medium=articlePDFlink%26utm_source=articlePDF%26utm_content=jama.2019.19997,,Thomas R; Fysh E; Smith NA
3,"Muruganandan S, Azzopardi M, Fitzgerald DB. Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial. Lancet Respir Med. 2018;6(9). doi:10.1016/S2213-2600(18)30288-1.",Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial,Lancet Respir Med,2018,6,9,,10.1016/S2213-2600(18)30288-1,,Muruganandan S; Azzopardi M; Fitzgerald DB
4,Lee P. Point: should thoracoscopic talc pleurodesis be the first choice management for malignant effusion? yes. Chest. 2012;142(1). doi:10.1378/chest.12-1085.,Point: should thoracoscopic talc pleurodesis be the first choice management for malignant effusion? yes,Chest,2012,142,1,,10.1378/chest.12-1085,,Lee P
5,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2). doi:10.1136/thx.2010.136994.",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,10.1136/thx.2010.136994,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
6,"Bibby AC, Dorn P, Psallidas I. ERS/EACTS statement on the management of malignant pleural effusions. Eur Respir J. 2018;52(1):1800349. doi:10.1183/13993003.00349-2018.",ERS/EACTS statement on the management of malignant pleural effusions,Eur Respir J,2018,52,1,1800349,10.1183/13993003.00349-2018,,Bibby AC; Dorn P; Psallidas I
7,"Feller-Kopman DJ, Reddy CB, Decamp MM. Management of malignant pleural effusions: an official ATS/STS/STR clinical practice guideline. Am J Respir Crit Care Med. 2018;198(7). doi:10.1164/rccm.201807-1415ST.",Management of malignant pleural effusions: an official ATS/STS/STR clinical practice guideline,Am J Respir Crit Care Med,2018,198,7,,10.1164/rccm.201807-1415ST,,Feller-Kopman DJ; Reddy CB; Decamp MM
8,"Clive AO, Jones HE, Bhatnagar R, Preston NJ, Maskell N. Interventions for the management of malignant pleural effusions: a network meta-analysis. Cochrane Database Syst Rev. 2016;5(5):10529. doi:10.1002/14651858.CD010529.pub2.",Interventions for the management of malignant pleural effusions: a network meta-analysis,Cochrane Database Syst Rev,2016,5,5,10529,10.1002/14651858.CD010529.pub2,,Clive AO; Jones HE; Bhatnagar R; Preston NJ; Maskell N
9,"Maskell NA, Lee YC, Gleeson FV, Hedley EL, Pengelly G, Davies RJ. Randomized trials describing lung inflammation after pleurodesis with talc of varying particle size. Am J Respir Crit Care Med. 2004;170(4). doi:10.1164/rccm.200311-1579OC.",Randomized trials describing lung inflammation after pleurodesis with talc of varying particle size,Am J Respir Crit Care Med,2004,170,4,,10.1164/rccm.200311-1579OC,,Maskell NA; Lee YC; Gleeson FV; Hedley EL; Pengelly G; Davies RJ
10,"Janssen JP, Collier G, Astoul P. Safety of pleurodesis with talc poudrage in malignant pleural effusion: a prospective cohort study. Lancet. 2007;369. doi:10.1016/S0140-6736(07)60708-9.",Safety of pleurodesis with talc poudrage in malignant pleural effusion: a prospective cohort study,Lancet,2007,369,,,10.1016/S0140-6736(07)60708-9,,Janssen JP; Collier G; Astoul P
