#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Clive A, Bhatnagar R, Preston NJ. Interventions for the management of malignant pleural effusions: a network meta-analysis. Cochrane Database Syst Rev. 2016;5:10529.",Interventions for the management of malignant pleural effusions: a network meta-analysis,Cochrane Database Syst Rev,2016,,5,10529,,,Clive A; Bhatnagar R; Preston NJ
2,"Roberts ME, Neville E, Berrisford RG. Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65(2).",Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,2,,,,Roberts ME; Neville E; Berrisford RG
3,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC
4,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314.",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,,,,,Rahman NM; Pepperell J; Rehal S
5,"Rintoul RC, Ritchie AJ, Edwards JG. A multi-centre randomised controlled trial of video assisted thoracoscopic pleurectomy versus talc pleurodesis in malignant pleural mesothelioma. J Thorac Oncol. 2013;8.",A multi-centre randomised controlled trial of video assisted thoracoscopic pleurectomy versus talc pleurodesis in malignant pleural mesothelioma,J Thorac Oncol,2013,8,,,,,Rintoul RC; Ritchie AJ; Edwards JG
6,"Bucknor A, Harrison-Phipps K, Davies T. Is silver nitrate an effective means of pleurodesis?. Interact Cardiovasc Thorac Surg. 2015;21.",Is silver nitrate an effective means of pleurodesis?,Interact Cardiovasc Thorac Surg,2015,21,,,,,Bucknor A; Harrison-Phipps K; Davies T
7,"Da Silveira Paschoalini M, Vargas FS, Marchi E. Prospective randomized trial of silver nitrate vs talc slurry in pleurodesis for symptomatic malignant pleural effusions. Chest. 2005;128.",Prospective randomized trial of silver nitrate vs talc slurry in pleurodesis for symptomatic malignant pleural effusions,Chest,2005,128,,,,,Da Silveira Paschoalini M; Vargas FS; Marchi E
8,"Menna C, Andreetti C, Ibrahim M. The effect of silver nitrate pleurodesis after a failed thoracoscopic talc poudrage. Biomed Res Int. 2013;2013:295890.",The effect of silver nitrate pleurodesis after a failed thoracoscopic talc poudrage,Biomed Res Int,2013,2013,,295890,,,Menna C; Andreetti C; Ibrahim M
9,"Tan C, Sedrakyan A, Browne J. The evidence on the effectiveness of management for malignant pleural effusion: a systematic review. Eur J Cardiothorac Surg. 2006;29.",The evidence on the effectiveness of management for malignant pleural effusion: a systematic review,Eur J Cardiothorac Surg,2006,29,,,,,Tan C; Sedrakyan A; Browne J
10,"Mummadi SK, Kumbam A, Hahn PY. Malignant pleural effusions and the role of talc poudrage and talc slurry: a systematic review and meta-analysis. Research. 1000;3:254.",Malignant pleural effusions and the role of talc poudrage and talc slurry: a systematic review and meta-analysis,Research,1000,3,,254,,,Mummadi SK; Kumbam A; Hahn PY
11,"Dresler CM, Olak J, Herndon JE. Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127.",Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,,,,,Dresler CM; Olak J; Herndon JE
