#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC
2,"Dresler CM, Olak J, Herndon JE, Ii. Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127.",Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,,,,,Dresler CM; Olak J; Herndon JE; Ii
3,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDS and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the time1 randomized clinical trial. JAMA. 2015;314.",Effect of opioids vs NSAIDS and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the time1 randomized clinical trial,JAMA,2015,314,,,,,Rahman NM; Pepperell J; Rehal S
4,"Roberts M, Neville E, Berrisford R. Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010. Am J Respir Crit Care Med. 2000;65.",Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010,Am J Respir Crit Care Med,2000,65,,,,,Roberts M; Neville E; Berrisford R
5,"Thomas R, Jenkins S, Eastwood P. Physiology of breathlessness associated with pleural effusions. Curr Opin Pulm Med. 2015;21.",Physiology of breathlessness associated with pleural effusions,Curr Opin Pulm Med,2015,21,,,,,Thomas R; Jenkins S; Eastwood P
6,"Handa T, Nagai S, Kitaichi M. Long-term complications and prognosis of chronic beryllium disease. Sarcoidosis Vasc Diffuse Lung Dis. 2009;26.",Long-term complications and prognosis of chronic beryllium disease,Sarcoidosis Vasc Diffuse Lung Dis,2009,26,,,,,Handa T; Nagai S; Kitaichi M
7,"Light RW, Macgregor MI, Luchsinger PC. Pleural effusions: the diagnostic separation of transudates and exudates. Ann Intern Med. 1972;77.",Pleural effusions: the diagnostic separation of transudates and exudates,Ann Intern Med,1972,77,,,,,Light RW; Macgregor MI; Luchsinger PC
8,"Gonlugur TE, Gonlugur U. Transudates in malignancy: still a role for pleural fluid. Ann Acad Med Singapore. 2008;37.",Transudates in malignancy: still a role for pleural fluid,Ann Acad Med Singapore,2008,37,,,,,Gonlugur TE; Gonlugur U
9,"Potts DE, Taryle DA, Sahn SA. The glucose-pH relationship in parapneumonic effusions. Arch Intern Med. 1978;138.",The glucose-pH relationship in parapneumonic effusions,Arch Intern Med,1978,138,,,,,Potts DE; Taryle DA; Sahn SA
10,"Good JT, Taryle DA, Maulitz RM. The diagnostic value of pleural fluid pH. Chest. 1980;78.",The diagnostic value of pleural fluid pH,Chest,1980,78,,,,,Good JT; Taryle DA; Maulitz RM
11,"Adelman M, Albelda SM, Gottlieb J. Diagnostic utility of pleural fluid eosinophilia. Am J Med. 1984;77.",Diagnostic utility of pleural fluid eosinophilia,Am J Med,1984,77,,,,,Adelman M; Albelda SM; Gottlieb J
12,"Hooper C, Lee Y, Maskell N. Investigation of a unilateral pleural effusion in adults: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65(Suppl 2).",Investigation of a unilateral pleural effusion in adults: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,Suppl 2,,,,Hooper C; Lee Y; Maskell N
13,"Traill ZC, Davies RJ, Gleeson FV. Thoracic computed tomography in patients with suspected malignant pleural effusions. Clin Radiol. 2001;56.",Thoracic computed tomography in patients with suspected malignant pleural effusions,Clin Radiol,2001,56,,,,,Traill ZC; Davies RJ; Gleeson FV
14,"Corcoran J, Acton L, Ahmed A. Draining pleural effusions before radiological imaging does not improve diagnostic capability. Eur Respir J. 2015;46:1828.",Draining pleural effusions before radiological imaging does not improve diagnostic capability,Eur Respir J,2015,46,,1828,,,Corcoran J; Acton L; Ahmed A
15,"Davis SD, Henschke CI, Yankelevitz DF. MR imaging of pleural effusions. J Comput Assist Tomogr. 1990;14.",MR imaging of pleural effusions,J Comput Assist Tomogr,1990,14,,,,,Davis SD; Henschke CI; Yankelevitz DF
16,"Yu DX, Ma XX, Wang Q. Morphological changes of the thoracic duct and accessory lymphatic channels in patients with chylothorax: detection with unenhanced magnetic resonance imaging. Eur Radiol. 2013;23.",Morphological changes of the thoracic duct and accessory lymphatic channels in patients with chylothorax: detection with unenhanced magnetic resonance imaging,Eur Radiol,2013,23,,,,,Yu DX; Ma XX; Wang Q
17,"Maskell NA, Gleeson FV, Davies RJ. Standard pleural biopsy versus CT-guided cutting-needle biopsy for diagnosis of malignant disease in pleural effusions: a randomised controlled trial. Lancet. 2003;361.",Standard pleural biopsy versus CT-guided cutting-needle biopsy for diagnosis of malignant disease in pleural effusions: a randomised controlled trial,Lancet,2003,361,,,,,Maskell NA; Gleeson FV; Davies RJ
18,"Koegelenberg CF, Bolliger CT, TJ. Direct comparison of the diagnostic yield of ultrasound-assisted Abrams and Tru-Cut needle biopsies for pleural tuberculosis. Thorax. 2010;65.",Direct comparison of the diagnostic yield of ultrasound-assisted Abrams and Tru-Cut needle biopsies for pleural tuberculosis,Thorax,2010,65,,,,,Koegelenberg CF; Bolliger CT; TJ
19,"Mcmurray JJ, Stewart S. Epidemiology, aetiology, and prognosis of heart failure. Heart. 2000;83.","Epidemiology, aetiology, and prognosis of heart failure",Heart,2000,83,,,,,Mcmurray JJ; Stewart S
20,Kataoka H. Pericardial and pleural effusions in decompensated chronic heart failure. Am Heart J. 2000;139.,Pericardial and pleural effusions in decompensated chronic heart failure,Am Heart J,2000,139,,,,,Kataoka H
21,Woodring JH. Distribution of pleural effusion in congestive heart failure: what is atypical?. South Med J. 2005;98.,Distribution of pleural effusion in congestive heart failure: what is atypical?,South Med J,2005,98,,,,,Woodring JH
