#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Khandhar SJ, Bowling MR, Flandes J. Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study. BMC Pulm Med. 2017;17:59.","Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study",BMC Pulm Med,2017,17,,59,,,Khandhar SJ; Bowling MR; Flandes J
2,"Memoli W, Nietert JS, Silvestri PJ, GA. Metaanalysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Metaanalysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Memoli W; Nietert JS; Silvestri PJ; GA
3,"Loo FL, Halligan AM, Port JL. The emerging technique of electromagnetic navigation bronchoscopyguided fine-needle aspiration of peripheral lung lesions: promising results in 50 lesions. Cancer Cytopathol. 2014;122.",The emerging technique of electromagnetic navigation bronchoscopyguided fine-needle aspiration of peripheral lung lesions: promising results in 50 lesions,Cancer Cytopathol,2014,122,,,,,Loo FL; Halligan AM; Port JL
4,"Makris D, Scherpereel A, Leroy S. Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions. Eur Respir J. 2007;29.",Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions,Eur Respir J,2007,29,,,,,Makris D; Scherpereel A; Leroy S
5,"Minezawa T, Okamura T, Yatsuya H. Bronchus sign on thin-section computed tomography is a powerful predictive factor for successful transbronchial biopsy using endobronchial ultrasound with a guide sheath for small peripheral lung lesions: a retrospective observational study. BMC Med Imaging. 2015;15:21.",Bronchus sign on thin-section computed tomography is a powerful predictive factor for successful transbronchial biopsy using endobronchial ultrasound with a guide sheath for small peripheral lung lesions: a retrospective observational study,BMC Med Imaging,2015,15,,21,,,Minezawa T; Okamura T; Yatsuya H
6,"Anciano C, Brown C, Bowling M. Going Off Road: The First Case Reports of the Use of the Transbronchial Access Tool With Electromagnetic Navigational Bronchoscopy. J Bronchology Interv Pulmonol. 2017;24.",Going Off Road: The First Case Reports of the Use of the Transbronchial Access Tool With Electromagnetic Navigational Bronchoscopy,J Bronchology Interv Pulmonol,2017,24,,,,,Anciano C; Brown C; Bowling M
7,"Harzheim D, Sterman D, Shah PL. Bronchoscopic Transparenchymal Nodule Access: Feasibility and Safety in an Endoscopic Unit. Respiration. 2016;91.",Bronchoscopic Transparenchymal Nodule Access: Feasibility and Safety in an Endoscopic Unit,Respiration,2016,91,,,,,Harzheim D; Sterman D; Shah PL
8,"Bowling MR, Brown C, Anciano CJ. Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass. Ann Thorac Surg. 2017;104.",Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass,Ann Thorac Surg,2017,104,,,,,Bowling MR; Brown C; Anciano CJ
9,"Hohenforst-Schmidt W, Zarogoulidis P, Vogl T. Cone Beam Computertomography (CBCT) in Interventional Chest Medicine -High Feasibility for Endobronchial Realtime Navigation. J Cancer. 2014;5.",Cone Beam Computertomography (CBCT) in Interventional Chest Medicine -High Feasibility for Endobronchial Realtime Navigation,J Cancer,2014,5,,,,,Hohenforst-Schmidt W; Zarogoulidis P; Vogl T
10,"Hohenforst-Schmidt W, Banckwitz R, Zarogoulidis P. Radiation Exposure of Patients by Cone Beam CT during Endobronchial Navigation -A Phantom Study. J Cancer. 2014;5.",Radiation Exposure of Patients by Cone Beam CT during Endobronchial Navigation -A Phantom Study,J Cancer,2014,5,,,,,Hohenforst-Schmidt W; Banckwitz R; Zarogoulidis P
