#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,F. None. None. 2000;None.,,,2000,,,,,,F
2,"Freeman BD, Lin IK, Buchman N, TG. A meta-analysis of prospective trials comparing percutaneous and surgical tracheostomy in critically ill patients. Chest. 2000;118(5).",A meta-analysis of prospective trials comparing percutaneous and surgical tracheostomy in critically ill patients,Chest,2000,118,5,,,,Freeman BD; Lin IK; Buchman N; TG
3,"Friedman ; A Friedman Y. Indications, timing, techniques, and complications of tracheostomy in the critically ill patients. Current Opinion in Critical Care. 1996;2(1).","Indications, timing, techniques, and complications of tracheostomy in the critically ill patients",Current Opinion in Critical Care,1996,2,1,,,,Friedman ; A Friedman Y
4,Friedman. None. None. 1996;None.,,,1996,,,,,,Friedman
5,"Friedman Y, Fildes J, Mizock B, Samuel J, Patel S, Appavau S. Comparison of percutaneous and surgical tracheostomy. Chest. 1996;110(2).",Comparison of percutaneous and surgical tracheostomy,Chest,1996,110,2,,,,Friedman Y; Fildes J; Mizock B; Samuel J; Patel S; Appavau S
6,Frova. None. None. 2002;None.,,,2002,,,,,,Frova
7,"Frova G, Quintel M. A new simple method for percutaneous tracheostomy: controlled rotating dilatation. A preliminary report. Intensive Care Medicine. 2002;28(3).",A new simple method for percutaneous tracheostomy: controlled rotating dilatation. A preliminary report,Intensive Care Medicine,2002,28,3,,,,Frova G; Quintel M
8,Glasziou. None. None. 2001;None.,,,2001,,,,,,Glasziou
9,"Glasziou P, Irwig L, Bain C, Colditz G. Systematic Reviews in Health Care: A Practical Guide. 1st Edition. Systematic Reviews in Health Care: A Practical Guide. 1st Edition. 2001;None.",Systematic Reviews in Health Care: A Practical Guide. 1st Edition,Systematic Reviews in Health Care: A Practical Guide. 1st Edition,2001,,,,,,Glasziou P; Irwig L; Bain C; Colditz G
10, GRADEproGDT: GRADEpro Guideline Development Tool. GRADEproGDT: GRADEpro Guideline Development Tool. 2015;None.,GRADEproGDT: GRADEpro Guideline Development Tool,GRADEproGDT: GRADEpro Guideline Development Tool,2015,,,,,,
11,Griffiths. None. None. 2005;None.,,,2005,,,,,,Griffiths
12,"Griffiths J, Barber VS, Morgan L, Young JD. Systematic review and meta-analysis of studies of the timing of tracheostomy in adult patients undergoing artificial ventilation. BMJ. 2005;28(330):1243.",Systematic review and meta-analysis of studies of the timing of tracheostomy in adult patients undergoing artificial ventilation,BMJ,2005,28,330,1243,,,Griffiths J; Barber VS; Morgan L; Young JD
13,Griggs. None. None. 1990;None.,,,1990,,,,,,Griggs
14,"Griggs WM, Worthley LI, Gilligan JE, Thomas PD, Myburg JA. A simple percutaneous tracheostomy technique. Surgery. 1990;170(6).",A simple percutaneous tracheostomy technique,Surgery,1990,170,6,,,,Griggs WM; Worthley LI; Gilligan JE; Thomas PD; Myburg JA
15,Griggs. None. None. 1991;None.,,,1991,,,,,,Griggs
16,"Griggs WM, Myburgh JA, Worthley LI. A prospective comparison of a percutaneous tracheostomy technique with standard surgical tracheostomy. Intensive Care Medicine. 1991;17(5).",A prospective comparison of a percutaneous tracheostomy technique with standard surgical tracheostomy,Intensive Care Medicine,1991,17,5,,,,Griggs WM; Myburgh JA; Worthley LI
17,"Gromann 2009a Gromann TW, Birkelbach O, Hetzer R. Balloon dilatational tracheostomy: initial experience with the Ciaglia Blue Dolphin method. Anesthesia and Analgesia. 2009;108(6). doi:10.1213/ane.0b013e3181a1a494.",Balloon dilatational tracheostomy: initial experience with the Ciaglia Blue Dolphin method,Anesthesia and Analgesia,2009,108,6,,10.1213/ane.0b013e3181a1a494,,Gromann 2009a Gromann TW; Birkelbach O; Hetzer R
18,"Gromann ; Gromann TW, Birkelbach O, Hetzer R. Ballon dilatational tracheostomy. Technique and first clinical experience with the Ciaglia Blue Dolphin method [Tracheotomie mittels Ballondilatation. Der Chirurg. 2009;80(7). doi:10.1007/s00104-008-1651-2.",Ballon dilatational tracheostomy. Technique and first clinical experience with the Ciaglia Blue Dolphin method [Tracheotomie mittels Ballondilatation,Der Chirurg,2009,80,7,,10.1007/s00104-008-1651-2,,Gromann ; Gromann TW; Birkelbach O; Hetzer R
19,Groves. None. None. 2007;None.,,,2007,,,,,,Groves
20,"Groves DS, Durbin CG. Tracheostomy in the critically ill: indications, timing and techniques. Current Opinion in Critical Care. 1996;13(1).","Tracheostomy in the critically ill: indications, timing and techniques",Current Opinion in Critical Care,1996,13,1,,,,Groves DS; Durbin CG
21,"Iwanaka T, Arkovitz MS, Arya G, Ziegler MM. Evaluation of operative stress and peritoneal macrophage function in minimally invasive operations. Journal of the American College of Surgeons. 1997;184(4).",Evaluation of operative stress and peritoneal macrophage function in minimally invasive operations,Journal of the American College of Surgeons,1997,184,4,,,,Iwanaka T; Arkovitz MS; Arya G; Ziegler MM
22,Kaiser. None. None. 2006;None.,,,2006,,,,,,Kaiser
23,"Kaiser E, Cantais E, Goutorbe P, Salinier L, Palmier B. Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy. Anaesthesia and Intensive Care. 2006;34(1).",Prospective randomized comparison of progressive dilational vs forceps dilational percutaneous tracheostomy,Anaesthesia and Intensive Care,2006,34,1,,,,Kaiser E; Cantais E; Goutorbe P; Salinier L; Palmier B
24,"Kaloud H, Smolle-Juettner F, Prause G, List WF. Iatrogenic rupture of the tracheobronchial tree. Chest. 1997;112(3).",Iatrogenic rupture of the tracheobronchial tree,Chest,1997,112,3,,,,Kaloud H; Smolle-Juettner F; Prause G; List WF
25,Kane. None. None. 1997;None.,,,1997,,,,,,Kane
26,"Kane TD, Rodriquez JL, Luchette FA. Early versus late tracheostomy in the trauma patient. Respiratory Care Clinics of North America. 1997;3(1).",Early versus late tracheostomy in the trauma patient,Respiratory Care Clinics of North America,1997,3,1,,,,Kane TD; Rodriquez JL; Luchette FA
27,Kluge. None. None. 2008;None.,,,2008,,,,,,Kluge
28,"Kluge S, Baumann HJ, Maier C, Klose H, Myer A, Nierhaus A. Tracheostomy in the intensive care unit: a nationwide survey. Anesthesia and Analgesia. 2008;107(5). doi:10.1213/ane.0b013e318188b818.",Tracheostomy in the intensive care unit: a nationwide survey,Anesthesia and Analgesia,2008,107,5,,10.1213/ane.0b013e318188b818,,Kluge S; Baumann HJ; Maier C; Klose H; Myer A; Nierhaus A
29,Kollef. None. None. 1999;None.,,,1999,,,,,,Kollef
30,"Kollef MH, Ahrens TS, Shannon W. Clinical predictors and outcomes for patients requiring tracheostomy in the intensive care unit. Critical Care Medicine. 1999;27(9).",Clinical predictors and outcomes for patients requiring tracheostomy in the intensive care unit,Critical Care Medicine,1999,27,9,,,,Kollef MH; Ahrens TS; Shannon W
31,Kornblith. None. None. 2011;None.,,,2011,,,,,,Kornblith
