#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307(22).",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,22,,,,Davies HE; Mishra EK; Kahan BC
2,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65(Suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,Suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
3,"Matthews C, Freeman C, Sharples LD. MesoTRAP: a feasibility study that includes a pilot clinical trial comparing video-assisted thoracoscopic partial pleurectomy decortication with indwelling pleural catheter in patients with trapped lung due to malignant pleural mesothelioma designed to address recruitment and randomisation uncertainties and sample size requirements for a phase III trial. BMJ Open Respir Res. 2019;6(1):e000368.",MesoTRAP: a feasibility study that includes a pilot clinical trial comparing video-assisted thoracoscopic partial pleurectomy decortication with indwelling pleural catheter in patients with trapped lung due to malignant pleural mesothelioma designed to address recruitment and randomisation uncertainties and sample size requirements for a phase III trial,BMJ Open Respir Res,2019,6,1,e000368,,,Matthews C; Freeman C; Sharples LD
4,"Kasapoglu US, Arinc S, Gungor S. Prognostic factors affecting survival in non-small cell lung carcinoma patients with malignant pleural effusions. Clin Respir J. 2016;10(6).",Prognostic factors affecting survival in non-small cell lung carcinoma patients with malignant pleural effusions,Clin Respir J,2016,10,6,,,,Kasapoglu US; Arinc S; Gungor S
5,"Zamboni MM, Da Silva Ct, Baretta R, Cunha ET, Cardoso GP. Important prognostic factors for survival in patients with malignant pleural effusion. BMC Pulm Med. 2015;15:29.",Important prognostic factors for survival in patients with malignant pleural effusion,BMC Pulm Med,2015,15,,29,,,Zamboni MM; Da Silva Ct; Baretta R; Cunha ET; Cardoso GP
6,"Verma A, Phua CK, Sim WY. Pleural LDH as a prognostic marker in adenocarcinoma lung with malignant pleural effusion. Medicine. 2016;95(26):3996.",Pleural LDH as a prognostic marker in adenocarcinoma lung with malignant pleural effusion,Medicine,2016,95,26,3996,,,Verma A; Phua CK; Sim WY
7,"Clive AO, Kahan BC, Hooper CE. Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score. Thorax. 2014;69(12).",Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score,Thorax,2014,69,12,,,,Clive AO; Kahan BC; Hooper CE
8,"Psallidas I, Kanellakis NI, Gerry S. Development and validation of response markers to predict survival and pleurodesis success in patients with malignant pleural effusion (PROMISE): a multicohort analysis. Lancet Oncol. 2018;19(7).",Development and validation of response markers to predict survival and pleurodesis success in patients with malignant pleural effusion (PROMISE): a multicohort analysis,Lancet Oncol,2018,19,7,,,,Psallidas I; Kanellakis NI; Gerry S
9,"Abisheganaden J, Verma A, Dagaonkar RS, Light RW. An observational study evaluating the performance of LENT score in the selected population of malignant pleural effusion from lung adenocarcinoma in Singapore. Respiration. 2018;96(4).",An observational study evaluating the performance of LENT score in the selected population of malignant pleural effusion from lung adenocarcinoma in Singapore,Respiration,2018,96,4,,,,Abisheganaden J; Verma A; Dagaonkar RS; Light RW
10,"Banka R, Ferris R, Hung A, Gkogkou P, Mishra EK. Evaluation of the LENT and PROMISE score for malignant pleural mesothelioma by histological subtype. Thorax. 2019;74.",Evaluation of the LENT and PROMISE score for malignant pleural mesothelioma by histological subtype,Thorax,2019,74,,,,,Banka R; Ferris R; Hung A; Gkogkou P; Mishra EK
