#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Yarmus L, Gilbert C, Lechtzin N, Imad M, Ernst A, Feller-Kopman D. Safety and feasibility of interventional pulmonologists performing bedside percutaneous endoscopic gastrostomy tube placement. Chest. 2013;144(2).",Safety and feasibility of interventional pulmonologists performing bedside percutaneous endoscopic gastrostomy tube placement,Chest,2013,144,2,,,,Yarmus L; Gilbert C; Lechtzin N; Imad M; Ernst A; Feller-Kopman D
2,"Mota P, Dionisio J, De Costa D, J. Flexible bronchoscope use by pulmonologists in collaboration with gastroenterologists for placement of percutaneous endoscopic gastrostomy via transnasal route in patients with head and neck cancer: a 10-year experience in a single cancer institution. J Bronchology Interv Pulmonol. 2018;25(1).",Flexible bronchoscope use by pulmonologists in collaboration with gastroenterologists for placement of percutaneous endoscopic gastrostomy via transnasal route in patients with head and neck cancer: a 10-year experience in a single cancer institution,J Bronchology Interv Pulmonol,2018,25,1,,,,Mota P; Dionisio J; De Costa D; J
3,"Lamb CR, Feller-Kopman D, Ernst A. An approach to interventional pulmonary fellowship training. Chest. 2010;137(1).",An approach to interventional pulmonary fellowship training,Chest,2010,137,1,,,,Lamb CR; Feller-Kopman D; Ernst A
4,"Hucl T, Dinis-Ribeiro M, Gralnek I, Reddy N. Complications of percutaneous endoscopic gastrostomy. Best Pract Res Clin Gastroenterol. 2016;30(5).",Complications of percutaneous endoscopic gastrostomy,Best Pract Res Clin Gastroenterol,2016,30,5,,,,Hucl T; Dinis-Ribeiro M; Gralnek I; Reddy N
5,"Silas AM, Pearce LF, Lestina LS. Percutaneous radiologic gastrostomy versus percutaneous endoscopic gastrostomy: a comparison of indications, complications and outcomes in 370 patients. Eur J Radiol. 2005;56.","Percutaneous radiologic gastrostomy versus percutaneous endoscopic gastrostomy: a comparison of indications, complications and outcomes in 370 patients",Eur J Radiol,2005,56,,,,,Silas AM; Pearce LF; Lestina LS
6,"Mccarter TL, Condon SC, Aguilar RC, Gibson DJ, Chen YK. Randomized prospective trial of early versus delayed feeding after percutaneous endoscopic gastrostomy placement. Am J Gastroenterol. 1998;93(3).",Randomized prospective trial of early versus delayed feeding after percutaneous endoscopic gastrostomy placement,Am J Gastroenterol,1998,93,3,,,,Mccarter TL; Condon SC; Aguilar RC; Gibson DJ; Chen YK
7,"Banerjee S, Shen B, Baron TH. Antibiotic prophylaxis for GI endoscopy. Gastrointest Endosc. 2008;67(6).",Antibiotic prophylaxis for GI endoscopy,Gastrointest Endosc,2008,67,6,,,,Banerjee S; Shen B; Baron TH
8,"Gauderer MW, Ponsky JL, Izant RJ. Gastrostomy without laparotomy: a percutaneous endoscopic technique. J Pediatr Surg. 1980;15(6).",Gastrostomy without laparotomy: a percutaneous endoscopic technique,J Pediatr Surg,1980,15,6,,,,Gauderer MW; Ponsky JL; Izant RJ
9,"Majid A, Cheng GZ, Kent MS, Gangadharan SP, Whyte R, Folch E. Evaluation of rigid bronchoscopy-guided percutaneous dilatational tracheostomy. A pilot study. Ann Am Thorac Soc. 2014;11(5).",Evaluation of rigid bronchoscopy-guided percutaneous dilatational tracheostomy. A pilot study,Ann Am Thorac Soc,2014,11,5,,,,Majid A; Cheng GZ; Kent MS; Gangadharan SP; Whyte R; Folch E
10,"Burkitt P, Carter LM, Smith AB, Al K. Outcomes of percutaneous endoscopic gastrostomy and radiologically inserted gastrostomy in patients with head and neck cancer: a systematic review. Br J Oral Maxillofac Surg. 2011;49(7).",Outcomes of percutaneous endoscopic gastrostomy and radiologically inserted gastrostomy in patients with head and neck cancer: a systematic review,Br J Oral Maxillofac Surg,2011,49,7,,,,Burkitt P; Carter LM; Smith AB; Al K
11, Principles of training in gastrointestinal endoscopy. Gastrointest Endosc. 1999;49(6).,Principles of training in gastrointestinal endoscopy,Gastrointest Endosc,1999,49,6,,,,
12,"Wollman B, Agostino D, HB. Percutaneous radiologic and endoscopic gastrostomy: a 3-year institutional analysis of procedure performance. AJR Am J Roentgenol. 1997;169(6).",Percutaneous radiologic and endoscopic gastrostomy: a 3-year institutional analysis of procedure performance,AJR Am J Roentgenol,1997,169,6,,,,Wollman B; Agostino D; HB
13,"Neeff M, Crowder VL, Mclvor NP, Chaplin JM, Morton RP. Comparison of the use of endoscopic and radiologic gastrostomy in a single head and neck cancer unit. ANZ J Surg. 2003;73(8).",Comparison of the use of endoscopic and radiologic gastrostomy in a single head and neck cancer unit,ANZ J Surg,2003,73,8,,,,Neeff M; Crowder VL; Mclvor NP; Chaplin JM; Morton RP
14,"Singh RR, Nah SA, Roebuck DJ. Double-blind randomized clinical trial of percutaneous endoscopic gastrostomy versus radiologically inserted gastrostomy in children. Br J Surg. 2017;104(12).",Double-blind randomized clinical trial of percutaneous endoscopic gastrostomy versus radiologically inserted gastrostomy in children,Br J Surg,2017,104,12,,,,Singh RR; Nah SA; Roebuck DJ
15,"Ruthman O, Seitz A, Richter S. Percutaneous endoscopic gastrostomy. Complications with and without anticoagulation. Chirurg. 2010;81(3).",Percutaneous endoscopic gastrostomy. Complications with and without anticoagulation,Chirurg,2010,81,3,,,,Ruthman O; Seitz A; Richter S
16,"Schrag SP, Sharma R, Jaik NP. Complications related to percutaneous endoscopic gastrostomy (PEG) tubes. A comprehensive clinical review. J Gastrointest Liver Dis. 2007;16(4).",Complications related to percutaneous endoscopic gastrostomy (PEG) tubes. A comprehensive clinical review,J Gastrointest Liver Dis,2007,16,4,,,,Schrag SP; Sharma R; Jaik NP
17,"El AZ, Arvanitakis M, Ballarin A. Buried bumper syndrome: low incidence and safe endoscopic management. Acta Gastroenterol Belg. 2011;74(2).",Buried bumper syndrome: low incidence and safe endoscopic management,Acta Gastroenterol Belg,2011,74,2,,,,El AZ; Arvanitakis M; Ballarin A
18,"Ellrichman M, Sergeev P, Bethge J. Prospective evaluation of malignant cell seeding after percutaneous endoscopic gastrostomy in patients with oropharyngeal/esophageal cancers. Endoscopy. 2013;45(7).",Prospective evaluation of malignant cell seeding after percutaneous endoscopic gastrostomy in patients with oropharyngeal/esophageal cancers,Endoscopy,2013,45,7,,,,Ellrichman M; Sergeev P; Bethge J
19,"Herth FJ, Krasnik M, Kahn N, Eberhardt R, Ernst A. Combined endoscopic-endobronchial ultrasound-guided fine-needle aspiration of mediastinal lymph nodes through a single bronchoscope in 150 patients with suspected lung cancer. Chest. 2010;138(4).",Combined endoscopic-endobronchial ultrasound-guided fine-needle aspiration of mediastinal lymph nodes through a single bronchoscope in 150 patients with suspected lung cancer,Chest,2010,138,4,,,,Herth FJ; Krasnik M; Kahn N; Eberhardt R; Ernst A
20,Kovaleva J. Infectious complications in gastrointestinal endoscopy and their prevention. Best Pract Res Clin Gastroenterol. 2016;30(5).,Infectious complications in gastrointestinal endoscopy and their prevention,Best Pract Res Clin Gastroenterol,2016,30,5,,,,Kovaleva J
21,"Alfa MJ, Sepehri S, Olson N, WA. Establishing a clinically relevant bioburden benchmark: a quality indicator for adequate reprocessing and storage of flexible gastrointestinal endoscopes. Am J Infect Control. 2012;40(3).",Establishing a clinically relevant bioburden benchmark: a quality indicator for adequate reprocessing and storage of flexible gastrointestinal endoscopes,Am J Infect Control,2012,40,3,,,,Alfa MJ; Sepehri S; Olson N; WA
22,"Rahnemai-Azar AA, Rahnemaizar AA, Nagshizadian R, Kutz A, Farkas DT. Percutaneous endoscopic gastrostomy: indications, technique, complications and management. World J Gastroenterol. 2014;20(24).","Percutaneous endoscopic gastrostomy: indications, technique, complications and management",World J Gastroenterol,2014,20,24,,,,Rahnemai-Azar AA; Rahnemaizar AA; Nagshizadian R; Kutz A; Farkas DT
23,"Lipp A, Lusardi G. A systematic review of prophylactic antimicrobials in PEG placement. Clin Nurs. 2009;18(7).",A systematic review of prophylactic antimicrobials in PEG placement,Clin Nurs,2009,18,7,,,,Lipp A; Lusardi G
