#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Becker HD, Marsh BR. History of the rigid bronchoscope. Interventional bronchoscopy. 2000;None.",History of the rigid bronchoscope,Interventional bronchoscopy,2000,,,,,,Becker HD; Marsh BR
2,Miyazawa T. History of the flexible bronchoscope. History of the flexible bronchoscope. 2000;None.,History of the flexible bronchoscope,History of the flexible bronchoscope,2000,,,,,,Miyazawa T
3,Sanders RD. Two ventilating attachments for bronchoscopes. Del Med J. 1967;39.,Two ventilating attachments for bronchoscopes,Del Med J,1967,39,,,,,Sanders RD
4,"Perrin G, Colt HG, Martin C. Safety of interventional rigid bronchoscopy using intravenous anesthesia and spontaneous assisted ventilation. A prospective study. Chest. 1992;102(5).",Safety of interventional rigid bronchoscopy using intravenous anesthesia and spontaneous assisted ventilation. A prospective study,Chest,1992,102,5,,,,Perrin G; Colt HG; Martin C
5,"Godden DJ, Willey RF, Fergusson RJ. Rigid bronchoscopy under intravenous general anaesthesia with oxygen Venturi ventilation. Thorax. 1982;37(7).",Rigid bronchoscopy under intravenous general anaesthesia with oxygen Venturi ventilation,Thorax,1982,37,7,,,,Godden DJ; Willey RF; Fergusson RJ
6,"Fernandez-Bustamante A, Ibanez V, Alfaro JJ. High-frequency jet ventilation in interventional bronchoscopy: factors with predictive value on highfrequency jet ventilation complications. J Clin Anesth. 2006;18(5).",High-frequency jet ventilation in interventional bronchoscopy: factors with predictive value on highfrequency jet ventilation complications,J Clin Anesth,2006,18,5,,,,Fernandez-Bustamante A; Ibanez V; Alfaro JJ
7, Cancer facts and figures. Cancer facts and figures. 2008;None.,Cancer facts and figures,Cancer facts and figures,2008,,,,,,
8, SEER cancer statistics review 1975-2005. SEER cancer statistics review 1975-2005. 2009;None.,SEER cancer statistics review 1975-2005,SEER cancer statistics review 1975-2005,2009,,,,,,
9,"Dasgupta A, Mehta AC. Transbronchial needle aspiration. An underused diagnostic technique. Clin Chest Med. 1999;20(1).",Transbronchial needle aspiration. An underused diagnostic technique,Clin Chest Med,1999,20,1,,,,Dasgupta A; Mehta AC
10,"Wang KP, Marsh BR, Summer WR. Transbronchial needle aspiration for diagnosis of lung cancer. Chest. 1981;80(1).",Transbronchial needle aspiration for diagnosis of lung cancer,Chest,1981,80,1,,,,Wang KP; Marsh BR; Summer WR
11,"Wang KP, Brower R, Haponik EF. Flexible transbronchial needle aspiration for staging of bronchogenic carcinoma. Chest. 1983;84(5).",Flexible transbronchial needle aspiration for staging of bronchogenic carcinoma,Chest,1983,84,5,,,,Wang KP; Brower R; Haponik EF
12,"Harrow EM, Abi-Saleh W, Blum J. The utility of transbronchial needle aspiration in the staging of bronchogenic carcinoma. Am J Respir Crit Care Med. 2000;161(2 Pt 1).",The utility of transbronchial needle aspiration in the staging of bronchogenic carcinoma,Am J Respir Crit Care Med,2000,161,2 Pt 1,,,,Harrow EM; Abi-Saleh W; Blum J
13,"Prakash UB, Offord KP, Stubbs SE. Bronchoscopy in North America: the ACCP survey. Chest. 1991;100(6).",Bronchoscopy in North America: the ACCP survey,Chest,1991,100,6,,,,Prakash UB; Offord KP; Stubbs SE
14,"Groth SS, Whitson BA, Cunha D, J. Endobronchial ultrasound-guided fine-needle aspiration of mediastinal lymph nodes: a single institution's early learning curve. Ann Thorac Surg. 2008;86(4).",Endobronchial ultrasound-guided fine-needle aspiration of mediastinal lymph nodes: a single institution's early learning curve,Ann Thorac Surg,2008,86,4,,,,Groth SS; Whitson BA; Cunha D; J
15,"Garwood S, Judson MA, Silvestri G. Endobronchial ultrasound for the diagnosis of pulmonary sarcoidosis. Chest. 2007;132(4).",Endobronchial ultrasound for the diagnosis of pulmonary sarcoidosis,Chest,2007,132,4,,,,Garwood S; Judson MA; Silvestri G
16,"Kennedy MP, Jimenez CA, Bruzzi JF. Endobronchial ultrasound-guided transbronchial needle aspiration in the diagnosis of lymphoma. Thorax. 2008;63(4).",Endobronchial ultrasound-guided transbronchial needle aspiration in the diagnosis of lymphoma,Thorax,2008,63,4,,,,Kennedy MP; Jimenez CA; Bruzzi JF
17,"Aumiller J, Herth FJ, Krasnik M. Endobronchial ultrasound for detecting central pulmonary emboli: a pilot study. Respiration. 2009;77(3).",Endobronchial ultrasound for detecting central pulmonary emboli: a pilot study,Respiration,2009,77,3,,,,Aumiller J; Herth FJ; Krasnik M
18,"Tremblay A, Stather DR, Maceachern P. A randomized controlled trial of standard vs endobronchial ultrasonography-guided transbronchial needle aspiration in patients with suspected sarcoidosis. Chest. 2009;136(2).",A randomized controlled trial of standard vs endobronchial ultrasonography-guided transbronchial needle aspiration in patients with suspected sarcoidosis,Chest,2009,136,2,,,,Tremblay A; Stather DR; Maceachern P
19,"Wong M, Yasufuku K, Nakajima T. Endobronchial ultrasound: new insight for the diagnosis of sarcoidosis. Eur Respir J. 2007;29(6).",Endobronchial ultrasound: new insight for the diagnosis of sarcoidosis,Eur Respir J,2007,29,6,,,,Wong M; Yasufuku K; Nakajima T
20,"Savage C, Morrison RJ, Zwischenberger JB. Bronchoscopic diagnosis and staging of lung cancer. Chest Surg Clin N Am. 2001;11(4).",Bronchoscopic diagnosis and staging of lung cancer,Chest Surg Clin N Am,2001,11,4,,,,Savage C; Morrison RJ; Zwischenberger JB
