#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Kelly JL, Bamsey O, Smith C. Health status assessment in routine clinical practice: the chronic obstructive pulmonary disease assessment test score in outpatients. Respiration. 2012;84.",Health status assessment in routine clinical practice: the chronic obstructive pulmonary disease assessment test score in outpatients,Respiration,2012,84,,,,,Kelly JL; Bamsey O; Smith C
2,"Emphysema N, Trial T, Group R. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Emphysema N; Trial T; Group R
3,"Clark SJ, Zoumot Z, Bamsey O. Surgical approaches for lung volume reduction surgery in emphysema. Clin Med. 2014;14.",Surgical approaches for lung volume reduction surgery in emphysema,Clin Med,2014,14,,,,,Clark SJ; Zoumot Z; Bamsey O
4,"Mcnulty W, Jordan S, Hopkinson NS. Attitudes and access to lung volume reduction surgery for COPD: a survey by the British Thoracic Society. BMJ Open Respirat Res. 2014;1:e000023.",Attitudes and access to lung volume reduction surgery for COPD: a survey by the British Thoracic Society,BMJ Open Respirat Res,2014,1,,e000023,,,Mcnulty W; Jordan S; Hopkinson NS
5,"Sciurba FC, Ernst A, Herth F. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth F
6,"Valipour A, Herth F, Burghuber OC. Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy. Eur Respir J. 2014;43.",Target lobe volume reduction and COPD outcome measures after endobronchial valve therapy,Eur Respir J,2014,43,,,,,Valipour A; Herth F; Burghuber OC
7,"Hopkinson NS, Kemp SV, Toma TP. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur Respir J. 2011;37.",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur Respir J,2011,37,,,,,Hopkinson NS; Kemp SV; Toma TP
8,"Hopkinson NS, Toma TP, Hansell DM. Eff ect of bronchoscopic lung volume reduction on dynamic hyperinfl ation and exercise in emphysema. Am J Respir Crit Care Med. 2005;171.",Eff ect of bronchoscopic lung volume reduction on dynamic hyperinfl ation and exercise in emphysema,Am J Respir Crit Care Med,2005,171,,,,,Hopkinson NS; Toma TP; Hansell DM
9,"Shah PL, Zoumot Z, Singh S. Endobronchial coils for the treatment of severe emphysema with hyperinfl ation (RESET): a randomised controlled trial. Lancet Respir Med. 2013;1.",Endobronchial coils for the treatment of severe emphysema with hyperinfl ation (RESET): a randomised controlled trial,Lancet Respir Med,2013,1,,,,,Shah PL; Zoumot Z; Singh S
10,"Shah PL, Slebos DJ, Cardoso PF. Bronchoscopic lung-volume reduction with Exhale airway stents for emphysema (EASE trial): randomised, sham-controlled, multicentre trial. Lancet. 2011;378.","Bronchoscopic lung-volume reduction with Exhale airway stents for emphysema (EASE trial): randomised, sham-controlled, multicentre trial",Lancet,2011,378,,,,,Shah PL; Slebos DJ; Cardoso PF
