#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169(12).",Central airway obstruction,Am J Respir Crit Care Med,2004,169,12,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
2,"Daneshvar C, Falconer WE, Ahmed M. Prevalence and outcome of central airway obstruction in patients with lung cancer. BMJ Open Respir Res. 2019;6(1):e000429.",Prevalence and outcome of central airway obstruction in patients with lung cancer,BMJ Open Respir Res,2019,6,1,e000429,,,Daneshvar C; Falconer WE; Ahmed M
3,"Ost DE, Ernst A, Grosu HB. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147(5).",Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,5,,,,Ost DE; Ernst A; Grosu HB
4,"Murgu SD, Egressy K, Laxmanan B, Doblare G, Ortiz-Comino R, Hogarth DK. Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction. Chest. 2016;150(2).","Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction",Chest,2016,150,2,,,,Murgu SD; Egressy K; Laxmanan B; Doblare G; Ortiz-Comino R; Hogarth DK
5,"Mahmood K, Wahidi MM, Shepherd RW. Variable learning curve of basic rigid bronchoscopy in trainees. Respiration. 2021;100(6).",Variable learning curve of basic rigid bronchoscopy in trainees,Respiration,2021,100,6,,,,Mahmood K; Wahidi MM; Shepherd RW
6,"Yarmus L, Feller-Kopman D, Imad M, Kim S, Lee HJ. Procedural volume and structure of interventional pulmonary fellowships: a survey of fellows and fellowship program directors. Chest. 2013;144(3).",Procedural volume and structure of interventional pulmonary fellowships: a survey of fellows and fellowship program directors,Chest,2013,144,3,,,,Yarmus L; Feller-Kopman D; Imad M; Kim S; Lee HJ
7,"Powers RE, Schwalk AJ. Overview of malignant central airway obstruction. Mediastinum. 2023;7:32.",Overview of malignant central airway obstruction,Mediastinum,2023,7,,32,,,Powers RE; Schwalk AJ
8,"Balshem H, Helfand M, Schünemann HJ. GRADE guidelines: 3. Rating the quality of evidence. J Clin Epidemiol. 2011;64(4).",GRADE guidelines: 3. Rating the quality of evidence,J Clin Epidemiol,2011,64,4,,,,Balshem H; Helfand M; Schünemann HJ
9,"Reed MJ, Dunn MJ, Mckeown DW. Can an airway assessment score predict intubation success in the emergency department?. Emerg Med Australas. 2005;17(1).",Can an airway assessment score predict intubation success in the emergency department?,Emerg Med Australas,2005,17,1,,,,Reed MJ; Dunn MJ; Mckeown DW
10,"Mallampati SR, Gatt SP, Gugino LD. A clinical sign to predict difficult tracheal intubation: a prospective study. Can Anaesth Soc J. 1985;32(4).",A clinical sign to predict difficult tracheal intubation: a prospective study,Can Anaesth Soc J,1985,32,4,,,,Mallampati SR; Gatt SP; Gugino LD
