#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Egressy KV, Murgu SD. Current approaches to assessing the degree of airway narrowing in central airway obstruction. Ann Am Thorac Soc. 2015;12(1).",Current approaches to assessing the degree of airway narrowing in central airway obstruction,Ann Am Thorac Soc,2015,12,1,,,,Egressy KV; Murgu SD
2,"Freitag L, Ernst A, Unger M, Kovitz K, Marquette CH. A proposed classification system of central airway stenosis. Eur Respir J. 2007;30(1).",A proposed classification system of central airway stenosis,Eur Respir J,2007,30,1,,,,Freitag L; Ernst A; Unger M; Kovitz K; Marquette CH
3,"Ghorbani A, Dezfouli AA, Shadmehr MB. A proposed grading system for post-intubation tracheal stenosis. Tanaffos. 2012;11(3).",A proposed grading system for post-intubation tracheal stenosis,Tanaffos,2012,11,3,,,,Ghorbani A; Dezfouli AA; Shadmehr MB
4,"Grundfast KM, Morris MS, Bernsley C. Subglottic stenosis: retrospective analysis and proposal for standard reporting system. Ann Otol Rhinol Laryngol. 1987;96(1 pt 1).",Subglottic stenosis: retrospective analysis and proposal for standard reporting system,Ann Otol Rhinol Laryngol,1987,96,1 pt 1,,,,Grundfast KM; Morris MS; Bernsley C
5,"Lano CF, Duncavage JA, Reinisch L, Ossoff RH, Courey MS, Netterville JL. Laryngotracheal reconstruction in the adult: a ten year experience. Ann Otol Rhinol Laryngol. 1998;107(2).",Laryngotracheal reconstruction in the adult: a ten year experience,Ann Otol Rhinol Laryngol,1998,107,2,,,,Lano CF; Duncavage JA; Reinisch L; Ossoff RH; Courey MS; Netterville JL
6,Mccaffrey TV. Classification of laryngotracheal stenosis. Laryngoscope. 1992;102(12 pt 1).,Classification of laryngotracheal stenosis,Laryngoscope,1992,102,12 pt 1,,,,Mccaffrey TV
7,"Nouraei SA, Nouraei SM, Upile T, Howard DJ, Sandhu GS. A proposed system for documenting the functional outcome of adult laryngotracheal stenosis. Clin Otolaryngol. 2007;32(5).",A proposed system for documenting the functional outcome of adult laryngotracheal stenosis,Clin Otolaryngol,2007,32,5,,,,Nouraei SA; Nouraei SM; Upile T; Howard DJ; Sandhu GS
8,"Miller RD, Hyatt RE. Evaluation of obstructing lesions of the trachea and larynx by flow-volume loops. Am Rev Respir Dis. 1973;108(3).",Evaluation of obstructing lesions of the trachea and larynx by flow-volume loops,Am Rev Respir Dis,1973,108,3,,,,Miller RD; Hyatt RE
9,"Polverosi R, Vigo M, Baron S, Rossi G. Evaluation of tracheobronchial lesions with spiral CT: comparison between virtual endoscopy and bronchoscopy. Radiol Med. 2001;102(5-6).",Evaluation of tracheobronchial lesions with spiral CT: comparison between virtual endoscopy and bronchoscopy,Radiol Med,2001,102,5-6,,,,Polverosi R; Vigo M; Baron S; Rossi G
10,"Murgu SD, Colt HG. Combined optical coherence tomography and endobronchial ultrasonography for laser-assisted treatment of postintubation laryngotracheal stenosis. Ann Otol Rhinol Laryngol. 2013;122(5).",Combined optical coherence tomography and endobronchial ultrasonography for laser-assisted treatment of postintubation laryngotracheal stenosis,Ann Otol Rhinol Laryngol,2013,122,5,,,,Murgu SD; Colt HG
11,"Murgu S, Colt HG. Morphometric bronchoscopy in adults with central airway obstruction: case illustrations and review of the literature. Laryngoscope. 2009;119(7).",Morphometric bronchoscopy in adults with central airway obstruction: case illustrations and review of the literature,Laryngoscope,2009,119,7,,,,Murgu S; Colt HG
12,"Porhanov VA, Poliakov IS, Selvaschuk AP. Indications and results of sleeve carinal resection. Eur J Cardiothorac Surg. 2002;22(5).",Indications and results of sleeve carinal resection,Eur J Cardiothorac Surg,2002,22,5,,,,Porhanov VA; Poliakov IS; Selvaschuk AP
13,"Koshkareva Y, Gaughan JP, Soliman AM. Risk factors for adult laryngotracheal stenosis: a review of 74 cases. Ann Otol Rhinol Laryngol. 2007;116(3).",Risk factors for adult laryngotracheal stenosis: a review of 74 cases,Ann Otol Rhinol Laryngol,2007,116,3,,,,Koshkareva Y; Gaughan JP; Soliman AM
14,"Gelbard A, Francis DO, Sandulache VC, Simmons JC, Donovan DT, Ongkasuwan J. Causes and consequences of adult laryngotracheal stenosis. Laryngoscope. 2015;125(5).",Causes and consequences of adult laryngotracheal stenosis,Laryngoscope,2015,125,5,,,,Gelbard A; Francis DO; Sandulache VC; Simmons JC; Donovan DT; Ongkasuwan J
15,"Myer CM, Iii O, Connor DM, Cotton RT. Proposed grading system for subglottic stenosis based on endotracheal tube sizes. Ann Otol Rhinol Laryngol. 1994;103(4 Pt 1).",Proposed grading system for subglottic stenosis based on endotracheal tube sizes,Ann Otol Rhinol Laryngol,1994,103,4 Pt 1,,,,Myer CM; Iii O; Connor DM; Cotton RT
16,"Ost DE, Ernst A, Grosu HB. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147(5).",Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,5,,,,Ost DE; Ernst A; Grosu HB
17,"Brouns M, Jayaraju ST, Lacor C. Tracheal stenosis: a flow dynamics study. J Appl Physiol. 1985;102(3).",Tracheal stenosis: a flow dynamics study,J Appl Physiol,1985,102,3,,,,Brouns M; Jayaraju ST; Lacor C
18,"Nouraei SA, Nouraei SM, Randhawa PS. Sensitivity and responsiveness of the Medical Research Council dyspnoea scale to the presence and treatment of adult laryngotracheal stenosis. Clin Otolaryngol. 2008;33(6).",Sensitivity and responsiveness of the Medical Research Council dyspnoea scale to the presence and treatment of adult laryngotracheal stenosis,Clin Otolaryngol,2008,33,6,,,,Nouraei SA; Nouraei SM; Randhawa PS
19,"Saad SA, Falla A. Management of intractable and extensive tracheal stenosis by implantation of cartilage graft. J Pediatr Surg. 1983;18(4).",Management of intractable and extensive tracheal stenosis by implantation of cartilage graft,J Pediatr Surg,1983,18,4,,,,Saad SA; Falla A
20,"Wurtz A, Porte H, Conti M. Tracheal replacement with aortic allografts. N Engl J Med. 2006;355(18).",Tracheal replacement with aortic allografts,N Engl J Med,2006,355,18,,,,Wurtz A; Porte H; Conti M
21,"Macchiarini P, Jungebluth P, Go T. Clinical transplantation of a tissue-engineered airway. Lancet. 2008;372.",Clinical transplantation of a tissue-engineered airway,Lancet,2008,372,,,,,Macchiarini P; Jungebluth P; Go T
22,"Bagheri R, Majidi M, Khadivi E, Attar AS, Tabari A. Outcome of surgical treatment for proximal long segment post intubation tracheal stenosis. J Cardiothorac Surg. 2013;8:35.",Outcome of surgical treatment for proximal long segment post intubation tracheal stenosis,J Cardiothorac Surg,2013,8,,35,,,Bagheri R; Majidi M; Khadivi E; Attar AS; Tabari A
23,"Noppen M, Stratakos G, Amjadi K. Stenting allows weaning and extubation in ventilator-or tracheostomy dependency secondary to benign airway disease. Respir Med. 2007;101(1).",Stenting allows weaning and extubation in ventilator-or tracheostomy dependency secondary to benign airway disease,Respir Med,2007,101,1,,,,Noppen M; Stratakos G; Amjadi K
