#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Siegel RL, Miller KD, Jemal A. Cancer statistics. CA Cancer J. Clin. 2020;70.",Cancer statistics,CA Cancer J. Clin,2020,70,,,,,Siegel RL; Miller KD; Jemal A
2,"Morgensztern D, Waqar S, Subramanian J, Grgao F. Improving survival for stage IV non-small cell lung cancer: A Surveillance, Epidemiology, and End Results survey from 1990 to 2005. J. Thorac. Oncol. 2009;4. doi:10.1097/JTO.0b013e3181ba3634.","Improving survival for stage IV non-small cell lung cancer: A Surveillance, Epidemiology, and End Results survey from 1990 to 2005",J. Thorac. Oncol,2009,4,,,10.1097/JTO.0b013e3181ba3634,,Morgensztern D; Waqar S; Subramanian J; Grgao F
3,"Varlotto JM, Emmerick I, Voland R et al.. The Incidence of Node-Positive Non-small-Cell Lung Cancer Undergoing Sublobar Resection and the Role of Radiation in Its Management. Front. Oncol. 2020;10:417. doi:10.3389/fonc.2020.00417.",The Incidence of Node-Positive Non-small-Cell Lung Cancer Undergoing Sublobar Resection and the Role of Radiation in Its Management,Front. Oncol,2020,10,,417,10.3389/fonc.2020.00417,,Varlotto JM; Emmerick I; Voland R; Decamp MM; Flickinger JC; Maddox DJ; Herbert C; Griffin M; Rava P; Fitzgerald TJ
4,"Reck M, Rabe KF. Precision Diagnosis and Treatment for Advanced Non-Small-Cell Lung Cancer. N. Engl. J. Med. 2017;377. doi:10.1056/NEJMra1703413.",Precision Diagnosis and Treatment for Advanced Non-Small-Cell Lung Cancer,N. Engl. J. Med,2017,377,,,10.1056/NEJMra1703413,,Reck M; Rabe KF
5,"Agostinis P, Berg K, Cengel KA et al.. Photodynamic therapy of cancer: An update. CA Cancer J. Clin. 2011;61. doi:10.3322/caac.20114.",Photodynamic therapy of cancer: An update,CA Cancer J. Clin,2011,61,,,10.3322/caac.20114,,Agostinis P; Berg K; Cengel KA; Foster TH; Girotti AW; Gollnick SO; Hahn SM; Hamblin MR; Juzeniene A; Kessel D
6,"Detterbeck FC, Lewis SZ, Diekemper R, Addrizzo-Harris DJ, Alberts WM. Execuative Summary-Diagnosis and Management of Lung Cancer, 3rd ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines. Chest. 2013;143. doi:10.1378/chest.12-2377.","Execuative Summary-Diagnosis and Management of Lung Cancer, 3rd ed: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines",Chest,2013,143,,,10.1378/chest.12-2377,,Detterbeck FC; Lewis SZ; Diekemper R; Addrizzo-Harris DJ; Alberts WM
7,"Dolmans DE, Fukumura D, Jain RK. Photodynamic therapy for cancer. Nature. 2003;3. doi:10.1038/nrc1071.",Photodynamic therapy for cancer,Nature,2003,3,,,10.1038/nrc1071,,Dolmans DE; Fukumura D; Jain RK
8,"Qiao X, Tullgren O, Lax I, Sirzen F, Lewensohn R. The role of radiotherapy in treatment of stage I non-small cell lung cancer. Lung Cancer. 2003;43. doi:10.1016/S0169-5002(03)00152-1.",The role of radiotherapy in treatment of stage I non-small cell lung cancer,Lung Cancer,2003,43,,,10.1016/S0169-5002(03)00152-1,,Qiao X; Tullgren O; Lax I; Sirzen F; Lewensohn R
9,"Shafirstein G, Battoo A, Harris K et al.. Photodynamic Therapy of Non-Small Cell Lung Cancer Narrative Review and Future Directions. Ann. Am. Thorac. Soc. 2016;13. doi:10.1513/AnnalsATS.201509-650FR.",Photodynamic Therapy of Non-Small Cell Lung Cancer Narrative Review and Future Directions,Ann. Am. Thorac. Soc,2016,13,,,10.1513/AnnalsATS.201509-650FR,,Shafirstein G; Battoo A; Harris K; Baumann H; Gollnick SO; Lindenmann J; Nwogu CE
10,"Freitag L, Ernst A, Thomas M, Prenzel R, Wahlers B, Macha H. Sequential photodynamic therapy (PDT) and high dose brachytherapy for endobronchial tumour control in patients with limited bronchogenic carcinoma. Thorax. 2004;59. doi:10.1136/thx.2003.013599.",Sequential photodynamic therapy (PDT) and high dose brachytherapy for endobronchial tumour control in patients with limited bronchogenic carcinoma,Thorax,2004,59,,,10.1136/thx.2003.013599,,Freitag L; Ernst A; Thomas M; Prenzel R; Wahlers B; Macha H
11,"Lam S, Grafton C, Coy P, Voss N, Fairey R. Combinedphotodynamic therapy (PDT) using photofrin and radiother-apy (XRT) versus radiotherapy alone in patients with inop-erable obstructive non-small cell bronchogenic carcinoma. SPIE. 1991;1616.",Combinedphotodynamic therapy (PDT) using photofrin and radiother-apy (XRT) versus radiotherapy alone in patients with inop-erable obstructive non-small cell bronchogenic carcinoma,SPIE,1991,1616,,,,,Lam S; Grafton C; Coy P; Voss N; Fairey R
12,"Allison R, Moghissi K, Downie G, Dixon K. Photodynamic therapy (PDT) for lung cancer. Photodiagn. Photodyn. 2011;8. doi:10.1016/j.pdpdt.2011.03.342.",Photodynamic therapy (PDT) for lung cancer,Photodiagn. Photodyn,2011,8,,,10.1016/j.pdpdt.2011.03.342,,Allison R; Moghissi K; Downie G; Dixon K
13,"Cortese DA, Edell ES, Kinsey JH. Photodynamic therapy for early stage squamous cell carcinoma of the lung. Mayo Clin. Proc. 1997;72. doi:10.1016/S0025-6196(11)63563-5.",Photodynamic therapy for early stage squamous cell carcinoma of the lung,Mayo Clin. Proc,1997,72,,,10.1016/S0025-6196(11)63563-5,,Cortese DA; Edell ES; Kinsey JH
14,"Corti L, Toniolo L, Boso C et al.. Long-term survival of patients treated with photodynamic therapy for carcinoma in situ and early non-small-cell lung carcinoma. Lasers Surg. Med. 2007;39.",Long-term survival of patients treated with photodynamic therapy for carcinoma in situ and early non-small-cell lung carcinoma,Lasers Surg. Med,2007,39,,,,,Corti L; Toniolo L; Boso C; Colaut F; Fiore D; Muzzio PC; Koukourakis MI; Mazzarotto R; Pignataro M; Loreggian L
15,"Moghissi K, Dixon K, Thorpe JA, Stringer M. Photodynamic therapy (PDT) in early central lung cancer: A treatment option for patients ineligible for surgical resection. Thorax. 2007;62. doi:10.1136/thx.2006.061143.",Photodynamic therapy (PDT) in early central lung cancer: A treatment option for patients ineligible for surgical resection,Thorax,2007,62,,,10.1136/thx.2006.061143,,Moghissi K; Dixon K; Thorpe JA; Stringer M
16,"Simone CB, Friedberg JS, Glatstein E et al.. Photodynamic therapy for the treatment of non-small cell lung cancer. J. Thorac. Dis. 2011;4.",Photodynamic therapy for the treatment of non-small cell lung cancer,J. Thorac. Dis,2011,4,,,,,Simone CB; Friedberg JS; Glatstein E; Stevenson JP; Sterman DH; Hahn SM; Cengel KA
17,"Usuda J, Kato H, Okunaka T et al.. Photodynamic Therapy (PDT) for Lung Cancers. J. Thorac. Oncol. 2006;1. doi:10.1016/S1556-0864(15)31616-6.",Photodynamic Therapy (PDT) for Lung Cancers,J. Thorac. Oncol,2006,1,,,10.1016/S1556-0864(15)31616-6,,Usuda J; Kato H; Okunaka T; Furukawa K; Tsutsui H; Yamada K; Suga Y; Honda H; Nagatsuka Y; Ohira T
