#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Killian G. The Semon lecture on suspension laryngoscopy and its practical use: delivered before the University of London. Br Med J. 1914;1.,The Semon lecture on suspension laryngoscopy and its practical use: delivered before the University of London,Br Med J,1914,1,,,,,Killian G
2,"Wood DE, Liu YH, Vallie' Res E. Airway stenting for malignant and benign tracheobronchial stenosis. Ann Thorac Surg. 2003;76.",Airway stenting for malignant and benign tracheobronchial stenosis,Ann Thorac Surg,2003,76,,,,,Wood DE; Liu YH; Vallie' Res E
3,"Saad CP, Murthy S, Krizmanich G. Self-expandable metallic airway stents and flexible bronchoscopy: longterm outcomes analysis. Chest. 2003;124.",Self-expandable metallic airway stents and flexible bronchoscopy: longterm outcomes analysis,Chest,2003,124,,,,,Saad CP; Murthy S; Krizmanich G
4,"Mwipatayi BP, Sharma S. Durability of the balloon-expandable covered versus bare-metal stents in the covered versus balloon expandable stent trial (COBEST) for the treatment of aortoiliac occlusive disease. J Vasc Surg. 2016;64.",Durability of the balloon-expandable covered versus bare-metal stents in the covered versus balloon expandable stent trial (COBEST) for the treatment of aortoiliac occlusive disease,J Vasc Surg,2016,64,,,,,Mwipatayi BP; Sharma S
5,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97.,A dedicated tracheobronchial stent,Chest,1990,97,,,,,Dumon JF
6,"Vergnon JM, Costes F, Bayon MC. Efficacy of tracheal and bronchial stent placement on respiratory functional tests. Chest. 1995;107.",Efficacy of tracheal and bronchial stent placement on respiratory functional tests,Chest,1995,107,,,,,Vergnon JM; Costes F; Bayon MC
7,"Razi SS, Lebovics RS, Schwartz G. Timely airway stenting improves survival in patients with malignant central airway obstruction. Ann Thorac Surg. 2010;90.",Timely airway stenting improves survival in patients with malignant central airway obstruction,Ann Thorac Surg,2010,90,,,,,Razi SS; Lebovics RS; Schwartz G
8,"Furukawa K, Ishida J, Yamaguchi G. The role of airway stent placement in the management of tracheobronchial stenosis caused by inoperable advanced lung cancer. Surg Today. 2010;40.",The role of airway stent placement in the management of tracheobronchial stenosis caused by inoperable advanced lung cancer,Surg Today,2010,40,,,,,Furukawa K; Ishida J; Yamaguchi G
9,"Colt HG, Dumon JF. Airway stents. Present and future. Clin Chest Med. 1995;16.",Airway stents. Present and future,Clin Chest Med,1995,16,,,,,Colt HG; Dumon JF
10,"Noppen M, Pierard D, Meysman M. Bacterial colonization of central airways after stenting. Am J Respir Crit Care Med. 1999;160.",Bacterial colonization of central airways after stenting,Am J Respir Crit Care Med,1999,160,,,,,Noppen M; Pierard D; Meysman M
