#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Pisch J, Villamena P, Harvey J. High dose-rate endobronchial irradiation in malignant airway obstruction. Chest. 1993;104.",High dose-rate endobronchial irradiation in malignant airway obstruction,Chest,1993,104,,,,,Pisch J; Villamena P; Harvey J
2,"Dumon JF, Reboud E, Garbe L. Treatment of tracheobronchial lesion by laser photo-resection. Chest. 1982;81.",Treatment of tracheobronchial lesion by laser photo-resection,Chest,1982,81,,,,,Dumon JF; Reboud E; Garbe L
3,"Gelb AF, Epstein JP. Laser in treatment of lung cancer. Chest. 1984;86.",Laser in treatment of lung cancer,Chest,1984,86,,,,,Gelb AF; Epstein JP
4,"Cortese DA, Edell ES. Role or phototherapy, laser therapy, brachytherapy, and prosthetic stents in the management of lung cancer. Clin Chest Med. 1993;14.","Role or phototherapy, laser therapy, brachytherapy, and prosthetic stents in the management of lung cancer",Clin Chest Med,1993,14,,,,,Cortese DA; Edell ES
5,"Macha HN, Koch K, Stadler M. New technique for treating occlusive and stenosing tumours of the trachea and main bronchi: endobronchial irradiation by high dose irridium-192 combined with laser canalisation. Thorax. 1987;42.",New technique for treating occlusive and stenosing tumours of the trachea and main bronchi: endobronchial irradiation by high dose irridium-192 combined with laser canalisation,Thorax,1987,42,,,,,Macha HN; Koch K; Stadler M
6,"Burt PA, Driscll O, Notley BR, HM. Intraluminal irradiation for the palliation of lung cancer with the high dose rate micro-Selectron. Thorax. 1990;45.",Intraluminal irradiation for the palliation of lung cancer with the high dose rate micro-Selectron,Thorax,1990,45,,,,,Burt PA; Driscll O; Notley BR; HM
7,"Tredaniel J, Hennequin C, Zalcman G. Prolonged survival after high-dose rate endobronchial radiation for malignant airway obstruction. Chest. 1994;105.",Prolonged survival after high-dose rate endobronchial radiation for malignant airway obstruction,Chest,1994,105,,,,,Tredaniel J; Hennequin C; Zalcman G
8,"Goldman JM, Bulman AJ, Carey BM. Physiological effect of endobronchial radiotherapy in patients with major airway occlusion by carcinoma. Thorax. 1993;48.",Physiological effect of endobronchial radiotherapy in patients with major airway occlusion by carcinoma,Thorax,1993,48,,,,,Goldman JM; Bulman AJ; Carey BM
9,"Suh JH, Dass KK, Pagliaccio L. Endobronchial radiation therapy with or without Neodymium yttrium aluminum garnet laser resection for managing malignant airway obstruction. Cancer. 1994;73.",Endobronchial radiation therapy with or without Neodymium yttrium aluminum garnet laser resection for managing malignant airway obstruction,Cancer,1994,73,,,,,Suh JH; Dass KK; Pagliaccio L
10,"Ornadel D, Duchesne G, Wall P. Defining the roles of high dose rate endobronchial brachytherapy and laser resection for recurrent bronchial malignancy. Lung Cancer. 1997;16.",Defining the roles of high dose rate endobronchial brachytherapy and laser resection for recurrent bronchial malignancy,Lung Cancer,1997,16,,,,,Ornadel D; Duchesne G; Wall P
