#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"O'connor AR, MW. Radiological review of pneumothorax. BMJ. 2005;330(7506). doi:10.1136/bmj.330.7506.1493.",Radiological review of pneumothorax,BMJ,2005,330,7506,,10.1136/bmj.330.7506.1493,,O'connor AR; MW
2,"Laspas F, Roussakis A, Efthimiadou R, Papaioannou D, Papadopoulos S, Andreou J. Percutaneous CT-guided fine-needle aspiration of pulmonary lesions: results and complications in 409 patients. J Med Imaging Radiat Oncol. 2008;52(5). doi:10.1111/j.1440-1673.2008.01990.x.",Percutaneous CT-guided fine-needle aspiration of pulmonary lesions: results and complications in 409 patients,J Med Imaging Radiat Oncol,2008,52,5,,10.1111/j.1440-1673.2008.01990.x,,Laspas F; Roussakis A; Efthimiadou R; Papaioannou D; Papadopoulos S; Andreou J
3,"Sugibayashi T, Walston SL, Matsumoto T, Mitsuyama Y, Miki Y, Ueda D. Deep learning for pneumothorax diagnosis: a systematic review and meta-analysis. Eur Respir Rev. 2023;32(168):220259. doi:10.1183/16000617.0259-2022.",Deep learning for pneumothorax diagnosis: a systematic review and meta-analysis,Eur Respir Rev,2023,32,168,220259,10.1183/16000617.0259-2022,,Sugibayashi T; Walston SL; Matsumoto T; Mitsuyama Y; Miki Y; Ueda D
4,"Zarogoulidis P, Kioumis I, Pitsiou G, Porpodis K, Lampaki S, Papaiwannou A. Pneumothorax: from definition to diagnosis and treatment. J Thorac Dis. 2014;6(Suppl 4). doi:10.3978/j.issn.2072-1439.2014.09.24.",Pneumothorax: from definition to diagnosis and treatment,J Thorac Dis,2014,6,Suppl 4,,10.3978/j.issn.2072-1439.2014.09.24,,Zarogoulidis P; Kioumis I; Pitsiou G; Porpodis K; Lampaki S; Papaiwannou A
5,"Ince A, Ozucelik DN, Avci A, Nizam O, Dogan H, Topal MA. Management of pneumothorax in emergency medicine departments: multicenter trial. Iran Red Crescent Med J. 2013;15(12):11586. doi:10.5812/ircmj.11586.",Management of pneumothorax in emergency medicine departments: multicenter trial,Iran Red Crescent Med J,2013,15,12,11586,10.5812/ircmj.11586,,Ince A; Ozucelik DN; Avci A; Nizam O; Dogan H; Topal MA
6,"Mccomb BL, Chung JH, Crabtree TD, Heitkamp DE, Iannettoni MD. ACR appropriateness Criteria® routine chest radiography. J Thorac Imaging. 2016;31(2). doi:10.1097/RTI.0000000000000200.",ACR appropriateness Criteria® routine chest radiography,J Thorac Imaging,2016,31,2,,10.1097/RTI.0000000000000200,,Mccomb BL; Chung JH; Crabtree TD; Heitkamp DE; Iannettoni MD
7,"Sahn SA, Heffner JE. Spontaneous pneumothorax. N Engl J Med. 2000;342(12). doi:10.1056/NEJM200003233421207.",Spontaneous pneumothorax,N Engl J Med,2000,342,12,,10.1056/NEJM200003233421207,,Sahn SA; Heffner JE
8,"Brar MS, Bains I, Brunet G, Nicolaou S, Ball CG, Kirkpatrick AW. Occult pneumothoraces truly occult or simply missed: redux. J Trauma. 2010;69(6). doi:10.1097/TA.0b013e3181f6f525.",Occult pneumothoraces truly occult or simply missed: redux,J Trauma,2010,69,6,,10.1097/TA.0b013e3181f6f525,,Brar MS; Bains I; Brunet G; Nicolaou S; Ball CG; Kirkpatrick AW
9,"Moncada DC, Rueda ZV, Macías A, Suárez T, Ortega H, Vélez LA. Reading and interpretation of chest X-ray in adults with community-acquired pneumonia. Braz J Infect Dis. 2011;15(6). doi:10.1016/s1413-8670(11)70248-3.",Reading and interpretation of chest X-ray in adults with community-acquired pneumonia,Braz J Infect Dis,2011,15,6,,10.1016/s1413-8670(11)70248-3,,Moncada DC; Rueda ZV; Macías A; Suárez T; Ortega H; Vélez LA
10,"De Groot PM, Carter BW, Abbott GF, Wu CC. Pitfalls in chest radiographic interpretation: blind spots. Semin Roentgenol. 2015;50(3). doi:10.1053/j.ro.2015.01.008.",Pitfalls in chest radiographic interpretation: blind spots,Semin Roentgenol,2015,50,3,,10.1053/j.ro.2015.01.008,,De Groot PM; Carter BW; Abbott GF; Wu CC
11,"Husain LF, Hagopian L, Wayman D, Baker WE, Carmody KA. Sonographic diagnosis of pneumothorax. J Emerg Trauma Shock. 2012;5(1). doi:10.4103/0974-2700.93116.",Sonographic diagnosis of pneumothorax,J Emerg Trauma Shock,2012,5,1,,10.4103/0974-2700.93116,,Husain LF; Hagopian L; Wayman D; Baker WE; Carmody KA
