#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Li J, Scott JB, Fink JB, Reed B, Roca O, Dhand R. Optimizing high-flow nasal cannula flow settings in adult hypoxemic patients based on peak inspiratory flow during tidal breathing. Ann Intensive Care. 2021;11:164.",Optimizing high-flow nasal cannula flow settings in adult hypoxemic patients based on peak inspiratory flow during tidal breathing,Ann Intensive Care,2021,11,,164,,,Li J; Scott JB; Fink JB; Reed B; Roca O; Dhand R
2,"Ritchie JE, Williams AB, Gerard C, Hockey H. Evaluation of a humidified nasal high-flow oxygen system, using oxygraphy, capnography and measurement of upper airway pressures. Anaesth Intensive Care. 2011;39.","Evaluation of a humidified nasal high-flow oxygen system, using oxygraphy, capnography and measurement of upper airway pressures",Anaesth Intensive Care,2011,39,,,,,Ritchie JE; Williams AB; Gerard C; Hockey H
3,"Roca O, Li J, Mauri T. High-flow nasal cannula: evolving practices and novel clinical and physiological insights. Intensive Care Med. 2024;50.",High-flow nasal cannula: evolving practices and novel clinical and physiological insights,Intensive Care Med,2024,50,,,,,Roca O; Li J; Mauri T
4,"Lin Y, Zhang X, Li L, Wei M, Zhao B, Wang X. High-flow nasal cannula oxygen therapy and hypoxia during gastroscopy with propofol sedation: a randomized multicenter clinical trial. Gastrointest Endosc. 2019;90.",High-flow nasal cannula oxygen therapy and hypoxia during gastroscopy with propofol sedation: a randomized multicenter clinical trial,Gastrointest Endosc,2019,90,,,,,Lin Y; Zhang X; Li L; Wei M; Zhao B; Wang X
5,"Kim SH, Bang S, Lee KY, Park SW, Park JY, Lee HS. Comparison of high flow nasal oxygen and conventional nasal cannula during gastrointestinal endoscopic sedation in the prone position: a randomized trial. Can J Anaesth. 2021;68.",Comparison of high flow nasal oxygen and conventional nasal cannula during gastrointestinal endoscopic sedation in the prone position: a randomized trial,Can J Anaesth,2021,68,,,,,Kim SH; Bang S; Lee KY; Park SW; Park JY; Lee HS
6,"Lee S, Choi JW, Chung IS, Kim DK, Sim WS, Kim TJ. Comparison of high-flow nasal cannula and conventional nasal cannula during sedation for endoscopic submucosal dissection: a retrospective study. Therap Adv Gastroenterol. 2023;16:17562848231189957.",Comparison of high-flow nasal cannula and conventional nasal cannula during sedation for endoscopic submucosal dissection: a retrospective study,Therap Adv Gastroenterol,2023,16,,17562848231189957,,,Lee S; Choi JW; Chung IS; Kim DK; Sim WS; Kim TJ
7,"Nay MA, Fromont L, Marcueyz EA, Mfam JL, Baert WS, O. High-flow nasal oxygenation or standard oxygenation for gastrointestinal endoscopy with sedation in patients at risk of hypoxaemia: a multicentre randomised controlled trial (ODEPHI trial). Br J Anaesth. 2021;127.",High-flow nasal oxygenation or standard oxygenation for gastrointestinal endoscopy with sedation in patients at risk of hypoxaemia: a multicentre randomised controlled trial (ODEPHI trial),Br J Anaesth,2021,127,,,,,Nay MA; Fromont L; Marcueyz EA; Mfam JL; Baert WS; O
8,"Zhang W, Wang JL, Fu S, Zhou JM, Zhu YJ, Cai SN. Incidence of oxygen desaturation using a high-flow nasal cannula versus a facemask during flexible bronchoscopy in patients at risk of hypoxemia: a randomised controlled trial. BMC Pulm Med. 2022;22:389.",Incidence of oxygen desaturation using a high-flow nasal cannula versus a facemask during flexible bronchoscopy in patients at risk of hypoxemia: a randomised controlled trial,BMC Pulm Med,2022,22,,389,,,Zhang W; Wang JL; Fu S; Zhou JM; Zhu YJ; Cai SN
9,"Saksitthichok B, Petnak T, So-Ngern A, Boonsarngsuk V. A prospective randomized comparative study of high-flow nasal cannula oxygen and non-invasive ventilation in hypoxemic patients undergoing diagnostic flexible bronchoscopy. J Thorac Dis. 2019;11.",A prospective randomized comparative study of high-flow nasal cannula oxygen and non-invasive ventilation in hypoxemic patients undergoing diagnostic flexible bronchoscopy,J Thorac Dis,2019,11,,,,,Saksitthichok B; Petnak T; So-Ngern A; Boonsarngsuk V
10,"Douglas N, Ng I, Nazeem F, Lee K, Mezzavia P, Krieser R. A randomised controlled trial comparing high-flow nasal oxygen with standard management for conscious sedation during bronchoscopy. Anaesthesia. 2018;73.",A randomised controlled trial comparing high-flow nasal oxygen with standard management for conscious sedation during bronchoscopy,Anaesthesia,2018,73,,,,,Douglas N; Ng I; Nazeem F; Lee K; Mezzavia P; Krieser R
