#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Brasel KJ, Lindeman B, Jones A. Implementation of entrustable professional activities in general surgery: results of a national pilot study. Ann Surg. 2023;278.",Implementation of entrustable professional activities in general surgery: results of a national pilot study,Ann Surg,2023,278,,,,,Brasel KJ; Lindeman B; Jones A
2,"Lindeman B, Brasel K, Minter RM. A phased approach: the general surgery experience adopting entrustable professional activities in the United States. Acad Med. 2021;96.",A phased approach: the general surgery experience adopting entrustable professional activities in the United States,Acad Med,2021,96,,,,,Lindeman B; Brasel K; Minter RM
3,"Montgomery KB, Mellinger JD, Lindeman B. Entrustable professional activities in surgery: a review. JAMA Surg. 2024;159.",Entrustable professional activities in surgery: a review,JAMA Surg,2024,159,,,,,Montgomery KB; Mellinger JD; Lindeman B
4,"Urbina J, Monks SM. Validating assessment tools in simulation. Validating assessment tools in simulation. 2024;None.",Validating assessment tools in simulation,Validating assessment tools in simulation,2024,,,,,,Urbina J; Monks SM
5,"Jelovsek JE, Kow N, Diwadkar GB. Tools for the direct observation and assessment of psychomotor skills in medical trainees: a systematic review. Med Educ. 2013;47.",Tools for the direct observation and assessment of psychomotor skills in medical trainees: a systematic review,Med Educ,2013,47,,,,,Jelovsek JE; Kow N; Diwadkar GB
6,Messick S. Validity of psychological assessment: validation of inferences from person's responses and performances as scientific inquiry into score meaning. Am Psychol. 1995;50.,Validity of psychological assessment: validation of inferences from person's responses and performances as scientific inquiry into score meaning,Am Psychol,1995,50,,,,,Messick S
7,Downing SM. Validity: on meaningful interpretation of assessment data. Med Educ. 2003;37.,Validity: on meaningful interpretation of assessment data,Med Educ,2003,37,,,,,Downing SM
8,"Ilgen JS, Ma IW, Hatala R, Cook DA. A systematic review of validity evidence for checklists versus global rating scales in simulation-based assessment. Med Educ. 2015;49.",A systematic review of validity evidence for checklists versus global rating scales in simulation-based assessment,Med Educ,2015,49,,,,,Ilgen JS; Ma IW; Hatala R; Cook DA
9,"Downing SM, Tekian A, Yudkowsky R. Procedures for establishing defensible absolute passing scores on performance examinations in health professions education. Teach Learn Med. 2006;18.",Procedures for establishing defensible absolute passing scores on performance examinations in health professions education,Teach Learn Med,2006,18,,,,,Downing SM; Tekian A; Yudkowsky R
10,"Yudkowsky R, Downing SM. Assessment in health professions education. Assessment in health professions education. 2020;None.",Assessment in health professions education,Assessment in health professions education,2020,,,,,,Yudkowsky R; Downing SM
11,"Nelson DR, Hunderfund AL, Mullon JJ. Learning curves in electromagnetic navigational bronchoscopy: what do they tell us?. ATS Sch. 2022;3.",Learning curves in electromagnetic navigational bronchoscopy: what do they tell us?,ATS Sch,2022,3,,,,,Nelson DR; Hunderfund AL; Mullon JJ
12,"Kennedy CC, Maldonado F, Cook DA. Simulation-based bronchoscopy training: systematic review and meta-analysis. Chest. 2013;144.",Simulation-based bronchoscopy training: systematic review and meta-analysis,Chest,2013,144,,,,,Kennedy CC; Maldonado F; Cook DA
13,"Wahidi MM, Silvestri GA, Coakley RD. A prospective multicenter study of competency metrics and educational interventions in the learning of bronchoscopy among new pulmonary fellows. Chest. 2010;137.",A prospective multicenter study of competency metrics and educational interventions in the learning of bronchoscopy among new pulmonary fellows,Chest,2010,137,,,,,Wahidi MM; Silvestri GA; Coakley RD
14,"Stather DR, Maceachern P, Chee A. Trainee impact on procedural complications: an analysis of 967 consecutive flexible bronchoscopy procedures in an interventional pulmonology practice. Respiration. 2013;85.",Trainee impact on procedural complications: an analysis of 967 consecutive flexible bronchoscopy procedures in an interventional pulmonology practice,Respiration,2013,85,,,,,Stather DR; Maceachern P; Chee A
15,"Davoudi M, Osann K, Colt HG. Validation of two instruments to assess technical bronchoscopic skill using virtual reality simulation. Respiration. 2008;76.",Validation of two instruments to assess technical bronchoscopic skill using virtual reality simulation,Respiration,2008,76,,,,,Davoudi M; Osann K; Colt HG
16,"Konge L, Larsen KR, Clementsen P. Reliable and valid assessment of clinical bronchoscopy performance. Respiration. 2012;83.",Reliable and valid assessment of clinical bronchoscopy performance,Respiration,2012,83,,,,,Konge L; Larsen KR; Clementsen P
17,"Voduc N, Dudek N, Parker CM. Development and validation of a Bronchoscopy Competence Assessment Tool in a clinical setting. Ann Am Thorac Soc. 2016;13.",Development and validation of a Bronchoscopy Competence Assessment Tool in a clinical setting,Ann Am Thorac Soc,2016,13,,,,,Voduc N; Dudek N; Parker CM
18,"Voduc N, Adamson R, Kashgari A. Development of learning curves for bronchoscopy: results of a multicenter study of pulmonary trainees. Chest. 2020;158.",Development of learning curves for bronchoscopy: results of a multicenter study of pulmonary trainees,Chest,2020,158,,,,,Voduc N; Adamson R; Kashgari A
19,"Siow WT, Tan GL, Loo CM. Impact of structured curriculum with simulation on bronchoscopy. Respirology. 2021;26.",Impact of structured curriculum with simulation on bronchoscopy,Respirology,2021,26,,,,,Siow WT; Tan GL; Loo CM
20,"Nielsen AO, Cold KM, Vamadevan A. Systematic endobronchial ultrasound -the six landmarks approach. J Vis Exp. 2023;None. doi:10.3791/65551.",Systematic endobronchial ultrasound -the six landmarks approach,J Vis Exp,2023,,,,10.3791/65551,,Nielsen AO; Cold KM; Vamadevan A
21,"Davoudi M, Colt HG, Osann KE. Endobronchial ultrasound skills and tasks assessment tool: assessing the validity evidence for a test of endobronchial ultrasound-guided transbronchial needle aspiration operator skill. Am J Respir Crit Care Med. 2012;186.",Endobronchial ultrasound skills and tasks assessment tool: assessing the validity evidence for a test of endobronchial ultrasound-guided transbronchial needle aspiration operator skill,Am J Respir Crit Care Med,2012,186,,,,,Davoudi M; Colt HG; Osann KE
22,"Konge L, Clementsen PF, Ringsted C. Simulator training for endobronchial ultrasound: a randomised controlled trial. Eur Respir J. 2015;46.",Simulator training for endobronchial ultrasound: a randomised controlled trial,Eur Respir J,2015,46,,,,,Konge L; Clementsen PF; Ringsted C
23,"Ahmad Y, Domaleski L, Kosciuk P. A novel simulator for teaching endobronchial ultrasound-guided needle biopsy. J Bronchology Interv Pulmonol. 2023;30.",A novel simulator for teaching endobronchial ultrasound-guided needle biopsy,J Bronchology Interv Pulmonol,2023,30,,,,,Ahmad Y; Domaleski L; Kosciuk P
