#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Celli BR. Update on the management of COPD. Chest. 2008;133(6).,Update on the management of COPD,Chest,2008,133,6,,,,Celli BR
2,"Ofi R D, Laveneziana P, Webb KA, Lam YM, De O. fi Mechanisms of dyspnea during cycle exercise in symptomatic patients with GOLD stage I chronic obstructive pulmonary disease. Am J Respir Crit Care Med. 2008;177(6).",fi Mechanisms of dyspnea during cycle exercise in symptomatic patients with GOLD stage I chronic obstructive pulmonary disease,Am J Respir Crit Care Med,2008,177,6,,,,Ofi R D; Laveneziana P; Webb KA; Lam YM; De O
3,"O'donnell DE, Revill SM, Webb KA. Dynamic hyperinflation and exercise intolerance in chronic obstructive pul-fl monary disease. Am J Respir Crit Care Med. 2001;164(5).",Dynamic hyperinflation and exercise intolerance in chronic obstructive pul-fl monary disease,Am J Respir Crit Care Med,2001,164,5,,,,O'donnell DE; Revill SM; Webb KA
4,"Cooper JD, Patterson GA, Sundaresan RS. Results of 150 consecutive bilateral lung volume reduction procedures in patients with severe emphysema. J Thorac Cardiovasc Surg. 1996;112(5).",Results of 150 consecutive bilateral lung volume reduction procedures in patients with severe emphysema,J Thorac Cardiovasc Surg,1996,112,5,,,,Cooper JD; Patterson GA; Sundaresan RS
5,"Sciurba FC, Rogers RM, Keenan RJ. Improvement in pulmonary function and elastic recoil after lung-reduction surgery for diffuse emphysema. N Engl J Med. None;334(17).",Improvement in pulmonary function and elastic recoil after lung-reduction surgery for diffuse emphysema,N Engl J Med,,334,17,,,,Sciurba FC; Rogers RM; Keenan RJ
6,"Criner GJ, Cordova FC, Furukawa S. Prospective randomized trial comparing bilateral lung volume reduction surgery to pulmonary rehabilitation in severe chronic obstructive pulmonary disease. Am J Respir Crit Care Med. 1999;160(6):2018.",Prospective randomized trial comparing bilateral lung volume reduction surgery to pulmonary rehabilitation in severe chronic obstructive pulmonary disease,Am J Respir Crit Care Med,1999,160,6,2018,,,Criner GJ; Cordova FC; Furukawa S
7,"Fishman A, Martinez F, Naunheim K. National Emphysema Treatment Trial Research Group . A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348(21).",National Emphysema Treatment Trial Research Group . A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,21,,,,Fishman A; Martinez F; Naunheim K
8,"Sciurba FC, Ernst A, Herth FJ. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363(13).",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,13,,,,Sciurba FC; Ernst A; Herth FJ
9,"Toma TP, Hopkinson NS, Hillier J. Bronchoscopic volume reduction with valve implants in patients with severe emphysema. Lancet. 2003;361.",Bronchoscopic volume reduction with valve implants in patients with severe emphysema,Lancet,2003,361,,,,,Toma TP; Hopkinson NS; Hillier J
10,"Sterman DH, Mehta AC, Wood DE. A multicenter pilot study of a bronchial valve for the treatment of severe emphysema. Respiration. 2010;79(3).",A multicenter pilot study of a bronchial valve for the treatment of severe emphysema,Respiration,2010,79,3,,,,Sterman DH; Mehta AC; Wood DE
11,"Springmeyer SC, Bolliger CT, Waddell TK et al.. Treatment of heterogeneous emphysema using the spiration IBV valves. Thorac Surg Clin. 2009;19(2).",Treatment of heterogeneous emphysema using the spiration IBV valves,Thorac Surg Clin,2009,19,2,,,,Springmeyer SC; Bolliger CT; Waddell TK; Gonzalez X; Wood D; Valve P; Trials R; Teams
12,"Wan IY, Toma TP, Geddes DM. Bronchoscopic lung volume reduction for end-stage emphysema: report on the first 98 patients. fi Chest. 2006;129(3).",Bronchoscopic lung volume reduction for end-stage emphysema: report on the first 98 patients,fi Chest,2006,129,3,,,,Wan IY; Toma TP; Geddes DM
13,"Wood DE, Mckenna RJ, Jr, Yusen RD. A multicenter trial of an intrabronchial valve for treatment of severe emphysema. J Thorac Cardiovasc Surg. 2007;133(1).",A multicenter trial of an intrabronchial valve for treatment of severe emphysema,J Thorac Cardiovasc Surg,2007,133,1,,,,Wood DE; Mckenna RJ; Jr; Yusen RD
14,"Thurnheer R, Engel H, Weder W. Role of lung perfusion scintigraphy in relation to chest computed tomography and pulmonary function in the evaluation of candidates for lung volume reduction surgery. Am J Respir Crit Care Med. 1999;159(1).",Role of lung perfusion scintigraphy in relation to chest computed tomography and pulmonary function in the evaluation of candidates for lung volume reduction surgery,Am J Respir Crit Care Med,1999,159,1,,,,Thurnheer R; Engel H; Weder W
15,"Heussel CP, Achenbach T, Buschsieweke C. Quantifica-fi tion of pulmonary emphysema in multislice-CT using different software tools. Rofo. 2006;178(10).",Quantifica-fi tion of pulmonary emphysema in multislice-CT using different software tools,Rofo,2006,178,10,,,,Heussel CP; Achenbach T; Buschsieweke C
16,"Mahler DA, Wells CK. Evaluation of clinical methods for rating dyspnea. Chest. 1988;93(3).",Evaluation of clinical methods for rating dyspnea,Chest,1988,93,3,,,,Mahler DA; Wells CK
17,"Jones PW, Quirk FH, Baveystock CM, Littlejohns P. A selfcomplete measure of health status for chronic airflow lim-fl itation. The St. George's Respiratory Questionnaire. Am Rev Respir Dis. 1992;145(6).",A selfcomplete measure of health status for chronic airflow lim-fl itation. The St. George's Respiratory Questionnaire,Am Rev Respir Dis,1992,145,6,,,,Jones PW; Quirk FH; Baveystock CM; Littlejohns P
18,"Celli BR, Cote CG, Marin JM. The body-mass index, airfl ow obstruction, dyspnea, and exercise capacity index in fl chronic obstructive pulmonary. N Engl J Med. 2004;350(10).","The body-mass index, airfl ow obstruction, dyspnea, and exercise capacity index in fl chronic obstructive pulmonary",N Engl J Med,2004,350,10,,,,Celli BR; Cote CG; Marin JM
19,"Puhan MA, Garcia-Aymerich J, Frey M. Expansion of the prognostic assessment of patients with chronic obstructive pulmonary disease: the updated BODE index and the ADO index. Lancet. 2009;374.",Expansion of the prognostic assessment of patients with chronic obstructive pulmonary disease: the updated BODE index and the ADO index,Lancet,2009,374,,,,,Puhan MA; Garcia-Aymerich J; Frey M
20,"Coxson HO, Fauerbach N, Storness-Bliss PV, C. Computed tomography assessment of lung volume changes after bronchial valve treatment. Eur Respir J. 2008;32(6).",Computed tomography assessment of lung volume changes after bronchial valve treatment,Eur Respir J,2008,32,6,,,,Coxson HO; Fauerbach N; Storness-Bliss PV; C
21,"Redelmeier DA, Bayoumi AM, Goldstein RS, Guyatt GH. Interpreting small differences in functional status: the Six Minute Walk test in chronic lung disease patients. Am J Respir Crit Care Med. 1997;155(4).",Interpreting small differences in functional status: the Six Minute Walk test in chronic lung disease patients,Am J Respir Crit Care Med,1997,155,4,,,,Redelmeier DA; Bayoumi AM; Goldstein RS; Guyatt GH
22,"Bourdin A, Burgel PR, Chanez P, Garcia G, Perez T, Roche N. Recent advances in COPD: pathophysiology, respiratory physiology and clinical aspects, including comorbidities. Eur Respir Rev. 2009;18(114).","Recent advances in COPD: pathophysiology, respiratory physiology and clinical aspects, including comorbidities",Eur Respir Rev,2009,18,114,,,,Bourdin A; Burgel PR; Chanez P; Garcia G; Perez T; Roche N
23,"Puhan MA, Chandra D, Mosenifar Z. National Emphysema Treatment Trial (NETT) Research Group . The minimal important difference of exercise tests in severe COPD. Eur Respir J. 2011;37(4).",National Emphysema Treatment Trial (NETT) Research Group . The minimal important difference of exercise tests in severe COPD,Eur Respir J,2011,37,4,,,,Puhan MA; Chandra D; Mosenifar Z
24,"Hopkinson NS, Kemp SV, Toma TP. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur Respir J. 2011;37(6).",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur Respir J,2011,37,6,,,,Hopkinson NS; Kemp SV; Toma TP
25,"Herth FJ, Eberhard R, Gompelmann D, Slebos DJ, Ernst A. Bronchoscopic lung volume reduction with a dedicated coil: a clinical pilot study. Ther Adv Respir Dis. 2010;4(4).",Bronchoscopic lung volume reduction with a dedicated coil: a clinical pilot study,Ther Adv Respir Dis,2010,4,4,,,,Herth FJ; Eberhard R; Gompelmann D; Slebos DJ; Ernst A
26,"Herth FJ, Gompelmann D, Stanzel F. Treatment of advanced emphysema with emphysematous lung sealant (AeriSeal®). Respiration. 2011;82(1).",Treatment of advanced emphysema with emphysematous lung sealant (AeriSeal®),Respiration,2011,82,1,,,,Herth FJ; Gompelmann D; Stanzel F
27,"Gompelmann D, Eberhardt R, Michaud G, Ernst A, Herth FJ. Predicting atelectasis by assessment of collateral ventilation prior to endobronchial lung volume reduction: a feasibility study. Respiration. 2010;80(5).",Predicting atelectasis by assessment of collateral ventilation prior to endobronchial lung volume reduction: a feasibility study,Respiration,2010,80,5,,,,Gompelmann D; Eberhardt R; Michaud G; Ernst A; Herth FJ
