#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Simoff M, Ost D, Goldman Y, Herth FJ. Prospective risk-adjusted morbidity and mortality outcome analysis aft er therapeutic bronchoscopic procedures: results of a multi-institutional outcomes database. Chest. 2008;134(3).",Prospective risk-adjusted morbidity and mortality outcome analysis aft er therapeutic bronchoscopic procedures: results of a multi-institutional outcomes database,Chest,2008,134,3,,,,Ernst A; Simoff M; Ost D; Goldman Y; Herth FJ
2,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169(12).",Central airway obstruction,Am J Respir Crit Care Med,2004,169,12,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
3,"Casal RF, Iribarren J, Eapen G. Safety and eff ectiveness of microdebrider bronchoscopy for the management of central airway obstruction. Respirology. 2013;18(6).",Safety and eff ectiveness of microdebrider bronchoscopy for the management of central airway obstruction,Respirology,2013,18,6,,,,Casal RF; Iribarren J; Eapen G
4,"Chung FT, Chen HC, Chou CL. An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study. J Cardiothorac Surg. 2011;6:46.",An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study,J Cardiothorac Surg,2011,6,,46,,,Chung FT; Chen HC; Chou CL
5,"Husain SA, Finch D, Ahmed M, Morgan A, Hetzel MR. Long-term follow-up of ultrafl ex metallic stents in benign and malignant central airway obstruction. Ann Th orac Surg. 2007;83(4).",Long-term follow-up of ultrafl ex metallic stents in benign and malignant central airway obstruction,Ann Th orac Surg,2007,83,4,,,,Husain SA; Finch D; Ahmed M; Morgan A; Hetzel MR
6,"Saad CP, Murthy S, Krizmanich G, Mehta AC. Self-expandable metallic airway stents and fl exible bronchoscopy: long-term outcomes analysis. Chest. 2003;124(5).",Self-expandable metallic airway stents and fl exible bronchoscopy: long-term outcomes analysis,Chest,2003,124,5,,,,Saad CP; Murthy S; Krizmanich G; Mehta AC
7,"Lin SM, Lin TY, Chou CL. Metallic stent and fl exible bronchoscopy without fl uoroscopy for acute respiratory failure. Eur Respir J. 2008;31(5).",Metallic stent and fl exible bronchoscopy without fl uoroscopy for acute respiratory failure,Eur Respir J,2008,31,5,,,,Lin SM; Lin TY; Chou CL
8,"Madden BP, Datta S, Charokopos N. Experience with Ultrafl ex expandable metallic stents in the management of endobronchial pathology. Ann Th orac Surg. 2002;73(3).",Experience with Ultrafl ex expandable metallic stents in the management of endobronchial pathology,Ann Th orac Surg,2002,73,3,,,,Madden BP; Datta S; Charokopos N
9,"Dasgupta A, Dolmatch BL, Abi-Saleh WJ, Mathur PN, Mehta AC. Self-expandable metallic airway stent insertion employing fl exible bronchoscopy: preliminary results. Chest. 1998;114(1).",Self-expandable metallic airway stent insertion employing fl exible bronchoscopy: preliminary results,Chest,1998,114,1,,,,Dasgupta A; Dolmatch BL; Abi-Saleh WJ; Mathur PN; Mehta AC
10,"Sasano S, Onuki T, Adachi T. Nitinol stent for the treatment of tracheobronchial stenosis. Jpn J Th orac Cardiovasc Surg. 2001;49(5).",Nitinol stent for the treatment of tracheobronchial stenosis,Jpn J Th orac Cardiovasc Surg,2001,49,5,,,,Sasano S; Onuki T; Adachi T
