#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Hippocrates. The Genuine Works of Hippocrates. The Genuine Works of Hippocrates. None;None.,The Genuine Works of Hippocrates,The Genuine Works of Hippocrates,,,,,,,Hippocrates
2, Sydenham Society. Sydenham Society. 1849;None.,Sydenham Society,Sydenham Society,1849,,,,,,
3,Williams W. Treatment of empyema by a valvular tube hermetically sealed to the chest. Br Med J. 1889;1(1481). doi:10.1136/bmj.1.1481.1107.,Treatment of empyema by a valvular tube hermetically sealed to the chest,Br Med J,1889,1,1481,,10.1136/bmj.1.1481.1107,,Williams W
4,Lilienthal H. Resection of the lung for suppurative infections with a report based on 31 operative cases in which resection was done or Chest Tube Management Review Clinical Review & Education jamasurgery.com. JAMA Surgery. 1922;157(3). doi:10.1097/00000658-192203000-00001.,Resection of the lung for suppurative infections with a report based on 31 operative cases in which resection was done or Chest Tube Management Review Clinical Review & Education jamasurgery.com,JAMA Surgery,1922,157,3,,10.1097/00000658-192203000-00001,,Lilienthal H
5,"Monaghan SF, Swan KG. Tube thoracostomy: the struggle to the ""standard of care. Ann Thorac Surg. 2008;86(6). doi:10.1016/j.athoracsur.2008.08.006.","Tube thoracostomy: the struggle to the ""standard of care",Ann Thorac Surg,2008,86,6,,10.1016/j.athoracsur.2008.08.006,,Monaghan SF; Swan KG
6,"Chang S, Kang Y, Chiu H, Chiu Y. A systematic review and meta-analysis comparing pigtail catheter and chest tube as the initial treatment for pneumothorax. Chest. 2018;153(5). doi:10.1016/j.chest.2018.01.048.",A systematic review and meta-analysis comparing pigtail catheter and chest tube as the initial treatment for pneumothorax,Chest,2018,153,5,,10.1016/j.chest.2018.01.048,,Chang S; Kang Y; Chiu H; Chiu Y
7,"Graham EA, Bell RD. Open pneumothorax: its relation to the treatment of empyema. Am J Med Sci. 1918;156(6). doi:10.1097/00000441-191812000-00007.",Open pneumothorax: its relation to the treatment of empyema,Am J Med Sci,1918,156,6,,10.1097/00000441-191812000-00007,,Graham EA; Bell RD
8,"Macduff A, Arnold A, Harvey J. Management of spontaneous pneumothorax: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65(suppl 2). doi:10.1136/thx.2010.136986.",Management of spontaneous pneumothorax: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,suppl 2,,10.1136/thx.2010.136986,,Macduff A; Arnold A; Harvey J
9,"Wolcott MW, Shaver WA, Jennings WD. Spontaneous pneumothorax. Management by tube thoracostomy and suction. Dis Chest. 1963;43(1). doi:10.1378/chest.43.1.78.",Spontaneous pneumothorax. Management by tube thoracostomy and suction,Dis Chest,1963,43,1,,10.1378/chest.43.1.78,,Wolcott MW; Shaver WA; Jennings WD
10,"Feenstra TM, Dickhoff C, Deunk J. Systematic review and meta-analysis of tube thoracostomy following traumatic chest injury; suction versus water seal. Eur J Trauma Emerg Surg. 2018;44(6). doi:10.1007/s00068-018-0942-7.",Systematic review and meta-analysis of tube thoracostomy following traumatic chest injury; suction versus water seal,Eur J Trauma Emerg Surg,2018,44,6,,10.1007/s00068-018-0942-7,,Feenstra TM; Dickhoff C; Deunk J
