#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Memoli W, Nietert JS, Silvestri PJ, GA. Metaanalysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Metaanalysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Memoli W; Nietert JS; Silvestri PJ; GA
2,"Tanner NT, Yarmus L, Chen A. Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: A multicenter, prospective, randomized trial. Chest. 2018;154.","Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: A multicenter, prospective, randomized trial",Chest,2018,154,,,,,Tanner NT; Yarmus L; Chen A
3,"Zuñiga S, Vakil PV, Molina E, S. Sensitivity of radial endobronchial ultrasound-guided bronchoscopy for lung cancer in patients with peripheral pulmonary lesions: An Updated Meta-analysis. Chest. 2020;157.",Sensitivity of radial endobronchial ultrasound-guided bronchoscopy for lung cancer in patients with peripheral pulmonary lesions: An Updated Meta-analysis,Chest,2020,157,,,,,Zuñiga S; Vakil PV; Molina E; S
4,"Khandhar SJ, Bowling MR, Flandes J. Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study. BMC Pulm Med. 2017;17:59.","Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study",BMC Pulm Med,2017,17,,59,,,Khandhar SJ; Bowling MR; Flandes J
5,"Chaddha U, Kovacs SP, Manley C. Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience. BMC Pulm Med. 2019;19:243.",Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience,BMC Pulm Med,2019,19,,243,,,Chaddha U; Kovacs SP; Manley C
6,"Casal RF, Sarkiss M, Jones AK. Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study. J Thorac Dis. 2018;10.",Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study,J Thorac Dis,2018,10,,,,,Casal RF; Sarkiss M; Jones AK
7,"Hohenforst-Schmidt W, Zarogoulidis P, Vogl T. Cone beam computertomography (CBCT) in interventional chest medicine -High feasibility for endobronchial realtime navigation. J Cancer. 2014;5.",Cone beam computertomography (CBCT) in interventional chest medicine -High feasibility for endobronchial realtime navigation,J Cancer,2014,5,,,,,Hohenforst-Schmidt W; Zarogoulidis P; Vogl T
8,"Bowling MR, Brown C, Anciano CJ. Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass. Ann Thorac Surg. 2017;104.",Feasibility and safety of the transbronchial access tool for peripheral pulmonary nodule and mass,Ann Thorac Surg,2017,104,,,,,Bowling MR; Brown C; Anciano CJ
9,"Ng C, Yu S, Lau R. Hybrid DynaCTguided electromagnetic navigational bronchoscopic biopsy. Eur J Cardiothorac Surg. 2016;49.",Hybrid DynaCTguided electromagnetic navigational bronchoscopic biopsy,Eur J Cardiothorac Surg,2016,49,,,,,Ng C; Yu S; Lau R
10,"Park SC, Kim CJ, Han CH. Factors associated with the diagnostic yield of computed tomography-guided transbronchial lung biopsy. Thoracic Cancer. 2017;8.",Factors associated with the diagnostic yield of computed tomography-guided transbronchial lung biopsy,Thoracic Cancer,2017,8,,,,,Park SC; Kim CJ; Han CH
11,"Pritchett MA, Schampaert S, De Groot J. Conebeam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules. J Bronchology Interv Pulmonol. 2018;25.",Conebeam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules,J Bronchology Interv Pulmonol,2018,25,,,,,Pritchett MA; Schampaert S; De Groot J
12,Casal RF. Cone beam CT-guided bronchoscopy. J Bronchology Interv Pulmonol. 2018;25.,Cone beam CT-guided bronchoscopy,J Bronchology Interv Pulmonol,2018,25,,,,,Casal RF
13,"Sabath BF, Casal RF. Bronchoscopic ablation of peripheral lung tumors. J Thorac Dis. 2019;11.",Bronchoscopic ablation of peripheral lung tumors,J Thorac Dis,2019,11,,,,,Sabath BF; Casal RF
14,"Orth RC, Wallace MJ, Kuo MD. C-arm cone-beam CT: General principles and technical considerations for use in interventional radiology. J Vasc Interv Radiol. 2008;19.",C-arm cone-beam CT: General principles and technical considerations for use in interventional radiology,J Vasc Interv Radiol,2008,19,,,,,Orth RC; Wallace MJ; Kuo MD
15,"Glatz AC, Zhu X, Gillespie MJ. Use of angiographic CT imaging in the cardiac catheterization lab for congenital heart disease. JACC Cardiovasc Imaging. 2010;3.",Use of angiographic CT imaging in the cardiac catheterization lab for congenital heart disease,JACC Cardiovasc Imaging,2010,3,,,,,Glatz AC; Zhu X; Gillespie MJ
16,"Gill RR, Zheng Y, Barlow JS. Image-guided video assisted thorascopic surgery (iVATS) -phase I-II clinical trial. J Surg Oncol. 2015;112.",Image-guided video assisted thorascopic surgery (iVATS) -phase I-II clinical trial,J Surg Oncol,2015,112,,,,,Gill RR; Zheng Y; Barlow JS
17,"Ng C, Chu CM, Kwok M. Hybrid DynaCT scan-guided localization single-port lobectomy. Chest. 2015;147.",Hybrid DynaCT scan-guided localization single-port lobectomy,Chest,2015,147,,,,,Ng C; Chu CM; Kwok M
18,"Scarfe WC, Farman AG. What is cone-beam CT and how does it work?. Dent Clin N Am. 2008;52.",What is cone-beam CT and how does it work?,Dent Clin N Am,2008,52,,,,,Scarfe WC; Farman AG
19,"Schultz FW, Zoetelief J. Dose conversion coeffecients for interventional procedures. Radiat Prot Dosimetry. 2005;117.",Dose conversion coeffecients for interventional procedures,Radiat Prot Dosimetry,2005,117,,,,,Schultz FW; Zoetelief J
20,"Hohenforst-Schmidt W, Banckwitz R, Zarogoulidis P. Radiation exposure of patients by cone beam CT during endobronchial navigation -A phantom study. J Cancer. 2014;5.",Radiation exposure of patients by cone beam CT during endobronchial navigation -A phantom study,J Cancer,2014,5,,,,,Hohenforst-Schmidt W; Banckwitz R; Zarogoulidis P
21,"Choi JW, Park CM, Goo JM. C-arm cone-beam CT-guided percutaneous transthoracic needle biopsy of small (≤ 20 mm) lung nodules: diagnostic accuracy and complications in 161 patients. AJR Am J Roentgenol. 2012;199.",C-arm cone-beam CT-guided percutaneous transthoracic needle biopsy of small (≤ 20 mm) lung nodules: diagnostic accuracy and complications in 161 patients,AJR Am J Roentgenol,2012,199,,,,,Choi JW; Park CM; Goo JM
22,"Choo JY, Park CM, Lee, Nk. Percutaneous transthoracic needle biopsy of small (≤1 cm) lung nodules under C-arm cone-beam CT virtual navigation guidance. Eur Radiol. 2013;23.",Percutaneous transthoracic needle biopsy of small (≤1 cm) lung nodules under C-arm cone-beam CT virtual navigation guidance,Eur Radiol,2013,23,,,,,Choo JY; Park CM; Lee; Nk
23,"Larke FJ, Kruger RL, Cagnon CH. Estimated radiation dose associated with low-dose chest CT of average-size participants in the National Lung Screening Trial. AJR Am J Roentgenol. 2011;197.",Estimated radiation dose associated with low-dose chest CT of average-size participants in the National Lung Screening Trial,AJR Am J Roentgenol,2011,197,,,,,Larke FJ; Kruger RL; Cagnon CH
24,"Werncke T, Falck V, Luepke C, M. Collimation and image quality of c-arm computed tomography: Potential of radiation dose reduction while maintaining equal image quality. Invest Radiol. 2015;50.",Collimation and image quality of c-arm computed tomography: Potential of radiation dose reduction while maintaining equal image quality,Invest Radiol,2015,50,,,,,Werncke T; Falck V; Luepke C; M
25,"Yang SM, Yu KL, Lin JH. Cumulative experience of preoperative real-time augmented fluoroscopy-guided endobronchial dye marking for small pulmonary nodules: an analysis of 30 initial patients. J Formos Med Assoc. 2019;118.",Cumulative experience of preoperative real-time augmented fluoroscopy-guided endobronchial dye marking for small pulmonary nodules: an analysis of 30 initial patients,J Formos Med Assoc,2019,118,,,,,Yang SM; Yu KL; Lin JH
26,"Yang SM, Yu KL, Lin KH. Localization of small pulmonary nodules using augmented fluoroscopic bronchoscopy: Experience from 100 consecutive cases. World J Surg. 2020;44.",Localization of small pulmonary nodules using augmented fluoroscopic bronchoscopy: Experience from 100 consecutive cases,World J Surg,2020,44,,,,,Yang SM; Yu KL; Lin KH
27,"Pritchett MA, Bhadra K, Calcutt M. Virtual or reality: divergence between preprocedural computed tomography scans and lung anatomy during guided bronchoscopy. J Thorac Dis. 2020;12.",Virtual or reality: divergence between preprocedural computed tomography scans and lung anatomy during guided bronchoscopy,J Thorac Dis,2020,12,,,,,Pritchett MA; Bhadra K; Calcutt M
28,"Tokics L, Hedenstierna G, Strandberg A. Lung collapse and gas exchange during general anesthesia: effects of spontaneous breathing, muscle paralysis, and positive end-expiratory pressure. Anesthesiology. 1987;66.","Lung collapse and gas exchange during general anesthesia: effects of spontaneous breathing, muscle paralysis, and positive end-expiratory pressure",Anesthesiology,1987,66,,,,,Tokics L; Hedenstierna G; Strandberg A
29,"Klingstedt C, Hedenstierna G, Lundquist H. The influence of body position and differential ventilation on lung dimensions and atelectasis formation in anaesthetized man. Acta Anaesthesiol Scand. 1990;34.",The influence of body position and differential ventilation on lung dimensions and atelectasis formation in anaesthetized man,Acta Anaesthesiol Scand,1990,34,,,,,Klingstedt C; Hedenstierna G; Lundquist H
30,"Rothen HU, Sporre B, Engberg G. Prevention of atelectasis during general anaesthesia. Lancet. 1995;345.",Prevention of atelectasis during general anaesthesia,Lancet,1995,345,,,,,Rothen HU; Sporre B; Engberg G
31,"Neumann P, Rothen HU, Berglund JE. Positive endexpiratory pressure prevents atelectasis during general anaesthesia even in the presence of a high inspired oxygen concentration. Acta Anaesthesiol Scand. 1999;43.",Positive endexpiratory pressure prevents atelectasis during general anaesthesia even in the presence of a high inspired oxygen concentration,Acta Anaesthesiol Scand,1999,43,,,,,Neumann P; Rothen HU; Berglund JE
32,"Hisano H, Sakuragi T, Kakiuchi Y. Usefulness of intraoperative cone beam CT images on video-assisted thoracic surgery. Nihon Hoshasen Gijutsu Gakkai Zasshi. 2017;73.",Usefulness of intraoperative cone beam CT images on video-assisted thoracic surgery,Nihon Hoshasen Gijutsu Gakkai Zasshi,2017,73,,,,,Hisano H; Sakuragi T; Kakiuchi Y
33,"Chen A, Pastis N, Furukawa B. The effect of respiratory motion on pulmonary nodule location during electromagnetic navigation bronchoscopy. Chest. 2015;147.",The effect of respiratory motion on pulmonary nodule location during electromagnetic navigation bronchoscopy,Chest,2015,147,,,,,Chen A; Pastis N; Furukawa B
34,"Avasarala SK, Machuzak MS, Gildea TR. Multidimensional precision. Hybrid mobile 2D/3D c-arm assisted biopsy of peripheral lung nodules. J Bronchology Interv Pulmonol. 2020;27.",Multidimensional precision. Hybrid mobile 2D/3D c-arm assisted biopsy of peripheral lung nodules,J Bronchology Interv Pulmonol,2020,27,,,,,Avasarala SK; Machuzak MS; Gildea TR
35,"Alexander ES, Dupuy DE. Lung cancer ablation: Technologies and techniques. Semin Intervent Radiol. 2013;30.",Lung cancer ablation: Technologies and techniques,Semin Intervent Radiol,2013,30,,,,,Alexander ES; Dupuy DE
36,"Meram E, Longhurst C, Brace CL. Comparison of conventional and cone-beam CT for monitoring and assessing pulmonary microwave ablation in a porcine model. J Vasc Interv Radiol. 2018;29.",Comparison of conventional and cone-beam CT for monitoring and assessing pulmonary microwave ablation in a porcine model,J Vasc Interv Radiol,2018,29,,,,,Meram E; Longhurst C; Brace CL
