#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ost DE, Ernst A, Lei X, Kovitz KL, Benzaquen S, Diaz-Mendoza J. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X; Kovitz KL; Benzaquen S; Diaz-Mendoza J
2,"Khandhar SJ, Bowling MR, Flandes J, Gildea TR, Hood KL, Krimsky WS. Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study. BMC Pulm Med. 2017;17(1):59.","Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study",BMC Pulm Med,2017,17,1,59,,,Khandhar SJ; Bowling MR; Flandes J; Gildea TR; Hood KL; Krimsky WS
3,"Ali E, Takizawa H, Kawakita N, Sawada T, Tsuboi M, Toba H. Transbronchial biopsy using an ultrathin bronchoscope guided by cone-beam computed tomography and virtual bronchoscopic navigation in the diagnosis of pulmonary nodules. Respiration. 2019;98(4).",Transbronchial biopsy using an ultrathin bronchoscope guided by cone-beam computed tomography and virtual bronchoscopic navigation in the diagnosis of pulmonary nodules,Respiration,2019,98,4,,,,Ali E; Takizawa H; Kawakita N; Sawada T; Tsuboi M; Toba H
4,"Mondoni M, Sotgiu G, Bonifazi M, Dore S, Parazzini EM, Carlucci P. Transbronchial needle aspiration in peripheral pulmonary lesions: a systematic review and metaanalysis. Eur Respir J. 2016;48(1).",Transbronchial needle aspiration in peripheral pulmonary lesions: a systematic review and metaanalysis,Eur Respir J,2016,48,1,,,,Mondoni M; Sotgiu G; Bonifazi M; Dore S; Parazzini EM; Carlucci P
5,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American college of chest physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American college of chest physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Rivera MP; Mehta AC; Wahidi MM
6,"Folch EE, Bowling MR, Gildea TR, Hood KL, Murgu SD, Toloza EM. Design of a prospective, multicenter, global, cohort study of electromagnetic navigation bronchoscopy. BMC Pulm Med. 2016;16(1):60.","Design of a prospective, multicenter, global, cohort study of electromagnetic navigation bronchoscopy",BMC Pulm Med,2016,16,1,60,,,Folch EE; Bowling MR; Gildea TR; Hood KL; Murgu SD; Toloza EM
7,"Pritchett MA, Schampaert S, Groot D, Schirmer J, Van Der Bom CC, I. Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules. J Bronchology Interv Pulmonol. 2018;25(4).",Cone-beam CT with augmented fluoroscopy combined with electromagnetic navigation bronchoscopy for biopsy of pulmonary nodules,J Bronchology Interv Pulmonol,2018,25,4,,,,Pritchett MA; Schampaert S; Groot D; Schirmer J; Van Der Bom CC; I
8,"Sobieszczyk MJ, Yuan Z, Li W, Krimsky W. Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis. J Thorac Dis. 2018;10(10).",Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis,J Thorac Dis,2018,10,10,,,,Sobieszczyk MJ; Yuan Z; Li W; Krimsky W
9,"Aboudara M, Roller L, Rickman O, Lentz RJ, Pannu J, Chen H. Improved diagnostic yield for lung nodules with digital tomosynthesis-corrected navigational bronchoscopy: initial experience with a novel adjunct. Respirology. 2020;25(2).",Improved diagnostic yield for lung nodules with digital tomosynthesis-corrected navigational bronchoscopy: initial experience with a novel adjunct,Respirology,2020,25,2,,,,Aboudara M; Roller L; Rickman O; Lentz RJ; Pannu J; Chen H
10,"Casal RF, Sarkiss M, Jones AK, Stewart J, Tam A, Grosu HB. Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study. J Thorac Dis. 2018;10(12).",Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study,J Thorac Dis,2018,10,12,,,,Casal RF; Sarkiss M; Jones AK; Stewart J; Tam A; Grosu HB
