#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wheaton AG, Cunningham TJ, Ford ES et al.. Employment and activity limitations among adults with chronic obstructive pulmonary disease: United States, 2013. MMWR Morb Mortal Wkly Rep. 2015;64.","Employment and activity limitations among adults with chronic obstructive pulmonary disease: United States, 2013",MMWR Morb Mortal Wkly Rep,2015,64,,,,,Wheaton AG; Cunningham TJ; Ford ES; Croft J; For D; Control; Prevention (; Cdc)
2,"Van Agteren JE, Hnin K, Grosser D, Carson KV, Smith BJ. Bronchoscopic lung volume reduction procedures for chronic obstructive pulmonary disease. Cochrane Database Syst Rev. 2017;2:12158.",Bronchoscopic lung volume reduction procedures for chronic obstructive pulmonary disease,Cochrane Database Syst Rev,2017,2,,12158,,,Van Agteren JE; Hnin K; Grosser D; Carson KV; Smith BJ
3,"Kaplan RM, Ries AL. Health-related quality of life in emphysema. Proc Am Thorac Soc. 2008;5.",Health-related quality of life in emphysema,Proc Am Thorac Soc,2008,5,,,,,Kaplan RM; Ries AL
4,"Vogelmeier CF, Criner GJ, Martínez FJ, Anzueto A, Barnes PJ, Bourbeau J. Global strategy for the diagnosis, management, and prevention of chronic obstructive lung disease 2017 report: GOLD executive summary. Arch Bronconeumol. 2017;53.","Global strategy for the diagnosis, management, and prevention of chronic obstructive lung disease 2017 report: GOLD executive summary",Arch Bronconeumol,2017,53,,,,,Vogelmeier CF; Criner GJ; Martínez FJ; Anzueto A; Barnes PJ; Bourbeau J
5,"Qaseem A, Wilt TJ, Weinberger SE, Hanania NA, Criner G, Van Der Molen T. Diagnosis and management of stable chronic obstructive pulmonary disease: a clinical practice guideline update from the American College of Physicians, American College of Chest Physicians, American Thoracic Society, and European Respiratory Society. Ann Intern Med. 2011;155.","Diagnosis and management of stable chronic obstructive pulmonary disease: a clinical practice guideline update from the American College of Physicians, American College of Chest Physicians, American Thoracic Society, and European Respiratory Society",Ann Intern Med,2011,155,,,,,Qaseem A; Wilt TJ; Weinberger SE; Hanania NA; Criner G; Van Der Molen T
6,"Fishman A, Martinez F, Naunheim K, Piantadosi S, Wise R, Ries A. National Emphysema Treatment Trial Research Group. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",National Emphysema Treatment Trial Research Group. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A
7,"Cooper JD, Patterson GA, Sundaresan RS, Trulock EP, Yusen RD, Pohl MS. Results of 150 consecutive bilateral lung volume reduction procedures in patients with severe emphysema. J Thorac Cardiovasc Surg. 1996;112.",Results of 150 consecutive bilateral lung volume reduction procedures in patients with severe emphysema,J Thorac Cardiovasc Surg,1996,112,,,,,Cooper JD; Patterson GA; Sundaresan RS; Trulock EP; Yusen RD; Pohl MS
8,"Mckenna Rj, Brenner M, Fischel RJ, Singh N, Yoong B, Gelb AF. Patient selection criteria for lung volume reduction surgery. J Thorac Cardiovasc Surg. 1997;114.",Patient selection criteria for lung volume reduction surgery,J Thorac Cardiovasc Surg,1997,114,,,,,Mckenna Rj; Brenner M; Fischel RJ; Singh N; Yoong B; Gelb AF
9,"Ninane V, Geltner C, Bezzi M, Foccoli P, Gottlieb J, Welte T. Multicentre European study for the treatment of advanced emphysema with bronchial valves. Eur Respir J. 2012;39.",Multicentre European study for the treatment of advanced emphysema with bronchial valves,Eur Respir J,2012,39,,,,,Ninane V; Geltner C; Bezzi M; Foccoli P; Gottlieb J; Welte T
10,"Elstad MR, Mehta AC, Nader D, Rai N, Mularski RA, Sterman DH. Bronchial valve treatment of emphysema: procedure and device safety results from a double-blind randomized trial [abstract. Am J Respir Crit Care Med. 2012;185:1112.",Bronchial valve treatment of emphysema: procedure and device safety results from a double-blind randomized trial [abstract,Am J Respir Crit Care Med,2012,185,,1112,,,Elstad MR; Mehta AC; Nader D; Rai N; Mularski RA; Sterman DH
