#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Itkin M, Delegge MH, Fang JC et al.. Multidisciplinary practical guidelines for gastrointestinal access for enteral nutrition and decompression from the Society of Interventional Radiology and American Gastroenterological Association (AGA) Institute, with endorsement by Canadian Interventional Radiological Association (CIRA) and Cardiovascular and Interventional Radiological Society of Europe (CIRSE). Gastroenterology. 2011;141. doi:10.1053/j.gastro.2011.06.001.","Multidisciplinary practical guidelines for gastrointestinal access for enteral nutrition and decompression from the Society of Interventional Radiology and American Gastroenterological Association (AGA) Institute, with endorsement by Canadian Interventional Radiological Association (CIRA) and Cardiovascular and Interventional Radiological Society of Europe (CIRSE)",Gastroenterology,2011,141,,,10.1053/j.gastro.2011.06.001,,Itkin M; Delegge MH; Fang JC; Mcclave SA; Kundu S; Othee BJ; Martinez-Salazar GM; Sacks D; Swan TL; Towbin RB; Walker TG; Wojak JC; Zuckerman DA; Cardella JF
2,"Kwon RS, Banerjee S, Desilets D et al.. Enteral nutrition access devices. Gastrointest Endosc. 2010;72. doi:10.1016/j.gie.2010.02.008.",Enteral nutrition access devices,Gastrointest Endosc,2010,72,,,10.1016/j.gie.2010.02.008,,Kwon RS; Banerjee S; Desilets D; Diehl DL; Farraye FA; Kaul V; Mamula P; Pedrosa MC; Rodriguez SA; Varadarajulu S; Song LM; Tierney WM
3,"Löser C, Aschl G, Hébuterne X et al.. ESPEN guidelines on artificial enteral nutrition--percutaneous endoscopic gastrostomy (PEG). Clin Nutr. 2005;24.",ESPEN guidelines on artificial enteral nutrition--percutaneous endoscopic gastrostomy (PEG),Clin Nutr,2005,24,,,,16261664,Löser C; Aschl G; Hébuterne X; Mathus-Vliegen EM; Muscaritoli M; Niv Y; Rollins H; Singer P; Skelly RH
4,"Mcclave SA, Chang WK. Complications of enteral access. Gastrointest Endosc. 2003;58.",Complications of enteral access,Gastrointest Endosc,2003,58,,,,14595312,Mcclave SA; Chang WK
5,"Gauderer MW, Ponsky JL, Izant RJ. Gastrostomy without laparotomy: a percutaneous endoscopic technique. J Pediatr Surg. 1980;15.",Gastrostomy without laparotomy: a percutaneous endoscopic technique,J Pediatr Surg,1980,15,,,,6780678,Gauderer MW; Ponsky JL; Izant RJ
6,Delegge MH. Gastrostomy tubes: Complications and their management. UpToDate. 2015;None.,Gastrostomy tubes: Complications and their management,UpToDate,2015,,,,,,Delegge MH
7,"Kim YS, Oh YL, Shon YW et al.. A case of buried bumper syndrome in a patient with a balloon-tipped percutaneous endoscopic gastrostomy tube. Endoscopy. 2006;38(Suppl 2). doi:10.1055/s-2006-944675.",A case of buried bumper syndrome in a patient with a balloon-tipped percutaneous endoscopic gastrostomy tube,Endoscopy,2006,38,Suppl 2,,10.1055/s-2006-944675,,Kim YS; Oh YL; Shon YW; Yang HD; Lee SI; Cho EY; Choi CS; Seo GS; Choi SC; Na YH
8,"Lee TH, Lin JT. Clinical manifestations and management of buried bumper syndrome in patients with percutaneous endoscopic gastrostomy. Gastrointest Endosc. 2008;68. doi:10.1016/j.gie.2008.04.015.",Clinical manifestations and management of buried bumper syndrome in patients with percutaneous endoscopic gastrostomy,Gastrointest Endosc,2008,68,,,10.1016/j.gie.2008.04.015,,Lee TH; Lin JT
9,"Braden B, Brandstaetter M, Caspary WF, Seifert H. Buried bumper syndrome: treatment guided by catheter probe US. Gastrointest Endosc. 2003;57. doi:10.1067/mge.2003.184.",Buried bumper syndrome: treatment guided by catheter probe US,Gastrointest Endosc,2003,57,,,10.1067/mge.2003.184,,Braden B; Brandstaetter M; Caspary WF; Seifert H
10,"El AZ, Arvanitakis M, Ballarin A et al.. Buried bumper syndrome: low incidence and safe endoscopic management. Acta Gastroenterol Belg. 2011;74.",Buried bumper syndrome: low incidence and safe endoscopic management,Acta Gastroenterol Belg,2011,74,,,,21861316,El AZ; Arvanitakis M; Ballarin A; Devière J; Moine L; O; Gossum V; A
11,"Kejariwal D, Aravinthan A, Bromley D, Miao Y. Buried bumper syndrome: cut and leave it alone!. Nutr Clin Pract. 2008;23. doi:10.1177/0884533608318673.",Buried bumper syndrome: cut and leave it alone!,Nutr Clin Pract,2008,23,,,10.1177/0884533608318673,,Kejariwal D; Aravinthan A; Bromley D; Miao Y
