#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1," Upper lobe c. Upper lobe c. 9) 72/91 (79.1) a,b Negative 16/51 (31.4) 13/51 (25.5) 23/51 (45.1. 35 (48.6) 24/35 (68.6) b No 52/107 (48.6) 46/107 (43.0) 71/;39(48.8).",Upper lobe c,Upper lobe c,"9) 72/91 (79.1) a,b Negative 16/51 (31.4) 13/51 (25.5) 23/51 (45.1. 35 (48.6) 24/35 (68.6) b No 52/107 (48.6) 46/107 (43.0) 71/",39,48.8,,,,
2," 05 vs needle biopsy. b P < .05 vs forceps biopsy. c Upper lobe includes the right upper, right middle, and left upper lobes, and lingula. TABLE Diagnostic Yield and Sensitivity for Malignancy of the Needle-First and Forceps-First Groups Parameter Needle-First Group Forceps-First Group P Value Diagnostic yield. Diagnostic yield. None;49(69).","05 vs needle biopsy. b P < .05 vs forceps biopsy. c Upper lobe includes the right upper, right middle, and left upper lobes, and lingula. TABLE Diagnostic Yield and Sensitivity for Malignancy of the Needle-First and Forceps-First Groups Parameter Needle-First Group Forceps-First Group P Value Diagnostic yield",Diagnostic yield,,49,69,,,,
3,"Gould MK, Tang T, Liu IL. Recent trends in the identification of incidental pulmonary nodules. Am J Respir Crit Care Med. 2015;192(10).",Recent trends in the identification of incidental pulmonary nodules,Am J Respir Crit Care Med,2015,192,10,,,,Gould MK; Tang T; Liu IL
4,"Lung N, Trial Research S, Team, Aberle DR, Adams AM. Reduced lung-cancer mortality with lowdose computed tomographic screening. N Engl J Med. 2011;365(5).",Reduced lung-cancer mortality with lowdose computed tomographic screening,N Engl J Med,2011,365,5,,,,Lung N; Trial Research S; Team; Aberle DR; Adams AM
5,"Kim YW, Kang HR, Kwon BS. Lowdose chest computed tomographic screening and invasive diagnosis of pulmonary nodules for lung cancer in never-smokers. Eur Respir J. 2020;56(5):2000177.",Lowdose chest computed tomographic screening and invasive diagnosis of pulmonary nodules for lung cancer in never-smokers,Eur Respir J,2020,56,5,2000177,,,Kim YW; Kang HR; Kwon BS
6,"Mazzone PJ, Lam L. Evaluating the patient with a pulmonary nodule: a review. JAMA. 2022;327(3).",Evaluating the patient with a pulmonary nodule: a review,JAMA,2022,327,3,,,,Mazzone PJ; Lam L
7,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Rivera MP; Mehta AC; Wahidi MM
8, Non-small cell lung cancer. Non-small cell lung cancer. 2024;2.,Non-small cell lung cancer,Non-small cell lung cancer,2024,2,,,,,
9,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7(suppl 4).",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,suppl 4,,,,Dibardino DM; Yarmus LB; Semaan RW
10,"Heerink WJ, De Bock GH, De Jonge GJ. Complication rates of CT-guided transthoracic lung biopsy: meta-analysis. Eur Radiol. 2017;27(1).",Complication rates of CT-guided transthoracic lung biopsy: meta-analysis,Eur Radiol,2017,27,1,,,,Heerink WJ; De Bock GH; De Jonge GJ
11,"Stone E, Myers R. Advances in lung cancer: a ground-breaking decade. Lancet Respir Med. 2023;11(5).",Advances in lung cancer: a ground-breaking decade,Lancet Respir Med,2023,11,5,,,,Stone E; Myers R
12,"Mehta AC, Hood KL, Schwarz Y. The Evolutional history of electromagnetic navigation bronchoscopy: state of the art. Chest. 2018;154(4).",The Evolutional history of electromagnetic navigation bronchoscopy: state of the art,Chest,2018,154,4,,,,Mehta AC; Hood KL; Schwarz Y
13,"Folch EE, Pritchett MA, Nead MA. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: oneyear results of the prospective, multicenter NAVIGATE study. J Thorac Oncol. 2019;14(3).","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: oneyear results of the prospective, multicenter NAVIGATE study",J Thorac Oncol,2019,14,3,,,,Folch EE; Pritchett MA; Nead MA
14,"Folch EE, Labarca G, Ospina-Delgado D. Sensitivity and safety of electromagnetic navigation bronchoscopy for lung cancer diagnosis: systematic review and meta-analysis. Chest. 2020;158(4).",Sensitivity and safety of electromagnetic navigation bronchoscopy for lung cancer diagnosis: systematic review and meta-analysis,Chest,2020,158,4,,,,Folch EE; Labarca G; Ospina-Delgado D
15,"Folch EE, Bowling MR, Pritchett MA. NAVIGATE 24-month results: electromagnetic navigation bronchoscopy for pulmonary lesions at 37 centers in Europe and the United States. J Thorac Oncol. 2022;17(4).",NAVIGATE 24-month results: electromagnetic navigation bronchoscopy for pulmonary lesions at 37 centers in Europe and the United States,J Thorac Oncol,2022,17,4,,,,Folch EE; Bowling MR; Pritchett MA
16,"Gildea TR, Folch EE, Khandhar SJ. The impact of biopsy tool choice and rapid on-site evaluation on diagnostic accuracy for malignant lesions in the prospective: multicenter NAVIGATE study. J Bronchology Interv Pulmonol. 2021;28(3).",The impact of biopsy tool choice and rapid on-site evaluation on diagnostic accuracy for malignant lesions in the prospective: multicenter NAVIGATE study,J Bronchology Interv Pulmonol,2021,28,3,,,,Gildea TR; Folch EE; Khandhar SJ
17,"Odronic SI, Gildea TR, Chute DJ. Electromagnetic navigation bronchoscopy-guided fine needle aspiration for the diagnosis of lung lesions. Diagn Cytopathol. 2014;42(12).",Electromagnetic navigation bronchoscopy-guided fine needle aspiration for the diagnosis of lung lesions,Diagn Cytopathol,2014,42,12,,,,Odronic SI; Gildea TR; Chute DJ
18,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
19,"Mondoni M, Sotgiu G, Bonifazi M. Transbronchial needle aspiration in peripheral pulmonary lesions: a systematic review and meta-analysis. Eur Respir J. 2016;48(1).",Transbronchial needle aspiration in peripheral pulmonary lesions: a systematic review and meta-analysis,Eur Respir J,2016,48,1,,,,Mondoni M; Sotgiu G; Bonifazi M
20,"Flandes J, Martinez-Muniz FB, Jj C. The effect of combining different sampling tools on the performance of electromagnetic navigational bronchoscopy for the evaluation of peripheral lung lesions and factors associated with its diagnostic yield. BMC Pulm Med. 2023;23(1):432.",The effect of combining different sampling tools on the performance of electromagnetic navigational bronchoscopy for the evaluation of peripheral lung lesions and factors associated with its diagnostic yield,BMC Pulm Med,2023,23,1,432,,,Flandes J; Martinez-Muniz FB; Jj C
21,"Katis K, Inglesos E, Zachariadis E. The role of transbronchial needle aspiration in the diagnosis of peripheral lung masses or nodules. Eur Respir J. 1995;8(6).",The role of transbronchial needle aspiration in the diagnosis of peripheral lung masses or nodules,Eur Respir J,1995,8,6,,,,Katis K; Inglesos E; Zachariadis E
22,"Kim YW, Kim HJ, Yoon SH. Evaluation of the synergistic impact of needle and forceps biopsy with electromagnetic navigation bronchoscopy: the CONFIDENT-ENB trial design. BMC Pulm Med. 2022;22(1):319.",Evaluation of the synergistic impact of needle and forceps biopsy with electromagnetic navigation bronchoscopy: the CONFIDENT-ENB trial design,BMC Pulm Med,2022,22,1,319,,,Kim YW; Kim HJ; Yoon SH
23,"Gonzalez AV, Silvestri GA, Korevaar DA. Assessment of advanced diagnostic bronchoscopy outcomes for peripheral lung lesions: a Delphi consensus definition of diagnostic yield and recommendations for patient-centered study designs. An Official American Thoracic Society/ American College of Chest Physicians Research Statement. Am J Respir Crit Care Med. 2024;209(6).",Assessment of advanced diagnostic bronchoscopy outcomes for peripheral lung lesions: a Delphi consensus definition of diagnostic yield and recommendations for patient-centered study designs. An Official American Thoracic Society/ American College of Chest Physicians Research Statement,Am J Respir Crit Care Med,2024,209,6,,,,Gonzalez AV; Silvestri GA; Korevaar DA
24,"Ost DE, Feller-Kopman DJ, Gonzalez AV. Reporting standards for diagnostic testing: guidance for authors from editors of Respiratory, Sleep, and Critical Care Journals. J Bronchology Interv Pulmonol. 2023;30(3).","Reporting standards for diagnostic testing: guidance for authors from editors of Respiratory, Sleep, and Critical Care Journals",J Bronchology Interv Pulmonol,2023,30,3,,,,Ost DE; Feller-Kopman DJ; Gonzalez AV
25,"Leonard KM, Low SW, Echanique CS. Diagnostic yield vs diagnostic accuracy for peripheral lung biopsy evaluation: evidence supporting a future pragmatic end point. Chest. 2024;165(6).",Diagnostic yield vs diagnostic accuracy for peripheral lung biopsy evaluation: evidence supporting a future pragmatic end point,Chest,2024,165,6,,,,Leonard KM; Low SW; Echanique CS
26,"US. Common terminology criteria for adverse events (CTCAE), version 5.0. Treatment & Diagnosis Cancer Therapy Evaluation Program website. 2017;None.","Common terminology criteria for adverse events (CTCAE), version 5.0",Treatment & Diagnosis Cancer Therapy Evaluation Program website,2017,,,,,,US
27,"Bossuyt PM, Reitsma JB, Bruns DE. an updated list of essential items for reporting diagnostic accuracy studies. BMJ. 2015;351:5527.",an updated list of essential items for reporting diagnostic accuracy studies,BMJ,2015,351,,5527,,,Bossuyt PM; Reitsma JB; Bruns DE
28,"Kim YW, Kim HJ, Song MJ. Utility and safety of sole electromagnetic navigation bronchoscopy under moderate sedation for lung cancer diagnosis. Transl Lung Cancer Res. 2022;11(3).",Utility and safety of sole electromagnetic navigation bronchoscopy under moderate sedation for lung cancer diagnosis,Transl Lung Cancer Res,2022,11,3,,,,Kim YW; Kim HJ; Song MJ
29,"Mcguire AL, Myers R, Grant K. The diagnostic accuracy and sensitivity for malignancy of radial-endobronchial ultrasound and electromagnetic navigation bronchoscopy for sampling of peripheral pulmonary lesions: systematic review and meta-analysis. J Bronchology Interv Pulmonol. 2020;27(2).",The diagnostic accuracy and sensitivity for malignancy of radial-endobronchial ultrasound and electromagnetic navigation bronchoscopy for sampling of peripheral pulmonary lesions: systematic review and meta-analysis,J Bronchology Interv Pulmonol,2020,27,2,,,,Mcguire AL; Myers R; Grant K
