#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1," Great Western Hospital, Swindon. Great Western Hospital, Swindon. None;None.","Great Western Hospital, Swindon","Great Western Hospital, Swindon",,,,,,,
2,"Cook J, Hospital U, Tees S et al.. Horton Hospital, Banbury (Dr Grayez). Horton Hospital, Banbury (Dr Grayez). None;None.","Horton Hospital, Banbury (Dr Grayez)","Horton Hospital, Banbury (Dr Grayez)",,,,,,,Cook J; Hospital U; Tees S; Dr Guhan (; Ayr ); Ayr ;; Dr Guhan ); Royal B; Hospital; Reading; Wales
3,"Davies H, Lee RJ, Davies. Dr Rahman had full access to all of the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis. Drs Mishra and Davies were joint first authors. Dr Rahman had full access to all of the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis. Drs Mishra and Davies were joint first authors. None;None.",Dr Rahman had full access to all of the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis. Drs Mishra and Davies were joint first authors,Dr Rahman had full access to all of the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis. Drs Mishra and Davies were joint first authors,,,,,,,Davies H; Lee RJ; Davies
4,"Roberts ME, Neville E, Berrisford RG et al.. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali N; Bts P; Disease G; Group
5,"Rodrı ˆguez-Panadero F, Naranjo B, Lo ´pez Mejı ˆas F, J. Pleural metastatic tumours and effusions: frequency and pathogenic mechanisms in post-mortem series. Eur Respir J. 1989;2(4).",Pleural metastatic tumours and effusions: frequency and pathogenic mechanisms in post-mortem series,Eur Respir J,1989,2,4,,,,Rodrı ˆguez-Panadero F; Naranjo B; Lo ´pez Mejı ˆas F; J
6,"Ferlay J, Bray F, Forman D, Mathers C, Parkin DM. Cancer incidence and mortality worldwide. International Agency for Research on Cancer. 2008;2.",Cancer incidence and mortality worldwide,International Agency for Research on Cancer,2008,,2,,,,Ferlay J; Bray F; Forman D; Mathers C; Parkin DM
7, Cancer statistics registrations: registrations of cancer diagnosed in 2009. Cancer statistics registrations: registrations of cancer diagnosed in 2009. 2011;None.,Cancer statistics registrations: registrations of cancer diagnosed in 2009,Cancer statistics registrations: registrations of cancer diagnosed in 2009,2011,,,,,,
8,"Burrows CM, Mathews WC, Colt HG. Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease. Chest. 2000;117(1).","Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease",Chest,2000,117,1,,,,Burrows CM; Mathews WC; Colt HG
9,"Tan C, Sedrakyan A, Browne J, Swift S, Treasure T. The evidence on the effectiveness of management for malignant pleural effusion: a systematic review. Eur J Cardiothorac Surg. 2006;29(5).",The evidence on the effectiveness of management for malignant pleural effusion: a systematic review,Eur J Cardiothorac Surg,2006,29,5,,,,Tan C; Sedrakyan A; Browne J; Swift S; Treasure T
10,"Dresler CM, Olak J, Herndon JE, Ii. Phase III intergroup study of talc pou-drage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127(3).",Phase III intergroup study of talc pou-drage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,3,,,,Dresler CM; Olak J; Herndon JE; Ii
11,"Van Meter ME, Mckee KY, Kohlwes RJ. Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review. J Gen Intern Med. 2011;26(1).",Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review,J Gen Intern Med,2011,26,1,,,,Van Meter ME; Mckee KY; Kohlwes RJ
