#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ayers ML, Beamis JF. Rigid bronchoscopy in the twenty-first century. Clin Chest Med. 2001;22.",Rigid bronchoscopy in the twenty-first century,Clin Chest Med,2001,22,,,,,Ayers ML; Beamis JF
2,"Pastis NJ, Nietert PJ, Silvestri GA. Chest/Diagnostic Procedures Network Steering Committee. Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors. Chest. 2005;127.",Chest/Diagnostic Procedures Network Steering Committee. Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors,Chest,2005,127,,,,,Pastis NJ; Nietert PJ; Silvestri GA
3,"Yarmus L, Feller-Kopman D, Imad M, Kim S, Lee HJ. Procedural volume and structure of interventional pulmonary fellowships: a survey of fellows and fellowship program directors. Chest. 2013;144.",Procedural volume and structure of interventional pulmonary fellowships: a survey of fellows and fellowship program directors,Chest,2013,144,,,,,Yarmus L; Feller-Kopman D; Imad M; Kim S; Lee HJ
4,"Bolliger CT, Mathur PN, Beamis JF et al.. European Respiratory Society/American Thoracic Society. ERS/ATS statement on interventional pulmonology. Eur Respir J. 2002;19.",European Respiratory Society/American Thoracic Society. ERS/ATS statement on interventional pulmonology,Eur Respir J,2002,19,,,,,Bolliger CT; Mathur PN; Beamis JF; Becker HD; Cavaliere S; Colt H; Diaz-Jimenez JP; Dumon JF; Edell E; Kovitz KL
5,"Lamb CR, Feller-Kopman D, Ernst A et al.. An approach to interventional pulmonary fellowship training. Chest. 2010;137.",An approach to interventional pulmonary fellowship training,Chest,2010,137,,,,,Lamb CR; Feller-Kopman D; Ernst A; Simoff MJ; Sterman DH; Wahidi MM; Kovitz KL
6,"Ernst A, Wahidi MM, Read CA et al.. Adult bronchoscopy training: current state and suggestions for the future: CHEST expert panel report. Chest. 2015;148.",Adult bronchoscopy training: current state and suggestions for the future: CHEST expert panel report,Chest,2015,148,,,,,Ernst A; Wahidi MM; Read CA; Buckley JD; Addrizzo-Harris DJ; Shah PL; Herth FJ; De H; Parra A; Ornelas J; Yarmus L
7,"Wahidi MM, Silvestri GA, Coakley RD et al.. A prospective multicenter study of competency metrics and educational interventions in the learning of bronchoscopy among new pulmonary fellows. Chest. 2010;137.",A prospective multicenter study of competency metrics and educational interventions in the learning of bronchoscopy among new pulmonary fellows,Chest,2010,137,,,,,Wahidi MM; Silvestri GA; Coakley RD; Ferguson JS; Shepherd RW; Moses L; Conforti J; Que LG; Anstrom KJ; Mcguire F
8,"Wahidi MM, Hulett C, Pastis N et al.. Learning experience of linear endobronchial ultrasound among pulmonary trainees. Chest. 2014;145.",Learning experience of linear endobronchial ultrasound among pulmonary trainees,Chest,2014,145,,,,,Wahidi MM; Hulett C; Pastis N; Shepherd RW; Shofer SL; Mahmood K; Lee H; Malhotra R; Moser B; Silvestri GA
9,Downing SM. Twelve steps for effective test development. Handbook of test development. 2006;None.,Twelve steps for effective test development,Handbook of test development,2006,,,,,,Downing SM
10,"Downing SM, Tekian A, Yudkowsky R. Procedures for establishing defensible absolute passing scores on performance examinations in health professions education. Teach Learn Med. 2006;18.",Procedures for establishing defensible absolute passing scores on performance examinations in health professions education,Teach Learn Med,2006,18,,,,,Downing SM; Tekian A; Yudkowsky R
11,"Downing SM, Yudkowsky R. Introduction to assessment in the health professions. Assessment in health professions education. 2009;None.",Introduction to assessment in the health professions,Assessment in health professions education,2009,,,,,,Downing SM; Yudkowsky R
12,"Yudkowsky R, Downing SM, Tekian A. Standard setting. Assessment in health professions education. 2009;None.",Standard setting,Assessment in health professions education,2009,,,,,,Yudkowsky R; Downing SM; Tekian A
13,"Davoudi M, Osann K, Colt HG. Validation of two instruments to assess technical bronchoscopic skill using virtual reality simulation. Respiration. 2008;76.",Validation of two instruments to assess technical bronchoscopic skill using virtual reality simulation,Respiration,2008,76,,,,,Davoudi M; Osann K; Colt HG
14,"Davoudi M, Colt HG, Osann KE, Lamb CR, Mullon JJ. Endobronchial ultrasound skills and tasks assessment tool: assessing the validity evidence for a test of endobronchial ultrasound-guided transbronchial needle aspiration operator skill. Am J Respir Crit Care Med. 2012;186.",Endobronchial ultrasound skills and tasks assessment tool: assessing the validity evidence for a test of endobronchial ultrasound-guided transbronchial needle aspiration operator skill,Am J Respir Crit Care Med,2012,186,,,,,Davoudi M; Colt HG; Osann KE; Lamb CR; Mullon JJ
15,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169.",Central airway obstruction,Am J Respir Crit Care Med,2004,169,,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
16,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97.,A dedicated tracheobronchial stent,Chest,1990,97,,,,,Dumon JF
17,"Ishman SL, Brown DJ, Boss EF et al.. Development and pilot testing of an operative competency assessment tool for pediatric direct laryngoscopy and rigid bronchoscopy. Laryngoscope. 2010;120.",Development and pilot testing of an operative competency assessment tool for pediatric direct laryngoscopy and rigid bronchoscopy,Laryngoscope,2010,120,,,,,Ishman SL; Brown DJ; Boss EF; Skinner ML; Tunkel DE; Stavinoha R; Sy L
18,"Ishman SL, Benke JR, Johnson KE et al.. Blinded evaluation of interrater reliability of an operative competency assessment tool for direct laryngoscopy and rigid bronchoscopy. Arch Otolaryngol Head Neck Surg. 2012;138.",Blinded evaluation of interrater reliability of an operative competency assessment tool for direct laryngoscopy and rigid bronchoscopy,Arch Otolaryngol Head Neck Surg,2012,138,,,,,Ishman SL; Benke JR; Johnson KE; Zur KB; Jacobs IN; Thorne MC; Brown DJ; Lin SY; Bhatti N; Deutsch ES
