#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Poi PJ, Chuah SY, SP, Ck L. Common fears of patients undergoing bronchoscopy. Eur Respir J. 1998;11.",Common fears of patients undergoing bronchoscopy,Eur Respir J,1998,11,,,,,Poi PJ; Chuah SY; SP; Ck L
2,"Scheuermeyer X, Andolfatto F, Qian G, Grafstein H, E. Does the sedation regimen affect adverse events during procedural sedation and analgesia in injection drug users?. CJEM. 2013;15.",Does the sedation regimen affect adverse events during procedural sedation and analgesia in injection drug users?,CJEM,2013,15,,,,,Scheuermeyer X; Andolfatto F; Qian G; Grafstein H; E
3,"Putinati S, Ballerin L, Corbetta L, Trevisani L, Potena A. Patient satisfaction with conscious sedation for bronchoscopy. Chest. 1999;115.",Patient satisfaction with conscious sedation for bronchoscopy,Chest,1999,115,,,,,Putinati S; Ballerin L; Corbetta L; Trevisani L; Potena A
4,"Rand D, Blaikley IA, Booton J et al.. British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults. Thorax. 2013;68(Suppl 1).",British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults,Thorax,2013,68,Suppl 1,,,,Rand D; Blaikley IA; Booton J; Chaudhuri R; Gupta N; Khalid V; Mandal S; Martin S; Mills J; Navani J; N
5,"Davies L, Mister R, Spence DP, Calverley PM, Earis JE, Pearson MG. Cardiovascular consequences of fibreoptic bronchoscopy. Eur Respir J. 1997;10.",Cardiovascular consequences of fibreoptic bronchoscopy,Eur Respir J,1997,10,,,,,Davies L; Mister R; Spence DP; Calverley PM; Earis JE; Pearson MG
6,"Alletag MJ, Auerbach MA, Baum CR. Ketamine, propofol and ketofol use for pediatric sedation. Pediatr Emerg Care. 2012;28.","Ketamine, propofol and ketofol use for pediatric sedation",Pediatr Emerg Care,2012,28,,,,,Alletag MJ; Auerbach MA; Baum CR
7,"Berkenbosch JW, Graff GR, Stark JM, Ner Z, Tobias JD. Use of a remifentanil-propofol mixture for pediatric flexible fiberoptic bronchoscopy sedation. Pediatric Anesthesia. 2004;14.",Use of a remifentanil-propofol mixture for pediatric flexible fiberoptic bronchoscopy sedation,Pediatric Anesthesia,2004,14,,,,,Berkenbosch JW; Graff GR; Stark JM; Ner Z; Tobias JD
8,"Clark G, Licker M, Younossian AB et al.. Titrated sedation with propofol or midazolam for flexible bronchoscopy: A randomised trial. Eur Respir J. 2009;34.",Titrated sedation with propofol or midazolam for flexible bronchoscopy: A randomised trial,Eur Respir J,2009,34,,,,,Clark G; Licker M; Younossian AB; Soccal PM; Frey JG; Rochat T; Diaper J; Bridevaux PO; Tschopp JM
9,"Reyle-Hahn M, Niggemann B, Max M, Streich R, Rossaint R. Remifentanil and propofol for sedation in children and young adolescents undergoing diagnostic flexible bronchoscopy. Paediatr Anaesth. 2000;10.",Remifentanil and propofol for sedation in children and young adolescents undergoing diagnostic flexible bronchoscopy,Paediatr Anaesth,2000,10,,,,,Reyle-Hahn M; Niggemann B; Max M; Streich R; Rossaint R
10,"Stolz D, Kurer G, Meyer A et al.. Propofol vs. combined sedation in flexible bronchoscopy: A randomised non-inferiority trial. Eur Respir J. 2009;34.",Propofol vs. combined sedation in flexible bronchoscopy: A randomised non-inferiority trial,Eur Respir J,2009,34,,,,,Stolz D; Kurer G; Meyer A; Chhajed PN; Pflimlin E; Strobel W; Tamm M
