#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Raghu G, Remy-Jardin M, Myers JL. Diagnosis of idiopathic pulmonary fibrosis. An official ATS/ERS/JRS/ALAT clinical practice guideline. Am J Respir Crit Care Med. 2018;198.",Diagnosis of idiopathic pulmonary fibrosis. An official ATS/ERS/JRS/ALAT clinical practice guideline,Am J Respir Crit Care Med,2018,198,,,,,Raghu G; Remy-Jardin M; Myers JL
2,"Prasad JD, Mahar A, Bleasel J. The interstitial lung disease multidisciplinary meeting: a position statement from the Thoracic Society of Australia and New Zealand and the Lung Foundation Australia. Respirology. 2017;22.",The interstitial lung disease multidisciplinary meeting: a position statement from the Thoracic Society of Australia and New Zealand and the Lung Foundation Australia,Respirology,2017,22,,,,,Prasad JD; Mahar A; Bleasel J
3,"Jo HE, Glaspole IN, Levin KC. Clinical impact of the interstitial lung disease multidisciplinary service. Respirology. 2016;21.",Clinical impact of the interstitial lung disease multidisciplinary service,Respirology,2016,21,,,,,Jo HE; Glaspole IN; Levin KC
4,"Guenther A, Krauss E, Tello S. The European IPF registry (eurIPFreg): baseline characteristics and survival of patients with idiopathic pulmonary fibrosis. Respir Res. 2018;19:141.",The European IPF registry (eurIPFreg): baseline characteristics and survival of patients with idiopathic pulmonary fibrosis,Respir Res,2018,19,,141,,,Guenther A; Krauss E; Tello S
5,"Hutchinson JP, Fogarty AW, Mckeever TM, Hubbard RB. In-hospital mortality after surgical lung biopsy for interstitial lung disease in the United States. 2000 to 2011. Am J Respir Crit Care Med. 2016;193.",In-hospital mortality after surgical lung biopsy for interstitial lung disease in the United States. 2000 to 2011,Am J Respir Crit Care Med,2016,193,,,,,Hutchinson JP; Fogarty AW; Mckeever TM; Hubbard RB
6,"Johannson KA, Marcoux VS, Ronksley PE, Ryerson CJ. Diagnostic yield and complications of transbronchial lung cryobiopsy for interstitial lung disease. A systematic review and metaanalysis. Ann Am Thorac Soc. 2016;13.",Diagnostic yield and complications of transbronchial lung cryobiopsy for interstitial lung disease. A systematic review and metaanalysis,Ann Am Thorac Soc,2016,13,,,,,Johannson KA; Marcoux VS; Ronksley PE; Ryerson CJ
7,"Iftikhar IH, Alghothani L, Sardi A, Berkowitz D, Musani AI. Transbronchial lung cryobiopsy and video-assisted thoracoscopic lung biopsy in the diagnosis of diffuse parenchymal lung disease. A meta-analysis of diagnostic test accuracy. Ann Am Thorac Soc. 2017;14.",Transbronchial lung cryobiopsy and video-assisted thoracoscopic lung biopsy in the diagnosis of diffuse parenchymal lung disease. A meta-analysis of diagnostic test accuracy,Ann Am Thorac Soc,2017,14,,,,,Iftikhar IH; Alghothani L; Sardi A; Berkowitz D; Musani AI
8,"Sethi J, Ali MS, Mohananey D, Nanchal R, Maldonado F, Musani A. Are transbronchial cryobiopsies ready for prime time?: a systematic review and meta-analysis. J Bronchology Interv Pulmonol. 2019;26.",Are transbronchial cryobiopsies ready for prime time?: a systematic review and meta-analysis,J Bronchology Interv Pulmonol,2019,26,,,,,Sethi J; Ali MS; Mohananey D; Nanchal R; Maldonado F; Musani A
9,"Tomassetti S, Wells AU, Costabel U. Bronchoscopic lung cryobiopsy increases diagnostic confidence in the multidisciplinary diagnosis of idiopathic pulmonary fibrosis. Am J Respir Crit Care Med. 2016;193.",Bronchoscopic lung cryobiopsy increases diagnostic confidence in the multidisciplinary diagnosis of idiopathic pulmonary fibrosis,Am J Respir Crit Care Med,2016,193,,,,,Tomassetti S; Wells AU; Costabel U
10,"Romagnoli M, Colby TV, Berthet JP. Poor concordance between sequential transbronchial lung cryobiopsy and surgical lung biopsy in the diagnosis of diffuse interstitial lung diseases. Am J Respir Crit Care Med. 2019;199.",Poor concordance between sequential transbronchial lung cryobiopsy and surgical lung biopsy in the diagnosis of diffuse interstitial lung diseases,Am J Respir Crit Care Med,2019,199,,,,,Romagnoli M; Colby TV; Berthet JP
