#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Yasufuku K, Chhajed PN, Sekine Y et al.. Endobronchial ultrasound using a new convex probe: a preliminary study on surgically resected specimens. Oncol. Rep. 2004;11.",Endobronchial ultrasound using a new convex probe: a preliminary study on surgically resected specimens,Oncol. Rep,2004,11,,,,,Yasufuku K; Chhajed PN; Sekine Y; Nakajima T; Chiyo M; Iyoda A; Yoshida S; Otsuji M; Shibuya K; Iizasa T
2,"Herth F, Becker HD, Ernst A. Conventional vs endobronchial ultrasound-guided transbronchial needle aspiration: a randomized trial. Chest. 2004;125.",Conventional vs endobronchial ultrasound-guided transbronchial needle aspiration: a randomized trial,Chest,2004,125,,,,,Herth F; Becker HD; Ernst A
3,"Yasufuku K, Pierre A, Darling G et al.. A prospective controlled trial of endobronchial ultrasoundguided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer. J. Thorac. Cardiovasc. Surg. 2011;142(1).",A prospective controlled trial of endobronchial ultrasoundguided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer,J. Thorac. Cardiovasc. Surg,2011,142,1,,,,Yasufuku K; Pierre A; Darling G; De Perrot M; Waddell T; Johnston M; Da Cunha Santos G; Geddie W; Boerner S; Le LW
4,"Ge X, Guan W, Han F, Guo X, JZ. Comparison of endobronchial ultrasound-guided fine needle aspiration and video-assisted mediastinoscopy for mediastinal staging of lung cancer. Lung. 2015;193.",Comparison of endobronchial ultrasound-guided fine needle aspiration and video-assisted mediastinoscopy for mediastinal staging of lung cancer,Lung,2015,193,,,,,Ge X; Guan W; Han F; Guo X; JZ
5,"Fujiwara T, Yasufuku K, Nakajima T et al.. The utility of sonographic features during endobronchial ultrasoundguided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system. Chest. 2010;138.",The utility of sonographic features during endobronchial ultrasoundguided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system,Chest,2010,138,,,,,Fujiwara T; Yasufuku K; Nakajima T; Chiyo M; Yoshida S; Suzuki M; Shibuya K; Hiroshima K; Nakatani Y; Yoshino I
6,"Wang L, Wu W, Hu Y et al.. Sonographic features of endobronchial ultrasonography predict intrathoracic lymph node metastasis in lung cancer patients. Ann. Thorac. Surg. 2015;100.",Sonographic features of endobronchial ultrasonography predict intrathoracic lymph node metastasis in lung cancer patients,Ann. Thorac. Surg,2015,100,,,,,Wang L; Wu W; Hu Y; Teng J; Zhong R; Han B; Sun J
7,"Nakajima T, Anayama T, Shingyoji M, Kimura H, Yoshino I, Yasufuku K. Vascular image patterns of lymph nodes for the prediction of metastatic disease during EBUS-TBNA for mediastinal staging of lung cancer. J. Thorac. Oncol. 2012;7.",Vascular image patterns of lymph nodes for the prediction of metastatic disease during EBUS-TBNA for mediastinal staging of lung cancer,J. Thorac. Oncol,2012,7,,,,,Nakajima T; Anayama T; Shingyoji M; Kimura H; Yoshino I; Yasufuku K
8,"Vilmann A, P. Endoscopic ultrasound elastographya new imaging technique for the visualization of tissue elasticity distribution. J. Gastrointestin. Liver Dis. 2006;15.",Endoscopic ultrasound elastographya new imaging technique for the visualization of tissue elasticity distribution,J. Gastrointestin. Liver Dis,2006,15,,,,,Vilmann A; P
9,"Vilmann A, Hassan P, Gorunescu H, F. Analysis of endoscopic ultrasound elastography used for characterisation and differentiation of benign and malignant lymph nodes. Ultraschall Med. 2006;27.",Analysis of endoscopic ultrasound elastography used for characterisation and differentiation of benign and malignant lymph nodes,Ultraschall Med,2006,27,,,,,Vilmann A; Hassan P; Gorunescu H; F
10,"Dietrich CF, Jenssen C, Arcidiacono PG et al.. Endoscopic ultrasound: elastographic lymph node evaluation. Endosc. Ultrasound. 2015;4.",Endoscopic ultrasound: elastographic lymph node evaluation,Endosc. Ultrasound,2015,4,,,,,Dietrich CF; Jenssen C; Arcidiacono PG; Cui XW; Giovannini M; Hocke M; Iglesias-Garcia J; Sun S; Chiorean L
11,"Izumo T, Sasada S, Chavez C, Matsumoto Y, Tsuchida T. Endobronchial ultrasound elastography in the diagnosis of mediastinal and hilar lymph nodes. Jpn. J. Clin. Oncol. 2014;44.",Endobronchial ultrasound elastography in the diagnosis of mediastinal and hilar lymph nodes,Jpn. J. Clin. Oncol,2014,44,,,,,Izumo T; Sasada S; Chavez C; Matsumoto Y; Tsuchida T
12,"Li P, Zheng W, Zhao L. Convex probe endobronchial ultrasound: applications beyond conventional indications. J. Thorac. Dis. 2015;7.",Convex probe endobronchial ultrasound: applications beyond conventional indications,J. Thorac. Dis,2015,7,,,,,Li P; Zheng W; Zhao L
13,"Janssen J, Dietrich CF, Will U, Greiner L. Endosonographic elastography in the diagnosis of mediastinal lymph nodes. Endoscopy. 2007;39.",Endosonographic elastography in the diagnosis of mediastinal lymph nodes,Endoscopy,2007,39,,,,,Janssen J; Dietrich CF; Will U; Greiner L
14,"Paterson S, Duthie F, Stanley AJ. Endoscopic ultrasound-guided elastography in the nodal staging of oesophageal cancer. World J. Gastroenterol. 2012;18.",Endoscopic ultrasound-guided elastography in the nodal staging of oesophageal cancer,World J. Gastroenterol,2012,18,,,,,Paterson S; Duthie F; Stanley AJ
15,"Trosini-Désert V, Jeny F, Taillade L et al.. Bronchial endoscopic ultrasound elastography: preliminary feasibility data. Eur. Respir. J. 2013;41.",Bronchial endoscopic ultrasound elastography: preliminary feasibility data,Eur. Respir. J,2013,41,,,,,Trosini-Désert V; Jeny F; Taillade L; Vignot S; Zribi H; Capron F; Similowski T
16,"Nakajima T, Inage T, Sata Y et al.. Elastography for predicting and localizing nodal metastases during endobronchial ultrasound. Respiration. 2015;90.",Elastography for predicting and localizing nodal metastases during endobronchial ultrasound,Respiration,2015,90,,,,,Nakajima T; Inage T; Sata Y; Morimoto J; Tagawa T; Suzuki H; Iwata T; Yoshida S; Nakatani Y; Yoshino I
17,"He HY, Huang M, Zhu J, Ma H, Lyu XD. Endobronchial ultrasound elastography for diagnosing mediastinal and hilar lymph nodes. Chin. Med. J. (Engl.). 2015;128.",Endobronchial ultrasound elastography for diagnosing mediastinal and hilar lymph nodes,Chin. Med. J. (Engl.),2015,128,,,,,He HY; Huang M; Zhu J; Ma H; Lyu XD
18,"Rozman A, Malovrh MM, Adamic K, Subic T, Kovac V, Flezar M. Endobronchial ultrasound elastography strain ratio for mediastinal lymph node diagnosis. Radiol. Oncol. 2015;49.",Endobronchial ultrasound elastography strain ratio for mediastinal lymph node diagnosis,Radiol. Oncol,2015,49,,,,,Rozman A; Malovrh MM; Adamic K; Subic T; Kovac V; Flezar M
19,"Cui XW, Chang JM, Kan QC, Chiorean L, Ignee A, Dietrich CF. Endoscopic ultrasound elastography: current status and future perspectives. World J. Gastroenterol. 2015;21.",Endoscopic ultrasound elastography: current status and future perspectives,World J. Gastroenterol,2015,21,,,,,Cui XW; Chang JM; Kan QC; Chiorean L; Ignee A; Dietrich CF
