#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Yasufuku K, Chiyo M, Sekine Y, Chhajed PN, Shibuya K, Iizasa T. Real-time endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes. Chest. 2004;126.",Real-time endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes,Chest,2004,126,,,,,Yasufuku K; Chiyo M; Sekine Y; Chhajed PN; Shibuya K; Iizasa T
2,"Nakajima T, Yasufuku K, Kurosu K, Takiguchi Y, Fujiwara T, Chiyo M. The role of EBUS-TBNA for the diagnosis of sarcoidosisecomparisons with other bronchoscopic diagnostic modalities. Respir Med. 2009;103.",The role of EBUS-TBNA for the diagnosis of sarcoidosisecomparisons with other bronchoscopic diagnostic modalities,Respir Med,2009,103,,,,,Nakajima T; Yasufuku K; Kurosu K; Takiguchi Y; Fujiwara T; Chiyo M
3,"Annema JT, Van Meerbeeck JP, Rintoul RC, Dooms C, Deschepper E, Dekkers OM. Mediastinoscopy vs endosonography for mediastinal nodal staging of lung cancer: a randomized trial. JAMA. 2010;304.",Mediastinoscopy vs endosonography for mediastinal nodal staging of lung cancer: a randomized trial,JAMA,2010,304,,,,,Annema JT; Van Meerbeeck JP; Rintoul RC; Dooms C; Deschepper E; Dekkers OM
4,"Navani N, Nankivell M, Lawrence DR, Lock S, Makker H, Baldwin DR. Lung cancer diagnosis and staging with endobronchial ultrasound-guided transbronchial needle aspiration compared with conventional approaches: an open-label, pragmatic, randomised controlled trial. Lancet Respir Med. 2015;3.","Lung cancer diagnosis and staging with endobronchial ultrasound-guided transbronchial needle aspiration compared with conventional approaches: an open-label, pragmatic, randomised controlled trial",Lancet Respir Med,2015,3,,,,,Navani N; Nankivell M; Lawrence DR; Lock S; Makker H; Baldwin DR
5,"Lin CK, Lai CL, Chang LY, Wen YF, Ho CC. Learning curve and advantages of endobronchial ultrasound-guided transbronchial needle aspiration as a first-line diagnostic and staging procedure. Thorac Cancer. 2018;9.",Learning curve and advantages of endobronchial ultrasound-guided transbronchial needle aspiration as a first-line diagnostic and staging procedure,Thorac Cancer,2018,9,,,,,Lin CK; Lai CL; Chang LY; Wen YF; Ho CC
6,"Krouskop TA, Wheeler TM, Kallel F, Garra BS, Hall T. Elastic moduli of breast and prostate tissues under compression. Ultrason Imag. 1998;20.",Elastic moduli of breast and prostate tissues under compression,Ultrason Imag,1998,20,,,,,Krouskop TA; Wheeler TM; Kallel F; Garra BS; Hall T
7,"Moon WK, Chang RF, Chen CJ, Chen DR, Chen WL. Solid breast masses: classification with computer-aided analysis of continuous US images obtained with probe compression. Radiology. 2005;236.",Solid breast masses: classification with computer-aided analysis of continuous US images obtained with probe compression,Radiology,2005,236,,,,,Moon WK; Chang RF; Chen CJ; Chen DR; Chen WL
8,"Lyshchik A, Higashi T, Asato R, Tanaka S, Ito J, Mai JJ. Thyroid gland tumor diagnosis at US elastography. Radiology. 2005;237.",Thyroid gland tumor diagnosis at US elastography,Radiology,2005,237,,,,,Lyshchik A; Higashi T; Asato R; Tanaka S; Ito J; Mai JJ
9,"Caste ´ra L, Vergniol J, Foucher J et al.. Prospective comparison of transient elastography, Fibrotest, APRI, and liver biopsy for the assessment of fibrosis in chronic hepatitis C. Gastroenterology. 2005;128.","Prospective comparison of transient elastography, Fibrotest, APRI, and liver biopsy for the assessment of fibrosis in chronic hepatitis C",Gastroenterology,2005,128,,,,,Caste ´ra L; Vergniol J; Foucher J; Bail L; Chanteloup B; Haaser E; M
10,"Bamber J, Cosgrove D, Dietrich CF, Fromageau J, Bojunga J, Calliada F. EFSUMB guidelines and recommendations on the clinical use of ultrasound elastography. Part 1: basic principles and technology. Ultraschall Med. 2013;34.",EFSUMB guidelines and recommendations on the clinical use of ultrasound elastography. Part 1: basic principles and technology,Ultraschall Med,2013,34,,,,,Bamber J; Cosgrove D; Dietrich CF; Fromageau J; Bojunga J; Calliada F
