#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ky ), Sciurba C, Field JB et al.. None. None. None;None.",,,,,,,,,Ky ); Sciurba C; Field JB; Chandra D; Leader J; Semaan R; Ledezma C
2,"Shah P, Kemp S, Garner J et al.. Instituto do Coracao, Hospital das Clinicas. Instituto do Coracao, Hospital das Clinicas. None;None.","Instituto do Coracao, Hospital das Clinicas","Instituto do Coracao, Hospital das Clinicas",,,,,,,Shah P; Kemp S; Garner J; Aboelhassan A; Srikanthan K; Tenda E; Abraham A; Sim C; Center ;; Durham; Nc: Momen; Wahidi K; Mahmood S; Shofer K; Coles ;; Hugo Goulart De Oliveira G; Oliveira A; Machado B; Benedetto I; Svartman F; De Macedo A; Neto L; Schreiner T; Vieira ;; University; California; Davis; Sacramento; Ca: Brian; Morrissey K; Yoneda T; Tham D; Tompkins ; Steven; Hays E; Seeley P; Shrestha GR; Dincheva; Moya M; Parikh A; Paton A; Agnew ;; Nicholas Pastis J; Strange C; Beiko T; Woodford D; Blanton M
3,"Vollenweider M, Herrera L, Khan R, Sernulka K. None. None. None;None.",,,,,,,,,Vollenweider M; Herrera L; Khan R; Sernulka K
4,"Mcfadden M, Barbers R, Hernandez M et al.. None. None. None;None.",,,,,,,,,Mcfadden M; Barbers R; Hernandez M; Cleveland ;; Foundation C; Cleveland O; Machuzak F; Almeida J; Cicenia T; Gildea A; Mehta S; Sethi Y; Meli D; Hsia R; Casaburi W; Stringer L; Diaz ; Arthur; Sung M; Ramsey R; Van Wert K; Morris
5,"Jarad N, Batchelor T, Sequeiros I, Tucker K. None. None. None;None.",,,,,,,,,Jarad N; Batchelor T; Sequeiros I; Tucker K
6,"Kornaszweska M, Fallouh H, Sabit R et al.. None. None. None;None.",,,,,,,,,Kornaszweska M; Fallouh H; Sabit R; Naase H; George J; Salimian A; Dyer ; Stephen H; Hazelrigg K; Adams K; Bade
7,"Bestall JC, Paul EA, Garrod R, Garnham R, Jones PW, Wedzicha JA. Usefulness of the Medical Research Council (MRC) dyspnoea scale as a measure of disability in patients with chronic obstructive pulmonary disease. Thorax. 1999;54.",Usefulness of the Medical Research Council (MRC) dyspnoea scale as a measure of disability in patients with chronic obstructive pulmonary disease,Thorax,1999,54,,,,,Bestall JC; Paul EA; Garrod R; Garnham R; Jones PW; Wedzicha JA
8," Dyspnea: mechanisms, assessment, and management. A consensus statement: American Thoracic Society. Am J Respir Crit Care Med. 1999;159.","Dyspnea: mechanisms, assessment, and management. A consensus statement: American Thoracic Society",Am J Respir Crit Care Med,1999,159,,,,,
9,"Sch Önhofer B, Ardes P, Geibel M, Jones PW. Evaluation of a movement detector to measure daily activity in patients with chronic lung disease. Eur Respir J. 1997;10.",Evaluation of a movement detector to measure daily activity in patients with chronic lung disease,Eur Respir J,1997,10,,,,,Sch Önhofer B; Ardes P; Geibel M; Jones PW
10,Casaburi R. Impacting patient-centred outcomes in COPD: deconditioning. Eur Respir Rev. 2006;15.,Impacting patient-centred outcomes in COPD: deconditioning,Eur Respir Rev,2006,15,,,,,Casaburi R
