#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Walker-Renard PB, Vaughan LM, Sahn SA. Chemical pleurodesis for malignant pleural effusions. Ann Intern Med. 1994;120.",Chemical pleurodesis for malignant pleural effusions,Ann Intern Med,1994,120,,,,8250457,Walker-Renard PB; Vaughan LM; Sahn SA
2,"Fentiman IS, Rubens RD, Hayward JL. A comparison of intracavitary talc and tetracycline for the control of pleural effusions secondary to breast cancer. Eur J Cancer Clin Oncol. 1986;22.",A comparison of intracavitary talc and tetracycline for the control of pleural effusions secondary to breast cancer,Eur J Cancer Clin Oncol,1986,22,,,,3536525,Fentiman IS; Rubens RD; Hayward JL
3,"Hamed H, Fentiman IS, Chaudary MA. Comparison of intracavitary bleomycin and talc for control of pleural effusions secondary to carcinoma of the breast. Br J Surg. 1989;76.",Comparison of intracavitary bleomycin and talc for control of pleural effusions secondary to carcinoma of the breast,Br J Surg,1989,76,,,,2481558,Hamed H; Fentiman IS; Chaudary MA
4,"Hartman DL, Gaither JM, Kesler KA. Comparison of insufflated talc under thoracoscopic guidance with standard tetracycline and bleomycin pleurodesis for control of malignant pleural effusions. J Thorac Cardiovasc Surg. 1993;105.",Comparison of insufflated talc under thoracoscopic guidance with standard tetracycline and bleomycin pleurodesis for control of malignant pleural effusions,J Thorac Cardiovasc Surg,1993,105,,,,7682268,Hartman DL; Gaither JM; Kesler KA
5,"Zimmer PW, Hill M, Casey K. Prospective randomized trial of talc slurry vs bleomycin in pleurodesis for symptomatic malignant pleural effusions. Chest. 1997;112.",Prospective randomized trial of talc slurry vs bleomycin in pleurodesis for symptomatic malignant pleural effusions,Chest,1997,112,,,,9266880,Zimmer PW; Hill M; Casey K
6,"Diacon AH, Wyser C, Bolliger CT. Prospective randomized comparison of thoracoscopic talc poudrage under local anesthesia versus bleomycin instillation for pleurodesis in malignant pleural effusions. Am J Respir Crit Care Med. 2000;162.",Prospective randomized comparison of thoracoscopic talc poudrage under local anesthesia versus bleomycin instillation for pleurodesis in malignant pleural effusions,Am J Respir Crit Care Med,2000,162,,,,11029359,Diacon AH; Wyser C; Bolliger CT
7,Bethune N. Pleural poudrage: a new technic for the deliberate production of pleural adhesions as a preliminary to lobectomy. J Thorac Surg. 1935;4.,Pleural poudrage: a new technic for the deliberate production of pleural adhesions as a preliminary to lobectomy,J Thorac Surg,1935,4,,,,,Bethune N
8,"Hanrahan EM, Adams R, Klopstock R. The role of experimentally produced intrapleural adhesions in extrapleural pneumonolysis and in the prevention of surgical atelectasis in animals. J Thorac Surg. 1941;10.",The role of experimentally produced intrapleural adhesions in extrapleural pneumonolysis and in the prevention of surgical atelectasis in animals,J Thorac Surg,1941,10,,,,,Hanrahan EM; Adams R; Klopstock R
9,Chambers JS. Palliative treatment of neoplastic pleural effusion with intercostal intubation and talc instillation. West J Surg Obstet Gynecol. 1958;66.,Palliative treatment of neoplastic pleural effusion with intercostal intubation and talc instillation,West J Surg Obstet Gynecol,1958,66,,,,13507360,Chambers JS
10,"Rinaldo JE, Owens GR, Rogers RM. Adult respiratory distress syndrome following intrapleural instillation of talc. J Thorac Cardiovasc Surg. 1983;85.",Adult respiratory distress syndrome following intrapleural instillation of talc,J Thorac Cardiovasc Surg,1983,85,,,,6834872,Rinaldo JE; Owens GR; Rogers RM
11,"Rehse DH, Aye RW, Florence MG. Respiratory failure following talc pleurodesis. Am J Surg. 1999;177.",Respiratory failure following talc pleurodesis,Am J Surg,1999,177,,,,10365887,Rehse DH; Aye RW; Florence MG
