#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wang KP, Nelson S, Scatarige J, Siegelman S. Transbronchial needle aspiration of a mediastinal mass: therapeutic implications. Th orax. 1983;38(7).",Transbronchial needle aspiration of a mediastinal mass: therapeutic implications,Th orax,1983,38,7,,,,Wang KP; Nelson S; Scatarige J; Siegelman S
2,"Wang KP, Terry P, Marsh B. Bronchoscopic needle aspiration biopsy of paratracheal tumors. Am Rev Respir Dis. 1978;118(1).",Bronchoscopic needle aspiration biopsy of paratracheal tumors,Am Rev Respir Dis,1978,118,1,,,,Wang KP; Terry P; Marsh B
3,"Hürter T, Hanrath P. Endobronchial sonography: feasibility and preliminary results. Th orax. 1992;47(7).",Endobronchial sonography: feasibility and preliminary results,Th orax,1992,47,7,,,,Hürter T; Hanrath P
4,"Yasufuku K, Chhajed PN, Sekine Y. Endobronchial ultrasound using a new convex probe: a preliminary study on surgically resected specimens. Oncol Rep. 2004;11(2).",Endobronchial ultrasound using a new convex probe: a preliminary study on surgically resected specimens,Oncol Rep,2004,11,2,,,,Yasufuku K; Chhajed PN; Sekine Y
5,"Huang JA, Browning R, Wang KP. Counterpoint: should endobronchial ultrasound guide every transbronchial needle aspiration of lymph nodes? No. Chest. 2013;144(3).",Counterpoint: should endobronchial ultrasound guide every transbronchial needle aspiration of lymph nodes? No,Chest,2013,144,3,,,,Huang JA; Browning R; Wang KP
6,"Wahidi MM, Yasufuku K. Point: should endobronchial ultrasound guide every transbronchial needle aspiration of lymph nodes? Yes. Chest. 2013;144(3).",Point: should endobronchial ultrasound guide every transbronchial needle aspiration of lymph nodes? Yes,Chest,2013,144,3,,,,Wahidi MM; Yasufuku K
7,"Adams K, Shah PL, Edmonds L, Lim E. Test performance of endobronchial ultrasound and transbronchial needle aspiration biopsy for mediastinal staging in patients with lung cancer: systematic review and meta-analysis. Th orax. 2009;64(9).",Test performance of endobronchial ultrasound and transbronchial needle aspiration biopsy for mediastinal staging in patients with lung cancer: systematic review and meta-analysis,Th orax,2009,64,9,,,,Adams K; Shah PL; Edmonds L; Lim E
8,"Holty JE, Kuschner WG, Gould MK. Accuracy of transbronchial needle aspiration for mediastinal staging of non-small cell lung cancer: a meta-analysis. Th orax. 2005;60(11).",Accuracy of transbronchial needle aspiration for mediastinal staging of non-small cell lung cancer: a meta-analysis,Th orax,2005,60,11,,,,Holty JE; Kuschner WG; Gould MK
9,"Wong M, Yasufuku K, Nakajima T. Endobronchial ultrasound: new insight for the diagnosis of sarcoidosis. Eur Respir J. 2007;29(6).",Endobronchial ultrasound: new insight for the diagnosis of sarcoidosis,Eur Respir J,2007,29,6,,,,Wong M; Yasufuku K; Nakajima T
10,"Garwood S, Judson MA, Silvestri G, Hoda R, Fraig M, Doelken P. Endobronchial ultrasound for the diagnosis of pulmonary sarcoidosis. Chest. 2007;132(4).",Endobronchial ultrasound for the diagnosis of pulmonary sarcoidosis,Chest,2007,132,4,,,,Garwood S; Judson MA; Silvestri G; Hoda R; Fraig M; Doelken P
11,"Agarwal R, Srinivasan A, Aggarwal AN, Gupta D. Effi cacy and safety of convex probe EBUS-TBNA in sarcoidosis: a systematic review and meta-analysis. Respir Med. 2012;106(6).",Effi cacy and safety of convex probe EBUS-TBNA in sarcoidosis: a systematic review and meta-analysis,Respir Med,2012,106,6,,,,Agarwal R; Srinivasan A; Aggarwal AN; Gupta D
12,"Von Bartheld MB, Dekkers OM, Szlubowski A. Endosonography vs conventional bronchoscopy for the diagnosis of sarcoidosis: the GRANULOMA randomized clinical trial. JAMA. 2013;309(23).",Endosonography vs conventional bronchoscopy for the diagnosis of sarcoidosis: the GRANULOMA randomized clinical trial,JAMA,2013,309,23,,,,Von Bartheld MB; Dekkers OM; Szlubowski A
13,"Goyal A, Gupta D, Agarwal R. Value of diff erent bronchoscopic sampling techniques in diagnosis of sarcoidosis: a prospective study of 151 patients. J Bronchology Interv Pulmonol. None;None.",Value of diff erent bronchoscopic sampling techniques in diagnosis of sarcoidosis: a prospective study of 151 patients,J Bronchology Interv Pulmonol,,,,,,,Goyal A; Gupta D; Agarwal R
14,Scadding JG. Prognosis of intrathoracic sarcoidosis in England. A review of 136 cases aft er fi ve years' observation. BMJ. 1961;2(5261).,Prognosis of intrathoracic sarcoidosis in England. A review of 136 cases aft er fi ve years' observation,BMJ,1961,2,5261,,,,Scadding JG
15," Statement on sarcoidosis. Joint Statement of the American Th oracic Society (ATS), the European Respiratory Society (ERS) and the World Association of Sarcoidosis and Other Granulomatous Disorders (WASOG) adopted by the ATS Board of Directors and by the ERS Executive Committee, February 1999. Am J Respir Crit Care Med. 1999;160(2).","Statement on sarcoidosis. Joint Statement of the American Th oracic Society (ATS), the European Respiratory Society (ERS) and the World Association of Sarcoidosis and Other Granulomatous Disorders (WASOG) adopted by the ATS Board of Directors and by the ERS Executive Committee, February 1999",Am J Respir Crit Care Med,1999,160,2,,,,
16,"Winterbauer RH, Belic N, Moores KD. Clinical interpretation of bilateral hilar adenopathy. Ann Intern Med. 1973;78(1).",Clinical interpretation of bilateral hilar adenopathy,Ann Intern Med,1973,78,1,,,,Winterbauer RH; Belic N; Moores KD
17,"Reich JM, Brouns MC, Connor O, Edwards EA, MJ. Mediastinoscopy in patients with presumptive stage I sarcoidosis: a risk/benefi t, cost/benefi t analysis. Chest. 1998;113(1).","Mediastinoscopy in patients with presumptive stage I sarcoidosis: a risk/benefi t, cost/benefi t analysis",Chest,1998,113,1,,,,Reich JM; Brouns MC; Connor O; Edwards EA; MJ
