#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Donington J, Lynch WR. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Gould MK; Donington J; Lynch WR
2,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Rivera MP; Mehta AC; Wahidi MM
3,"Folch EE, Bowling MR, Gildea TR. Design of a prospective, multicenter, global, cohort study of electromagnetic navigation bronchoscopy. BMC Pulm Med. 2016;16:60.","Design of a prospective, multicenter, global, cohort study of electromagnetic navigation bronchoscopy",BMC Pulm Med,2016,16,,60,,,Folch EE; Bowling MR; Gildea TR
4,"Khandhar SJ, Bowling MR, Flandes J. Electromagnetic navigation bronchoscopy to access lung lesions in 1000 subjects: first results of the prospective, multicenter NAVIGATE study. BMC Pulm Med. 2017;17:59.","Electromagnetic navigation bronchoscopy to access lung lesions in 1000 subjects: first results of the prospective, multicenter NAVIGATE study",BMC Pulm Med,2017,17,,59,,,Khandhar SJ; Bowling MR; Flandes J
5,"Ford I, NJ. Pragmatic trials. N Engl J Med. 2016;375.",Pragmatic trials,N Engl J Med,2016,375,,,,,Ford I; NJ
6,"Macmahon H, Naidich DP, Goo JM. Guidelines for management of incidental pulmonary nodules detected on CT images: from the Fleischner Society. Radiology. 2017;284.",Guidelines for management of incidental pulmonary nodules detected on CT images: from the Fleischner Society,Radiology,2017,284,,,,,Macmahon H; Naidich DP; Goo JM
7,"Swensen SJ, Silverstein MD, Ilstrup DM. The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules. Arch Intern Med. 1997;157.",The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules,Arch Intern Med,1997,157,,,,,Swensen SJ; Silverstein MD; Ilstrup DM
8,"Bowling MR, Anciano CJ. Updates in advanced diagnostic bronchoscopy: electromagnetic navigational bronchoscopy chasing the solitary pulmonary nodule. Clin Pulm Med. 2017;24.",Updates in advanced diagnostic bronchoscopy: electromagnetic navigational bronchoscopy chasing the solitary pulmonary nodule,Clin Pulm Med,2017,24,,,,,Bowling MR; Anciano CJ
9,"Gex G, Pralong JA, Combescure C. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis. Respiration. 2014;87.",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis,Respiration,2014,87,,,,,Gex G; Pralong JA; Combescure C
10,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7.",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,,,,,Dibardino DM; Yarmus LB; Semaan RW
11,"Fontaine-Delaruelle C, Souquet PJ, Gamondes D. Negative predictive value of transthoracic core-needle biopsy: a multicenter study. Chest. 2015;148.",Negative predictive value of transthoracic core-needle biopsy: a multicenter study,Chest,2015,148,,,,,Fontaine-Delaruelle C; Souquet PJ; Gamondes D
12,"Heerink WJ, De Bock GH, De Jonge GJ. Complication rates of CT-guided transthoracic lung biopsy: metaanalysis. Eur Radiol. 2017;27.",Complication rates of CT-guided transthoracic lung biopsy: metaanalysis,Eur Radiol,2017,27,,,,,Heerink WJ; De Bock GH; De Jonge GJ
13,"Yamagami T, Terayama K, Yoshimatsu R. Role of manual aspiration in treating pneumothorax after computed tomography-guided lung biopsy. Acta Radiol. 2009;50.",Role of manual aspiration in treating pneumothorax after computed tomography-guided lung biopsy,Acta Radiol,2009,50,,,,,Yamagami T; Terayama K; Yoshimatsu R
14,"Towe CW, Nead MA, Rickman OB. Safety of electromagnetic navigation bronchoscopy in patients with COPD: results from the NAVIGATE study. J Bronchology Interv Pulmonol. 2019;26.",Safety of electromagnetic navigation bronchoscopy in patients with COPD: results from the NAVIGATE study,J Bronchology Interv Pulmonol,2019,26,,,,,Towe CW; Nead MA; Rickman OB
15,"Semaan RW, Lee HJ, Feller-Kopman D. Same-day computed tomographic chest imaging for pulmonary nodule targeting with electromagnetic navigation bronchoscopy may decrease unnecessary procedures. Ann Am Thorac Soc. 2016;13.",Same-day computed tomographic chest imaging for pulmonary nodule targeting with electromagnetic navigation bronchoscopy may decrease unnecessary procedures,Ann Am Thorac Soc,2016,13,,,,,Semaan RW; Lee HJ; Feller-Kopman D
16,"Zhao YR, Heuvelmans MA, Dorrius MD. Features of resolving and nonresolving indeterminate pulmonary nodules at follow-up CT: the NELSON study. Radiology. 2014;270.",Features of resolving and nonresolving indeterminate pulmonary nodules at follow-up CT: the NELSON study,Radiology,2014,270,,,,,Zhao YR; Heuvelmans MA; Dorrius MD
