#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wahidi MM, Govert JA, Goudar RK. Evidence for the treatment of patients with pulmonary nodules: when is it lung cancer?: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132. doi:10.1378/chest.07-1352.",Evidence for the treatment of patients with pulmonary nodules: when is it lung cancer?: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,,,10.1378/chest.07-1352,,Wahidi MM; Govert JA; Goudar RK
2,Soubani AO. The evaluation and management of the solitary pulmonary nodule. Postgrad Med J. 2008;84. doi:10.1136/pgmj.2007.063545.,The evaluation and management of the solitary pulmonary nodule,Postgrad Med J,2008,84,,,10.1136/pgmj.2007.063545,,Soubani AO
3,"Klinkenberg TJ, Dinjens L, Wolf R. Ct-Guided percutaneous hookwire localization increases the efficacy and safety of VATS for pulmonary nodules. J Surg Oncol. 2017;115. doi:10.1002/jso.24589.",Ct-Guided percutaneous hookwire localization increases the efficacy and safety of VATS for pulmonary nodules,J Surg Oncol,2017,115,,,10.1002/jso.24589,,Klinkenberg TJ; Dinjens L; Wolf R
4,"Finley RJ, Mayo JR, Grant K. Preoperative computed tomography-guided microcoil localization of small peripheral pulmonary nodules: a prospective randomized controlled trial. J Thorac Cardiovasc Surg. 2015;149. doi:10.1016/j.jtcvs.2014.08.055.",Preoperative computed tomography-guided microcoil localization of small peripheral pulmonary nodules: a prospective randomized controlled trial,J Thorac Cardiovasc Surg,2015,149,,,10.1016/j.jtcvs.2014.08.055,,Finley RJ; Mayo JR; Grant K
5,"Bellomi M, Veronesi G, Trifirò G. Computed tomography-guided preoperative radiotracer localization of nonpalpable lung nodules. Ann Thorac Surg. 2010;90. doi:10.1016/j.athoracsur.2010.08.016.",Computed tomography-guided preoperative radiotracer localization of nonpalpable lung nodules,Ann Thorac Surg,2010,90,,,10.1016/j.athoracsur.2010.08.016,,Bellomi M; Veronesi G; Trifirò G
6,"Findik G, Demiröz SM, Apaydın S. Computed Tomography-Guided methylene blue labeling prior to thoracoscopic resection of small deeply placed pulmonary nodules. do we really need palpation?. Thorac Cardiovasc Surg. 2017;65. doi:10.1055/s-0036-1598019.",Computed Tomography-Guided methylene blue labeling prior to thoracoscopic resection of small deeply placed pulmonary nodules. do we really need palpation?,Thorac Cardiovasc Surg,2017,65,,,10.1055/s-0036-1598019,,Findik G; Demiröz SM; Apaydın S
7,"Nagai K, Kuriyama K, Inoue A. Computed tomography-guided preoperative localization of small lung nodules with indocyanine green. Acta Radiol. 2018;59. doi:10.1177/0284185117733507.",Computed tomography-guided preoperative localization of small lung nodules with indocyanine green,Acta Radiol,2018,59,,,10.1177/0284185117733507,,Nagai K; Kuriyama K; Inoue A
8,"Sancheti MS, Lee R, Ahmed SU. Percutaneous fiducial localization for thoracoscopic wedge resection of small pulmonary nodules. Ann Thorac Surg. 1919;97. doi:10.1016/j.athoracsur.2014.02.028.",Percutaneous fiducial localization for thoracoscopic wedge resection of small pulmonary nodules,Ann Thorac Surg,1919,97,,,10.1016/j.athoracsur.2014.02.028,,Sancheti MS; Lee R; Ahmed SU
9,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ED: American College of chest physicians evidence-based clinical practice guidelines. Chest. 2013;143. doi:10.1378/chest.12-2353.","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ED: American College of chest physicians evidence-based clinical practice guidelines",Chest,2013,143,,,10.1378/chest.12-2353,,Rivera MP; Mehta AC; Wahidi MM
10,"Bolton WD, Cochran T, Ben-Or S. Electromagnetic navigational bronchoscopy reduces the time required for localization and resection of lung nodules. Innovations. 2017;12. doi:10.1097/imi.0000000000000387.",Electromagnetic navigational bronchoscopy reduces the time required for localization and resection of lung nodules,Innovations,2017,12,,,10.1097/imi.0000000000000387,,Bolton WD; Cochran T; Ben-Or S
11,"Tseng Y, Lee Y, Hsieh M. Preoperative computed tomography-guided dye injection to localize multiple lung nodules for video-assisted thoracoscopic surgery. J Thorac Dis. 2016;8. doi:10.21037/jtd.2016.09.46.",Preoperative computed tomography-guided dye injection to localize multiple lung nodules for video-assisted thoracoscopic surgery,J Thorac Dis,2016,8,,,10.21037/jtd.2016.09.46,,Tseng Y; Lee Y; Hsieh M
12,"Park CH, Han K, Hur J. Comparative effectiveness and safety of preoperative lung localization for pulmonary nodules: a systematic review and meta-analysis. Chest. 2017;151. doi:10.1016/j.chest.2016.09.017.",Comparative effectiveness and safety of preoperative lung localization for pulmonary nodules: a systematic review and meta-analysis,Chest,2017,151,,,10.1016/j.chest.2016.09.017,,Park CH; Han K; Hur J
13,"Ichinose J, Kohno T, Fujimori S. Efficacy and complications of computed tomography-guided hook wire localization. Ann Thorac Surg. 2013;96. doi:10.1016/j.athoracsur.2013.05.026.",Efficacy and complications of computed tomography-guided hook wire localization,Ann Thorac Surg,2013,96,,,10.1016/j.athoracsur.2013.05.026,,Ichinose J; Kohno T; Fujimori S
14,"Suzuki K, Shimohira M, Hashizume T. Usefulness of CT-guided hookwire marking before video-assisted thoracoscopic surgery for small pulmonary lesions. J Med Imaging Radiat Oncol. 2014;58. doi:10.1111/1754-9485.12214.",Usefulness of CT-guided hookwire marking before video-assisted thoracoscopic surgery for small pulmonary lesions,J Med Imaging Radiat Oncol,2014,58,,,10.1111/1754-9485.12214,,Suzuki K; Shimohira M; Hashizume T
15,"Zhang Z, Liao Y, Ai B. Methylene blue staining: a new technique for identifying intersegmental planes in anatomic segmentectomy. Ann Thorac Surg. 2015;99. doi:10.1016/j.athoracsur.2014.07.071.",Methylene blue staining: a new technique for identifying intersegmental planes in anatomic segmentectomy,Ann Thorac Surg,2015,99,,,10.1016/j.athoracsur.2014.07.071,,Zhang Z; Liao Y; Ai B
16,"Muñoz-Largacha JA, Ebright MI, Litle VR. Electromagnetic navigational bronchoscopy with dye marking for identification of small peripheral lung nodules during minimally invasive surgical resection. J Thorac Dis. 2017;9. doi:10.21037/jtd.2017.03.18.",Electromagnetic navigational bronchoscopy with dye marking for identification of small peripheral lung nodules during minimally invasive surgical resection,J Thorac Dis,2017,9,,,10.21037/jtd.2017.03.18,,Muñoz-Largacha JA; Ebright MI; Litle VR
17,"Luo K, Lin Y, Lin X. Localization of peripheral pulmonary lesions to aid surgical resection: a novel approach for electromagnetic navigation bronchoscopic dye marking. Eur J Cardiothorac Surg. 2017;52. doi:10.1093/ejcts/ezx114.",Localization of peripheral pulmonary lesions to aid surgical resection: a novel approach for electromagnetic navigation bronchoscopic dye marking,Eur J Cardiothorac Surg,2017,52,,,10.1093/ejcts/ezx114,,Luo K; Lin Y; Lin X
18,"Abbas A, Kadakia S, Ambur V. Intraoperative electromagnetic navigational bronchoscopic localization of small, deep, or subsolid pulmonary nodules. J Thorac Cardiovasc Surg. 2017;153. doi:10.1016/j.jtcvs.2016.12.044.","Intraoperative electromagnetic navigational bronchoscopic localization of small, deep, or subsolid pulmonary nodules",J Thorac Cardiovasc Surg,2017,153,,,10.1016/j.jtcvs.2016.12.044,,Abbas A; Kadakia S; Ambur V
19,"Marino KA, Sullivan JL, Weksler B. Electromagnetic navigation bronchoscopy for identifying lung nodules for thoracoscopic resection. Ann Thorac Surg. 2016;102. doi:10.1016/j.athoracsur.2016.03.010.",Electromagnetic navigation bronchoscopy for identifying lung nodules for thoracoscopic resection,Ann Thorac Surg,2016,102,,,10.1016/j.athoracsur.2016.03.010,,Marino KA; Sullivan JL; Weksler B
