#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Loddenkemper R. Thoracoscopy -state of the art. Eur Respir J. 1998;11.,Thoracoscopy -state of the art,Eur Respir J,1998,11,,,,,Loddenkemper R
2,"Ghaye B, Dondelinger RF. Imaging guided thoracic interventions. Eur Respir J. 2001;17.",Imaging guided thoracic interventions,Eur Respir J,2001,17,,,,,Ghaye B; Dondelinger RF
3,Miller JI. Rigid bronchoscopy. Chest Surg Clin North Am. 1996;6.,Rigid bronchoscopy,Chest Surg Clin North Am,1996,6,,,,,Miller JI
4,"Helmers RA, Sanderson DR. Rigid bronchoscopy: The forgotten art. Clin Chest Med. 1995;16.",Rigid bronchoscopy: The forgotten art,Clin Chest Med,1995,16,,,,,Helmers RA; Sanderson DR
5,Beamis JF. Rigid bronchoscopy. Interventional Pulmonology. 1998;None.,Rigid bronchoscopy,Interventional Pulmonology,1998,,,,,,Beamis JF
6,"Mathisen DJ, Grillo HC. Endoscopic relief of malignant airway obstruction. Ann Thorac Surg. 1989;48.",Endoscopic relief of malignant airway obstruction,Ann Thorac Surg,1989,48,,,,,Mathisen DJ; Grillo HC
7,"Turner JF, Ernst A, Becker HD. Rigid bronchoscopy: How I do it. J Bronchol. 2000;7.",Rigid bronchoscopy: How I do it,J Bronchol,2000,7,,,,,Turner JF; Ernst A; Becker HD
8,"Dasgupta A, Mehta AC, Wang KP. Transbronchial needle aspiration. Semin Respir Crit Care Med. 1997;18.",Transbronchial needle aspiration,Semin Respir Crit Care Med,1997,18,,,,,Dasgupta A; Mehta AC; Wang KP
9,"Gasparini S, Ferretti M, Secchi EB, Baldelli S, Zuccatosta L, GP. Integration of transbronchial and percutaneous approach in the diagnosis of peripheral pulmonary nodules or masses. Chest. 1995;108.",Integration of transbronchial and percutaneous approach in the diagnosis of peripheral pulmonary nodules or masses,Chest,1995,108,,,,,Gasparini S; Ferretti M; Secchi EB; Baldelli S; Zuccatosta L; GP
10,"Schenk DA, Chambers SL, Derdak S. Comparison of the Wang 19-gauge and 22-gauge needles in the mediastinal staging of lung cancer. Am Rev Respir Dis. 1993;147.",Comparison of the Wang 19-gauge and 22-gauge needles in the mediastinal staging of lung cancer,Am Rev Respir Dis,1993,147,,,,,Schenk DA; Chambers SL; Derdak S
