#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sung H, Ferlay J, Siegel RL. Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries. CA Cancer J Clin. 2021;71.",Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,CA Cancer J Clin,2021,71,,,,,Sung H; Ferlay J; Siegel RL
2,"Ettinger DS, Wood DE, Aisner DL. Non-Small Cell Lung Cancer, Version 3.2022, NCCN Clinical Practice Guidelines in Oncology. J Natl Compr Canc Netw. 2022;20.","Non-Small Cell Lung Cancer, Version 3.2022, NCCN Clinical Practice Guidelines in Oncology",J Natl Compr Canc Netw,2022,20,,,,,Ettinger DS; Wood DE; Aisner DL
3,"Mazzone PJ, Lam L. Evaluating the Patient With a Pulmonary Nodule: A Review. JAMA. 2022;327.",Evaluating the Patient With a Pulmonary Nodule: A Review,JAMA,2022,327,,,,,Mazzone PJ; Lam L
4,"Cheng GZ, Liu L, Nobari M. Cone beam navigation bronchoscopy: the next frontier. J Thorac Dis. 2020;12.",Cone beam navigation bronchoscopy: the next frontier,J Thorac Dis,2020,12,,,,,Cheng GZ; Liu L; Nobari M
5,"Balasubramanian P, Abia-Trujillo D, Barrios-Ruiz A. Diagnostic yield and safety of diagnostic techniques for pulmonary lesions: systematic review, meta-analysis and network meta-analysis. Eur Respir Rev. 2024;33:240046.","Diagnostic yield and safety of diagnostic techniques for pulmonary lesions: systematic review, meta-analysis and network meta-analysis",Eur Respir Rev,2024,33,,240046,,,Balasubramanian P; Abia-Trujillo D; Barrios-Ruiz A
6,"Kops S, Heus P, Korevaar DA. Diagnostic yield and safety of navigation bronchoscopy: A systematic review and meta-analysis. Lung Cancer. 2023;180:107196.",Diagnostic yield and safety of navigation bronchoscopy: A systematic review and meta-analysis,Lung Cancer,2023,180,,107196,,,Kops S; Heus P; Korevaar DA
7,"Setser R, Chintalapani G, Bhadra K. Cone beam CT imaging for bronchoscopy: a technical review. J Thorac Dis. 2020;12.",Cone beam CT imaging for bronchoscopy: a technical review,J Thorac Dis,2020,12,,,,,Setser R; Chintalapani G; Bhadra K
8,"Ali E, Takizawa H, Kawakita N. Transbronchial Biopsy Using an Ultrathin Bronchoscope Guided by Cone-Beam Computed Tomography and Virtual Bronchoscopic Navigation in the Diagnosis of Pulmonary Nodules. Respiration. 2019;98.",Transbronchial Biopsy Using an Ultrathin Bronchoscope Guided by Cone-Beam Computed Tomography and Virtual Bronchoscopic Navigation in the Diagnosis of Pulmonary Nodules,Respiration,2019,98,,,,,Ali E; Takizawa H; Kawakita N
9,"Benn BS, Romero AO, Lum M. Robotic-Assisted Navigation Bronchoscopy as a Paradigm Shift in Peripheral Lung Access. Lung. 2021;199.",Robotic-Assisted Navigation Bronchoscopy as a Paradigm Shift in Peripheral Lung Access,Lung,2021,199,,,,,Benn BS; Romero AO; Lum M
10,"Bhadra K, Setser RM, Condra W. A Cone Beam CT Bronchoscopy Study of the Ultrathin Cryoprobe for Biopsy of Peripheral Lung Lesions. J Bronchology Interv Pulmonol. 2024;31.",A Cone Beam CT Bronchoscopy Study of the Ultrathin Cryoprobe for Biopsy of Peripheral Lung Lesions,J Bronchology Interv Pulmonol,2024,31,,,,,Bhadra K; Setser RM; Condra W
11,"Bhadra K, Baleeiro C, Patel S. High Tidal Volume, High Positive End Expiratory Pressure and Apneic Breath Hold Strategies (Lung Navigation Ventilation Protocol) With Cone Beam Computed Tomography Bronchoscopic Biopsy of Peripheral Lung Lesions: Results in 100 Patients. J Bronchology Interv Pulmonol. 2024;31.","High Tidal Volume, High Positive End Expiratory Pressure and Apneic Breath Hold Strategies (Lung Navigation Ventilation Protocol) With Cone Beam Computed Tomography Bronchoscopic Biopsy of Peripheral Lung Lesions: Results in 100 Patients",J Bronchology Interv Pulmonol,2024,31,,,,,Bhadra K; Baleeiro C; Patel S
12,"Bowling MR, Brown C, Anciano CJ. Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass. Ann Thorac Surg. 2017;104.",Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass,Ann Thorac Surg,2017,104,,,,,Bowling MR; Brown C; Anciano CJ
13,"Casal RF, Sarkiss M, Jones AK. Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study. J Thorac Dis. 2018;10.",Cone beam computed tomography-guided thin/ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective pilot study,J Thorac Dis,2018,10,,,,,Casal RF; Sarkiss M; Jones AK
14,"Emre JÇ, Baysak A, Öz AT. Diagnostic yield of bronchoscopy with C-arm scopy in cases without endobronchial lesion. Journal of Clinical and Analytical Medicine. 2016;7.",Diagnostic yield of bronchoscopy with C-arm scopy in cases without endobronchial lesion,Journal of Clinical and Analytical Medicine,2016,7,,,,,Emre JÇ; Baysak A; Öz AT
15,"Kawakita N, Takizawa H, Toba H. Cone-beam computed tomography versus computed tomographyguided ultrathin bronchoscopic diagnosis for peripheral pulmonary lesions: A propensity score-matched analysis. Respirology. 2021;26.",Cone-beam computed tomography versus computed tomographyguided ultrathin bronchoscopic diagnosis for peripheral pulmonary lesions: A propensity score-matched analysis,Respirology,2021,26,,,,,Kawakita N; Takizawa H; Toba H
16,"Kawakita N, Toba H, Sakamoto S. Cone-beam computed tomography-guided endobronchial ultrasound using an ultrathin bronchoscope for diagnosis of peripheral pulmonary lesions: a prospective pilot study. J Thorac Dis. 2023;15.",Cone-beam computed tomography-guided endobronchial ultrasound using an ultrathin bronchoscope for diagnosis of peripheral pulmonary lesions: a prospective pilot study,J Thorac Dis,2023,15,,,,,Kawakita N; Toba H; Sakamoto S
17,"Kheir F, Thakore SR, Becerra U, JP. Cone-Beam Computed Tomography-Guided Electromagnetic Navigation for Peripheral Lung Nodules. Respiration. 2021;100.",Cone-Beam Computed Tomography-Guided Electromagnetic Navigation for Peripheral Lung Nodules,Respiration,2021,100,,,,,Kheir F; Thakore SR; Becerra U; JP
18,"Lin CK, Fan HJ, Yao ZH. Cone-Beam Computed Tomography-Derived Augmented Fluoroscopy Improves the Diagnostic Yield of Endobronchial Ultrasound-Guided Transbronchial Biopsy for Peripheral Pulmonary Lesions. Diagnostics. 2021;12:41.",Cone-Beam Computed Tomography-Derived Augmented Fluoroscopy Improves the Diagnostic Yield of Endobronchial Ultrasound-Guided Transbronchial Biopsy for Peripheral Pulmonary Lesions,Diagnostics,2021,12,,41,,,Lin CK; Fan HJ; Yao ZH
19,"Lin CK, Ruan SY, Fan HJ. Using cryoprobes of different sizes combined with cone-beam computed tomography-derived augmented fluoroscopy and endobronchial ultrasound to diagnose peripheral pulmonary lesions: a propensity-matched study. Respir Res. 2024;25:65.",Using cryoprobes of different sizes combined with cone-beam computed tomography-derived augmented fluoroscopy and endobronchial ultrasound to diagnose peripheral pulmonary lesions: a propensity-matched study,Respir Res,2024,25,,65,,,Lin CK; Ruan SY; Fan HJ
20,"Liu KY, He X, Jia N. Diagnostic value of transbronchial lung biopsy guided by C-arm combined with radial ultrasound in peripheral pulmonary lesions. Chinese Medical Equipment. 2022;19.",Diagnostic value of transbronchial lung biopsy guided by C-arm combined with radial ultrasound in peripheral pulmonary lesions,Chinese Medical Equipment,2022,19,,,,,Liu KY; He X; Jia N
21,"Meng WD, Lum M, Yu E. Performance of Biopsy Tools in Procurement of Lung Tissue in Robot-Assisted Peripheral Navigation: A Comparison. Respiration. 2023;102.",Performance of Biopsy Tools in Procurement of Lung Tissue in Robot-Assisted Peripheral Navigation: A Comparison,Respiration,2023,102,,,,,Meng WD; Lum M; Yu E
22,"Pritchett MA, Schampaert S, De Groot J. Cone-Beam CT With Augmented Fluoroscopy Combined With Electromagnetic Navigation Bronchoscopy for Biopsy of Pulmonary Nodules. J Bronchology Interv Pulmonol. 2018;25.",Cone-Beam CT With Augmented Fluoroscopy Combined With Electromagnetic Navigation Bronchoscopy for Biopsy of Pulmonary Nodules,J Bronchology Interv Pulmonol,2018,25,,,,,Pritchett MA; Schampaert S; De Groot J
23,Pritchett MA. Prospective Analysis of a Novel Endobronchial Augmented Fluoroscopic Navigation System for Diagnosis of Peripheral Pulmonary Lesions. J Bronchology Interv Pulmonol. 2021;28.,Prospective Analysis of a Novel Endobronchial Augmented Fluoroscopic Navigation System for Diagnosis of Peripheral Pulmonary Lesions,J Bronchology Interv Pulmonol,2021,28,,,,,Pritchett MA
24,"Pritchett MA, Williams JC, Schirmer CC. Conebeam CT-based Navigation With Augmented Fluoroscopy of the Airways for Image-guided Bronchoscopic Biopsy of Peripheral Pulmonary Nodules: A Prospective Clinical Study. J Bronchology Interv Pulmonol. 2024;31.",Conebeam CT-based Navigation With Augmented Fluoroscopy of the Airways for Image-guided Bronchoscopic Biopsy of Peripheral Pulmonary Nodules: A Prospective Clinical Study,J Bronchology Interv Pulmonol,2024,31,,,,,Pritchett MA; Williams JC; Schirmer CC
25,"Reisenauer J, Duke JD, Kern R. Combining Shape-Sensing Robotic Bronchoscopy With Mobile Three-Dimensional Imaging to Verify Tool-in-Lesion and Overcome Divergence: A Pilot Study. Mayo Clin Proc Innov Qual Outcomes. 2022;6.",Combining Shape-Sensing Robotic Bronchoscopy With Mobile Three-Dimensional Imaging to Verify Tool-in-Lesion and Overcome Divergence: A Pilot Study,Mayo Clin Proc Innov Qual Outcomes,2022,6,,,,,Reisenauer J; Duke JD; Kern R
26,"Salahuddin M, Bashour SI, Khan A. Mobile Cone-Beam CT-Assisted Bronchoscopy for Peripheral Lung Lesions. Diagnostics. 2023;13:827.",Mobile Cone-Beam CT-Assisted Bronchoscopy for Peripheral Lung Lesions,Diagnostics,2023,13,,827,,,Salahuddin M; Bashour SI; Khan A
27,"Sobieszczyk MJ, Yuan Z, Li W. Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis. J Thorac Dis. 2018;10.",Biopsy of peripheral lung nodules utilizing cone beam computer tomography with and without trans bronchial access tool: a retrospective analysis,J Thorac Dis,2018,10,,,,,Sobieszczyk MJ; Yuan Z; Li W
28,"Verhoeven R, Vos S, Van Der Heijden E. Multimodal tissue sampling in cone beam CT guided navigation bronchoscopy: comparative accuracy of different sampling tools and rapid on-site evaluation of cytopathology. J Thorac Dis. 2021;13.",Multimodal tissue sampling in cone beam CT guided navigation bronchoscopy: comparative accuracy of different sampling tools and rapid on-site evaluation of cytopathology,J Thorac Dis,2021,13,,,,,Verhoeven R; Vos S; Van Der Heijden E
29, J Thorac Dis. J Thorac Dis. 2025;17(2). doi:10.21037/jtd-24-1224.,J Thorac Dis,J Thorac Dis,2025,17,2,,10.21037/jtd-24-1224,,
30,"Yu KL, Yang SM, Ko HJ. Efficacy and Safety of Cone-Beam Computed Tomography-Derived Augmented Fluoroscopy Combined with Endobronchial Ultrasound in Peripheral Pulmonary Lesions. Respiration. 2021;100.",Efficacy and Safety of Cone-Beam Computed Tomography-Derived Augmented Fluoroscopy Combined with Endobronchial Ultrasound in Peripheral Pulmonary Lesions,Respiration,2021,100,,,,,Yu KL; Yang SM; Ko HJ
31,"Zhang J, Chen E, Xu S. Virtual bronchoscopic navigation with intraoperative cone-beam CT for the diagnosis of peripheral pulmonary nodules. BMC Pulm Med. 2024;24:146.",Virtual bronchoscopic navigation with intraoperative cone-beam CT for the diagnosis of peripheral pulmonary nodules,BMC Pulm Med,2024,24,,146,,,Zhang J; Chen E; Xu S
32,"Nadig TR, Thomas N, Nietert PJ. Guided Bronchoscopy for the Evaluation of Pulmonary Lesions: An Updated Meta-analysis. Chest. 2023;163.",Guided Bronchoscopy for the Evaluation of Pulmonary Lesions: An Updated Meta-analysis,Chest,2023,163,,,,,Nadig TR; Thomas N; Nietert PJ
33,"Verhoeven R, Kops S, Wijma IN. Conebeam CT in lung biopsy: a clinical practice review on lessons learned and future perspectives. Ann Transl Med. 2023;11:361.",Conebeam CT in lung biopsy: a clinical practice review on lessons learned and future perspectives,Ann Transl Med,2023,11,,361,,,Verhoeven R; Kops S; Wijma IN
34,"Whiting PF, Rutjes AW, Westwood ME. QUADAS-2: a revised tool for the quality assessment of diagnostic accuracy studies. Ann Intern Med. 2011;155.",QUADAS-2: a revised tool for the quality assessment of diagnostic accuracy studies,Ann Intern Med,2011,155,,,,,Whiting PF; Rutjes AW; Westwood ME
35,"Vachani A, Maldonado F, Laxmanan B. The Impact of Alternative Approaches to Diagnostic Yield Calculation in Studies of Bronchoscopy. Chest. 2022;161.",The Impact of Alternative Approaches to Diagnostic Yield Calculation in Studies of Bronchoscopy,Chest,2022,161,,,,,Vachani A; Maldonado F; Laxmanan B
36,"Higgins JP, Thompson SG, Deeks JJ. Measuring inconsistency in meta-analyses. BMJ. 2003;327.",Measuring inconsistency in meta-analyses,BMJ,2003,327,,,,,Higgins JP; Thompson SG; Deeks JJ
37,"Prado R, Cicenia J, Almeida FA. Robotic-Assisted Bronchoscopy: A Comprehensive Review of System Functions and Analysis of Outcome Data. Diagnostics. 2024;14:399.",Robotic-Assisted Bronchoscopy: A Comprehensive Review of System Functions and Analysis of Outcome Data,Diagnostics,2024,14,,399,,,Prado R; Cicenia J; Almeida FA
38,"Ali MS, Trick W, Mba BI. Radial endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions: A systematic review and meta-analysis. Respirology. 2017;22.",Radial endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions: A systematic review and meta-analysis,Respirology,2017,22,,,,,Ali MS; Trick W; Mba BI
39,"Gonzalez AV, Silvestri GA, Korevaar DA. Assessment of Advanced Diagnostic Bronchoscopy Outcomes for Peripheral Lung Lesions: A Delphi Consensus Definition of Diagnostic Yield and Recommendations for Patientcentered Study Designs. An Official American Thoracic Society/American College of Chest Physicians Research Statement. Am J Respir Crit Care Med. 2024;209.",Assessment of Advanced Diagnostic Bronchoscopy Outcomes for Peripheral Lung Lesions: A Delphi Consensus Definition of Diagnostic Yield and Recommendations for Patientcentered Study Designs. An Official American Thoracic Society/American College of Chest Physicians Research Statement,Am J Respir Crit Care Med,2024,209,,,,,Gonzalez AV; Silvestri GA; Korevaar DA
