#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Friets EM, Strohbehn JW, Hatch JF. A frameless stereotaxic operating microscope for neurosurgery. IEEE Trans Biomed Eng. 1989;36.",A frameless stereotaxic operating microscope for neurosurgery,IEEE Trans Biomed Eng,1989,36,,,,,Friets EM; Strohbehn JW; Hatch JF
2,"Takizawa T, Soto S, Sanou A. Frameless isocentric stereotactic laser beam guide for image-directed microsurgery. Acta neurochirurgica. 1993;125.",Frameless isocentric stereotactic laser beam guide for image-directed microsurgery,Acta neurochirurgica,1993,125,,,,,Takizawa T; Soto S; Sanou A
3,Solomon SB. Interactive images in the operating room. J Endourol. 1999;13.,Interactive images in the operating room,J Endourol,1999,13,,,,,Solomon SB
4,"Grevers G, Menauer F, Leunig A. Navigation surgery in diseases of the paranasal sinuses. Laryngorhinootologie. 1999;78.",Navigation surgery in diseases of the paranasal sinuses,Laryngorhinootologie,1999,78,,,,,Grevers G; Menauer F; Leunig A
5,"Bricault I, Ferretti G, Cinquin P. Registration of real and CT-derived virtual bronchoscopic images to assist transbronchial biopsy. IEEE Trans Med Imaging. 1998;17.",Registration of real and CT-derived virtual bronchoscopic images to assist transbronchial biopsy,IEEE Trans Med Imaging,1998,17,,,,,Bricault I; Ferretti G; Cinquin P
6,"Solomon SB, White P, Jr, Wiener CM. Threedimensional CT-guided bronchoscopy with a real-time electromagnetic position sensor: a comparison of two image registration methods. Chest. 2000;118.",Threedimensional CT-guided bronchoscopy with a real-time electromagnetic position sensor: a comparison of two image registration methods,Chest,2000,118,,,,,Solomon SB; White P; Jr; Wiener CM
7,"Schwarz Y, Mehta AC, Ernst A. Electromagnetic navigation during flexible bronchoscopy. Respiration. 2003;70.",Electromagnetic navigation during flexible bronchoscopy,Respiration,2003,70,,,,,Schwarz Y; Mehta AC; Ernst A
8,"Schwarz Y, Greif J, Becker HD. Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study. Chest. 2006;129.",Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study,Chest,2006,129,,,,,Schwarz Y; Greif J; Becker HD
9,"Wynder EL, Muscat JE. The changing epidemiology of smoking and lung cancer histology. Environ Health Perspect. 1995;103(Suppl 8).",The changing epidemiology of smoking and lung cancer histology,Environ Health Perspect,1995,103,Suppl 8,,,,Wynder EL; Muscat JE
10,Korst RJ. Systematic approach to the management of the newly found nodule on screening computed tomography: role of dedicated pulmonary nodule clinics. Thorac Surg Clin. 2013;23.,Systematic approach to the management of the newly found nodule on screening computed tomography: role of dedicated pulmonary nodule clinics,Thorac Surg Clin,2013,23,,,,,Korst RJ
11, US Cancer Statistics; 1999-2013 Incidence and Mortality Web-Based Report. US Cancer Statistics; 1999-2013 Incidence and Mortality Web-Based Report. 2016;None.,US Cancer Statistics; 1999-2013 Incidence and Mortality Web-Based Report,US Cancer Statistics; 1999-2013 Incidence and Mortality Web-Based Report,2016,,,,,,
12,"Weir HK, Thompson TD, Soman A. The past, present, and future of cancer incidence in the United States: 1975 through 2020. Cancer. 2015;121.","The past, present, and future of cancer incidence in the United States: 1975 through 2020",Cancer,2015,121,,,,,Weir HK; Thompson TD; Soman A
13,"Lung N, Trial Research S, Team, Aberle DR, Adams AM. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365.",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,,,,,Lung N; Trial Research S; Team; Aberle DR; Adams AM
14,"Moyer VA, Services US, Force T. Screening for lung cancer: U.S. Preventive Services Task Force recommendation statement. Ann Intern Med. 2014;160.",Screening for lung cancer: U.S. Preventive Services Task Force recommendation statement,Ann Intern Med,2014,160,,,,,Moyer VA; Services US; Force T
15,"Mazzone PJ, Silvestri GA, Patel S. Screening for Lung Cancer: CHEST Guideline and Expert Panel Report. Chest. 2018;153.",Screening for Lung Cancer: CHEST Guideline and Expert Panel Report,Chest,2018,153,,,,,Mazzone PJ; Silvestri GA; Patel S
16,"Wood DE, Kazerooni E, Baum SL. Lung cancer screening, version 1.2015: featured updates to the NCCN guidelines. J Natl Compr Canc Netw. 2015;13.","Lung cancer screening, version 1.2015: featured updates to the NCCN guidelines",J Natl Compr Canc Netw,2015,13,,,,,Wood DE; Kazerooni E; Baum SL
17,"Kauczor HU, Bonomo L, Gaga M. ESR/ERS white paper on lung cancer screening. Eur Respir J. 2015;46.",ESR/ERS white paper on lung cancer screening,Eur Respir J,2015,46,,,,,Kauczor HU; Bonomo L; Gaga M
18,"Tsuboi E, Ikeda S, Tajima M. Transbronchial biopsy smear for diagnosis of peripheral pulmonary carcinomas. Cancer. 1967;20.",Transbronchial biopsy smear for diagnosis of peripheral pulmonary carcinomas,Cancer,1967,20,,,,,Tsuboi E; Ikeda S; Tajima M
19,"Naidich DP, Sussman R, Kutcher WL. Solitary pulmonary nodules. CT-bronchoscopic correlation. Chest. 1988;93.",Solitary pulmonary nodules. CT-bronchoscopic correlation,Chest,1988,93,,,,,Naidich DP; Sussman R; Kutcher WL
20,"Gaeta M, Pandolfo I, Volta S. Bronchus sign on CT in peripheral carcinoma of the lung: value in predicting results of transbronchial biopsy. AJR Am J Roentgenol. 1991;157.",Bronchus sign on CT in peripheral carcinoma of the lung: value in predicting results of transbronchial biopsy,AJR Am J Roentgenol,1991,157,,,,,Gaeta M; Pandolfo I; Volta S
21,"Gaeta M, Barone M, Russi EG. Carcinomatous solitary pulmonary nodules: evaluation of the tumorbronchi relationship with thin-section CT. Radiology. 1993;187.",Carcinomatous solitary pulmonary nodules: evaluation of the tumorbronchi relationship with thin-section CT,Radiology,1993,187,,,,,Gaeta M; Barone M; Russi EG
22,"Shure D, Fedullo PF. Transbronchial needle aspiration of peripheral masses. Am Rev Respir Dis. 1983;128.",Transbronchial needle aspiration of peripheral masses,Am Rev Respir Dis,1983,128,,,,,Shure D; Fedullo PF
23,"Wang KP, Haponik EF, Britt EJ. Transbronchial needle aspiration of peripheral pulmonary nodules. Chest. 1984;86.",Transbronchial needle aspiration of peripheral pulmonary nodules,Chest,1984,86,,,,,Wang KP; Haponik EF; Britt EJ
24,"Shure D, Fedullo PF. Transbronchial needle aspiration in the diagnosis of submucosal and peribronchial bronchogenic carcinoma. Chest. 1985;88.",Transbronchial needle aspiration in the diagnosis of submucosal and peribronchial bronchogenic carcinoma,Chest,1985,88,,,,,Shure D; Fedullo PF
25,"Memoli W, Nietert JS, Silvestri PJ, GA. Metaanalysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Metaanalysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Memoli W; Nietert JS; Silvestri PJ; GA
26,"Gex G, Pralong JA, Combescure C. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis. Respiration. 2014;87.",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis,Respiration,2014,87,,,,,Gex G; Pralong JA; Combescure C
