#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Rivera MP; Mehta AC; Wahidi MM
2,"Gex G, Pralong JA, Combescure C, Seijo L, Rochat T, Soccal PM. Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis. Respiration. 2014;87.",Diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules: a systematic review and meta-analysis,Respiration,2014,87,,,,,Gex G; Pralong JA; Combescure C; Seijo L; Rochat T; Soccal PM
3,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Memoli W; Nietert JS; Silvestri PJ; GA
4,"Zhang W, Chen S, Dong X, Lei P. Meta-analysis of the diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules. J Thorac Dis. 2015;7.",Meta-analysis of the diagnostic yield and safety of electromagnetic navigation bronchoscopy for lung nodules,J Thorac Dis,2015,7,,,,,Zhang W; Chen S; Dong X; Lei P
5,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7.",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,,,,,Dibardino DM; Yarmus LB; Semaan RW
6,"Ford I, NJ. Pragmatic Trials. N Engl J Med. 2016;375.",Pragmatic Trials,N Engl J Med,2016,375,,,,,Ford I; NJ
7,"Folch EE, Bowling MR, Gildea TR, Hood KL, Murgu SD, Toloza EM. Design of a prospective, multicenter, global, cohort study of electromagnetic navigation bronchoscopy. BMC Pulm Med. 2016;16:60.","Design of a prospective, multicenter, global, cohort study of electromagnetic navigation bronchoscopy",BMC Pulm Med,2016,16,,60,,,Folch EE; Bowling MR; Gildea TR; Hood KL; Murgu SD; Toloza EM
8,"Reynisson PJ, Leira HO, Hernes TN, Hofstad EF, Scali M, Sorger H. Navigated bronchoscopy: a technical review. J Bronchology Interv Pulmonol. 2014;21.",Navigated bronchoscopy: a technical review,J Bronchology Interv Pulmonol,2014,21,,,,,Reynisson PJ; Leira HO; Hernes TN; Hofstad EF; Scali M; Sorger H
9,Seijo L. Electromagnetic navigation bronchoscopy: clinical utility in the diagnosis of lung cancer. Lung Cancer. 2016;7.,Electromagnetic navigation bronchoscopy: clinical utility in the diagnosis of lung cancer,Lung Cancer,2016,7,,,,,Seijo L
10, Common Terminology Criteria for Adverse Events (CTCAE) Version 4. Common Terminology Criteria for Adverse Events (CTCAE) Version 4. 2016;None.,Common Terminology Criteria for Adverse Events (CTCAE) Version 4,Common Terminology Criteria for Adverse Events (CTCAE) Version 4,2016,,,,,,
11,"Hari DM, Leung AM, Lee JH, Sim MS, Vuong B, Chiu CG. AJCC Cancer Staging Manual 7th edition criteria for colon cancer: do the complex modifications improve prognostic assessment?. J Am Coll Surg. 2013;217.",AJCC Cancer Staging Manual 7th edition criteria for colon cancer: do the complex modifications improve prognostic assessment?,J Am Coll Surg,2013,217,,,,,Hari DM; Leung AM; Lee JH; Sim MS; Vuong B; Chiu CG
12,"Siegel RL, Miller KD, Jemal A. Cancer statistics. CA Cancer J Clin. 2016;66.",Cancer statistics,CA Cancer J Clin,2016,66,,,,,Siegel RL; Miller KD; Jemal A
13,"Aberle DR, Adams AM, Berg CD, Black WC, Clapp JD, Fagerstrom RM. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365.",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,,,,,Aberle DR; Adams AM; Berg CD; Black WC; Clapp JD; Fagerstrom RM
