#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sciurba FC, Ernst A, Herth FJ. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth FJ
2,"Herth FJ, Noppen M, Valipour A. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth FJ; Noppen M; Valipour A
3,"Koenigkam-Santos M, Puderbach M, Gompelmann D. Incomplete fissures in severe emphysematous patients evaluated with MDCT: incidence and interobserver agreement among radiologists and pneumologists. Eur J Radiol. 2012;81.",Incomplete fissures in severe emphysematous patients evaluated with MDCT: incidence and interobserver agreement among radiologists and pneumologists,Eur J Radiol,2012,81,,,,,Koenigkam-Santos M; Puderbach M; Gompelmann D
4,"Herth FJ, Eberhardt R, Gompelmann D. Radiological and clinical outcomes of using Chartis to plan endobronchial valve treatment. Eur Respir J. 2013;41.",Radiological and clinical outcomes of using Chartis to plan endobronchial valve treatment,Eur Respir J,2013,41,,,,,Herth FJ; Eberhardt R; Gompelmann D
5,"Rabe KF, Hurd S, Anzueto A. Global strategy for the diagnosis, management, and prevention of chronic obstructive pulmonary disease: GOLD executive summary. Am J Respir Crit Care Med. 2007;176.","Global strategy for the diagnosis, management, and prevention of chronic obstructive pulmonary disease: GOLD executive summary",Am J Respir Crit Care Med,2007,176,,,,,Rabe KF; Hurd S; Anzueto A
6,"Bestall JC, Paul EA, Garrod R, Garnham R, Jones PW, Wedzicha JA. Usefulness of the Medical Research Council (MRC) dyspnoea scale as a measure of disability in patients with chronic obstructive pulmonary disease. Thorax. 1999;54.",Usefulness of the Medical Research Council (MRC) dyspnoea scale as a measure of disability in patients with chronic obstructive pulmonary disease,Thorax,1999,54,,,,,Bestall JC; Paul EA; Garrod R; Garnham R; Jones PW; Wedzicha JA
7,"Jones PW, Quirk FH, Baveystock CM, Littlejohns P. A self-complete measure of health status for chronic airflow limitation: the St. George's Respiratory Questionnaire. Am Rev Respir Dis. 1992;145.",A self-complete measure of health status for chronic airflow limitation: the St. George's Respiratory Questionnaire,Am Rev Respir Dis,1992,145,,,,,Jones PW; Quirk FH; Baveystock CM; Littlejohns P
8,"Jones PW, St. George's Respiratory Questionnaire: MCID. COPD. 2005;2.",George's Respiratory Questionnaire: MCID,COPD,2005,2,,,,,Jones PW; St
9,"Kocks JW, Tuinenga MG, Uil SM et al.. Health status measurement in COPD: the minimal clinically important difference of the clinical COPD questionnaire. Respir Res. 2006;7:62.",Health status measurement in COPD: the minimal clinically important difference of the clinical COPD questionnaire,Respir Res,2006,7,,62,,,Kocks JW; Tuinenga MG; Uil SM; Van The N; England ;; Berg JW; Ståhl E; Van Der Molen T
10,Donohue JF. Minimal clinically important differences in COPD lung function. COPD. 2005;2.,Minimal clinically important differences in COPD lung function,COPD,2005,2,,,,,Donohue JF
