#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Steinfort DP, Herth FJ, Eberhardt R, Irving LB. Potentially fatal arrhythmia complicating endobronchial epinephrine for control of iatrogenic bleeding. Am J Respir Crit Care Med. 2012;185.",Potentially fatal arrhythmia complicating endobronchial epinephrine for control of iatrogenic bleeding,Am J Respir Crit Care Med,2012,185,,,,,Steinfort DP; Herth FJ; Eberhardt R; Irving LB
2,"Mall W, Abel H. Topical application of epinephrine during bronchoscopy in barbiturate-halothane anesthesia and its influence on cardiac action. Bronchopneumologie. 1978;28.",Topical application of epinephrine during bronchoscopy in barbiturate-halothane anesthesia and its influence on cardiac action,Bronchopneumologie,1978,28,,,,,Mall W; Abel H
3,Pallav S. Atlas of Bronchoscopy. Atlas of Bronchoscopy. 2012;None.,Atlas of Bronchoscopy,Atlas of Bronchoscopy,2012,,,,,,Pallav S
4,"Vaknin Z, Manisterski Y, Ben-Abraham R, Efrati O, Lotan D, Barzilay Z. Is endotracheal adrenaline deleterious because of the beta adrenergic effect?. Anesth Analg. 2001;92.",Is endotracheal adrenaline deleterious because of the beta adrenergic effect?,Anesth Analg,2001,92,,,,,Vaknin Z; Manisterski Y; Ben-Abraham R; Efrati O; Lotan D; Barzilay Z
5,"Mccrirrick A, Kestin I. Haemodynamic effects of tracheal compared with intravenous adrenaline. Lancet. 1992;3408.",Haemodynamic effects of tracheal compared with intravenous adrenaline,Lancet,1992,3408,,,,,Mccrirrick A; Kestin I
6,"Maniststerski Y, Vaknin Z, Ben-Abraham R et al.. Endotracheal epineprhine: a call for larger doses. Anesth Analg. 2002;05.",Endotracheal epineprhine: a call for larger doses,Anesth Analg,2002,05,,,,,Maniststerski Y; Vaknin Z; Ben-Abraham R; Efrati O; Lotan D; Berkovitch M; Barak A; Barzilay Z; Paret G
7,"Paret G, Vaknin Z, Ezra D et al.. Epinephrine pharmacokinetics and pharmacodynamics following endotracheal administration in dogs: the role of volume of diluent. Resuscitation. 1997;35.",Epinephrine pharmacokinetics and pharmacodynamics following endotracheal administration in dogs: the role of volume of diluent,Resuscitation,1997,35,,,,,Paret G; Vaknin Z; Ezra D; Peleg E; Rosenthal T; Vardi A; Mayan H; Barzilay Z
8, British Thoracic Society guidelines on diagnostic flexible bronchoscopy. Thorax. 2001;56.,British Thoracic Society guidelines on diagnostic flexible bronchoscopy,Thorax,2001,56,,,,,
9,Sahebjami H. Iced saline lavage during bronchoscopy. Chest. 1976;69:131.,Iced saline lavage during bronchoscopy,Chest,1976,69,,131,,,Sahebjami H
10,"Wang KP, Mehta AC, Turner JF. Flexible Bronchoscopy. Flexible Bronchoscopy. 2012;None.",Flexible Bronchoscopy,Flexible Bronchoscopy,2012,,,,,,Wang KP; Mehta AC; Turner JF
11,"Mazkereth R, Paret G, Ezra D et al.. Epinephrine blood concentrations after peripheral bronchial versus endotracheal administration of epinephrine in dogs. Crit Care Med. 1992;20.",Epinephrine blood concentrations after peripheral bronchial versus endotracheal administration of epinephrine in dogs,Crit Care Med,1992,20,,,,,Mazkereth R; Paret G; Ezra D; Aviner S; Peleg E; Rosenthal T; Barzilay Z
12,"Ernst A, Eberhardt R, Wahidi M, Becker HD, Herth FJ. Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans. Chest. 2006;129.",Effect of routine clopidogrel use on bleeding complications after transbronchial biopsy in humans,Chest,2006,129,,,,,Ernst A; Eberhardt R; Wahidi M; Becker HD; Herth FJ
13,"Facciolongo N, Patelli M, Gasparini S et al.. Incidence of complications in bronchoscopy: multicentre prospective study of 20,986 bronchoscopies. Monaldi Arch Chest Dis. 2009;71.","Incidence of complications in bronchoscopy: multicentre prospective study of 20,986 bronchoscopies",Monaldi Arch Chest Dis,2009,71,,,,,Facciolongo N; Patelli M; Gasparini S; Agli L; Salio L; Simonassi M; C; Prato D; Zanoni B; P
14,"Jin F, Mu D, Chu D, Fu E, Xie Y, Liu T. Severe complications of bronchoscopy. Respiration. 2008;76.",Severe complications of bronchoscopy,Respiration,2008,76,,,,,Jin F; Mu D; Chu D; Fu E; Xie Y; Liu T
15,"Flick MR, Wasson K, Dunn LJ, Block AJ. Fatal pulmonary hemorrhage after transbronchial lung biopsy through the fiberoptic bronchoscope. Am Rev Respir Dis. 1975;111.",Fatal pulmonary hemorrhage after transbronchial lung biopsy through the fiberoptic bronchoscope,Am Rev Respir Dis,1975,111,,,,,Flick MR; Wasson K; Dunn LJ; Block AJ
16,"Steinfort DP, Herth FJ, Eberhardt R, Irving LB. Potentially fatal arrhythmia complicating endobronchial epinephrine for control of iatrogenic bleeding. Am J Respir Crit Care Med. 2012;185.",Potentially fatal arrhythmia complicating endobronchial epinephrine for control of iatrogenic bleeding,Am J Respir Crit Care Med,2012,185,,,,,Steinfort DP; Herth FJ; Eberhardt R; Irving LB
